TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_ALLIANCE_STREAM_REWARD,You received <number>xp,Vous avez reçu <number> d'XP,Du erhältst <number> EP,Has recibido <number> EXP.,Hai ricevuto <number>XP,Je hebt <number> XP ontvangen,Du mottok <number>xp,Você recebeu <number> xp,<number>xp aldın,<number> XPをもらいました,您获得了<number>点经验值,<number> 경험치를 획득했습니다.,Вы получили опыт: <number>
TID_ALLIANCE_STREAM_THANKS,Thank you for the troops!,Merci pour les troupes !,Danke für die Truppen!,¡Gracias por las tropas!,Grazie per le truppe!,Bedankt voor de troepen!,Takk for soldatene!,Obrigado pelas tropas!,Askerler için teşekkürler!,援軍ありがとうございます！,感谢您派出的增援部队！,유닛 지원에 감사드립니다!,Благодарю за воиска!
TID_ALLIANCE_TAB_NAME,Search Clans,Rechercher clans,Clans suchen,Buscar clanes,Cerca Clan,Clans doorzoeken,Søk etter klaner,Buscar clãs,Klan Arama,クランを探す,搜索部落,클랜 검색,Искать кланы
TID_ALLIANCE_TROOP_RECEIVED,You have received level <level> <troop> from <avatar>!,Vous avez reçu <troop> de niveau <level> de la part de <avatar> !,Du hast Level <level> <troop> von <avatar> erhalten!,¡Has recibido <troop> <level> de <avatar>!,Hai ricevuto <troop> di livello <level> da <avatar>!,Je hebt <troop> met niveau <level> ontvangen van <avatar>!,Du har mottatt nivå <level> <troop> fra <avatar>!,Você recebeu <troop> nível <level> de <avatar>!,<avatar> tarafından size <level> seviye <troop> gönderildi!,<avatar>からレベル<level>の<troop>をもらいました！,<avatar>派遣了<level>级<troop>增援您！,<avatar>님으로부터 레벨 <level> <troop>(을)를 받았습니다!,Вы получили <troop> <level> уровня от <avatar>!
TID_ALLIANCE_TYPE_CLOSED,Closed,Fermé,Geschlossen,Privado,Chiuso,Gesloten,Lukket,Fechado,Kapalı,参加不可,不可加入,비공개,Закрытый
TID_ALLIANCE_TYPE_INVITE_ONLY,Invite only,Sur invitation,Nur auf Einladung,Solo con invitación,Solo su invito,Alleen op uitnodiging,Bare inviter,Somente convidados,Yalnızca davet,承認制,只有被批准才能加入,초대 한정,Приглашение
TID_ALLIANCE_TYPE_OPEN,Anyone can join,Ouvert,Offen für alle,Público,Tutti possono unirsi,Open voor iedereen,Alle kan delta,Todos podem aderir,Herkes katılabilir,誰でも参加可能,任何人都可加入,공개,Открытый
TID_ALLIANCE_WAR_ATTACKS_REMAINING,Attacks remaining,Attaques restantes,Angriffe übrig,Ataques restantes,Attacchi rimanenti,Resterende aanvallen,Gjenværende angrep,Ataques restantes,Kalan saldırı,残り攻撃回数,剩余进攻次数,남은 공격,Атак осталось
TID_ALLIANCE_WAR_ATTACK_AVAILABLE,Available,Disponible,Verfügbar,Disponible,Disponibile,Beschikbaar,Tilgjengelig,Disponível,Mevcut,攻撃可能,可进攻,공격 가능,Доступно
TID_ALLIANCE_WAR_ATTACK_CONFIRM_1STAR,Your clan has already won 1 star from this village. Do you want to try for a better score?,Votre clan a déjà gagné 1 étoile contre ce village. Voulez-vous essayer de faire mieux ?,"Dein Clan hat bereits 1 Stern von diesem Dorf gewonnen. Möchtest du versuchen, dein Ergebnis zu verbessern?",Tu clan ya ha ganado 1 estrella en esta aldea. ¿Quieres intentarlo de nuevo para obtener una mayor puntuación?,Il tuo clan ha già conquistato 1 stella da questo villaggio. Vuoi provare a ottenere un risultato migliore?,Je clan heeft al 1 ster van dit dorp gewonnen. Wil je een betere score proberen te behalen?,Klanen din har allerede vunnet 1 stjerne fra denne landsbyen. Vil du prøve å gjøre det enda bedre?,O seu clã já ganhou 1 estrela desta vila. Quer tentar conseguir mais?,Klanın bu köyden zaten 1 yıldız kazandı. Daha iyi bir skor almak ister misin?,あなたのクランはこの村から星1つを勝ち取っています。更なる星を獲得するための戦いに挑みますか？,您的部落已经从此村庄赢得1星。您要尝试获得更好的成绩吗？,클랜이 이미 이 마을에서 별 1개를 획득했습니다. 더 나은 점수에 도전하시겠습니까?,В битве с этой деревней ваш клан получил 1 звезду. Попробуете побить рекорд?
TID_ALLIANCE_WAR_ATTACK_CONFIRM_2STARS,Your clan has already won 2 stars from this village. Do you want to try for a better score?,Votre clan a déjà gagné 2 étoiles contre ce village. Voulez-vous essayer de faire mieux ?,"Dein Clan hat bereits 2 Sterne von diesem Dorf gewonnen. Möchtest du versuchen, dein Ergebnis zu verbessern?",Tu clan ya ha ganado 2 estrellas en esta aldea. ¿Quieres intentarlo de nuevo para obtener una mayor puntuación?,Il tuo clan ha già conquistato 2 stelle da questo villaggio. Vuoi provare a ottenere un risultato migliore?,Je clan heeft al 2 sterren van dit dorp gewonnen. Wil je een betere score proberen te behalen?,Klanen din har allerede vunnet 2 stjerner fra denne landsbyen. Vil du prøve å gjøre det enda bedre?,O seu clã já ganhou 2 estrelas desta vila. Quer tentar conseguir mais?,Klanın bu köyden zaten 2 yıldız kazandı. Daha iyi bir skor almak ister misin?,あなたのクランはこの村から星2つを勝ち取っています。この村を完全に攻略するための戦いに挑みますか？,您的部落已经从此村庄赢得2星。您要尝试获得更好的成绩吗？,클랜이 이미 이 마을에서 별 2개를 획득했습니다. 더 나은 점수에 도전하시겠습니까?,В битве с этой деревней ваш клан получил 2 звезды. Попробуете побить рекорд?
TID_ALLIANCE_WAR_ATTACK_CONFIRM_3STARS,This village has already been destroyed and your clan can't gain more stars from it. Are you sure you want to attack?,Ce village a déjà été détruit et ne permettra pas à votre clan de gagner d'autres étoiles. Voulez-vous vraiment l'attaquer ?,Dieses Dorf wurde bereits zerstört und dein Clan kann keine weiteren Sterne davon erhalten. Möchtest du wirklich angreifen?,Esta aldea ya ha sido destruida y tu clan no podrá obtener más estrellas de ella. ¿Seguro que quieres atacar?,Questo villaggio è già stato distrutto e il tuo clan non può più ottenere stelle. Vuoi davvero attaccarlo?,Dit dorp is al vernietigd. Je clan kan er geen sterren meer verdienen. Weet je zeker dat je wilt aanvallen?,"Denne landsbyen har allerede blitt ødelagt, og klanen din kan ikke få flere stjerner fra den. Er du sikker på at du vil angripe?",Esta vila já foi destruída e o seu clã não pode ganhar mais estrelas com ela. Tem certeza de que quer atacar?,Bu köy zaten yok edildi ve klanın bu köyden daha fazla yıldız alamaz. Saldırmak istediğinden emin misin?,あなたのクランは、これ以上ないほど完璧にこの村を叩きのめしました。これ以上この村を攻撃してもスターは増えません。本当に攻撃しますか？,此村庄已经被摧毁，您的部落无法从中获得更多的星星。您真的要进攻吗？,이 마을은 이미 파괴되었으므로 공격해도 클랜 별을 얻을 수 없습니다. 그래도 공격하시겠습니까?,Эта деревня уже уничтожена и клан больше не получит за нее звезд. Вы точно хотите напасть?
TID_ALLIANCE_WAR_ATTACK_CONFIRM_TITLE,Confirm attack,Confirmer l'attaque,Angriff bestätigen,Confirmar ataque,Conferma attacco,Aanval bevestigen,Bekreft angrep,Confirmar o ataque,Saldırıyı onayla,攻撃確定,确认进攻,공격 확인,Подтверждение атаки
TID_ALLIANCE_WAR_ATTACK_FAILED,"Can't attack this village, try again later!","Impossible d'attaquer ce village, réessayez plus tard.",Dorf kann nicht angegriffen werden. Versuche es später erneut!,No se ha podido atacar esta aldea. Inténtalo más tarde.,Impossibile attaccare questo villaggio. Riprova più tardi.,Je kunt dit dorp niet aanvallen. Probeer het later opnieuw.,Kan ikke angripe denne landsbyen. Prøv igjen senere.,"Não é possível atacar esta vila, tente novamente mais tarde!","Bu köye saldıramazsın, daha sonra tekrar dene!",この村は攻撃できません。あとでまたお試しください！,无法进攻此村庄，请稍后重试！,마을을 공격할 수 없습니다. 나중에 다시 시도하세요!,"Невозможно напасть на деревню, попробуйте позже!"
TID_ALLIANCE_WAR_ATTACK_FAILED_ALL_ATTACKS_USED,You have already used all your attacks in this war!,Vous avez déjà utilisé toutes vos attaques dans cette guerre !,Du hast bereits alle Angriffe in diesem Krieg genutzt!,Ya has realizado todos tus ataques en esta guerra.,Hai già utilizzato tutti i tuoi attacchi in questa guerra!,Je hebt al je aanvallen voor deze oorlog al gebruikt.,Du har allerede brukt alle angrepene dine i denne krigen.,Você já usou todos os seus ataques nesta guerra!,Bu savaştaki tüm saldırılarını kullandın!,このクラン対戦でできる攻撃をし尽くしました！,您已经用完了在本次战争中的所有进攻次数！,이번 전쟁에서 공격 기회를 모두 사용했습니다!,Вы уже использовали все ходы в этой войне!
TID_ALLIANCE_WAR_ATTACK_FAILED_ATTACK_ONGOING,"You already have an attack ongoing, try again later!","Vous avez déjà une attaque en cours, réessayez plus tard.",Angriff läuft noch. Versuche es später erneut!,Ya estás realizando un ataque. Inténtalo más tarde.,C'è già un attacco in corso. Riprova più tardi.,Je bent al bezig met een aanval. Probeer het later opnieuw.,Du angriper allerede et mål. Prøv igjen senere.,"Você já tem um ataque em curso, tente novamente mais tarde!","Devam eden bir saldırın var, daha sonra tekrar dene!",既に攻撃を実行中です。あとでまたお試しください！,您已经有正在进行的进攻，请稍后重试！,이미 공격 중입니다. 나중에 다시 시도하세요!,"Атака уже начата, попробуйте позднее!"
TID_ALLIANCE_WAR_ATTACK_FAILED_INVALID_TARGET,"Can't attack this village, invalid target!","Impossible d'attaquer ce village, cible non valide.",Ungültiges Ziel. Dorf kann nicht angegriffen werden!,¡Objetivo incorrecto! No se puede atacar a esta aldea.,"Impossibile attaccare questo villaggio, bersaglio non valido.",Je kunt dit dorp niet aanvallen. Het is geen geldig doelwit.,"Kan ikke angripe denne landsbyen, ugyldig mål.","Não é possível atacar esta vila, o alvo não é válido!","Bu köye saldıramazsın, geçersiz hedef!",この村は攻撃目標ではないので、攻撃できません！,无法进攻此村庄，无效目标！,공격 대상이 아닌 마을입니다!,На эту деревню нельзя напасть: неверная цель!
TID_ALLIANCE_WAR_ATTACK_FAILED_SNAPSHOT_NOT_AVAILABLE,"Can't attack, target village is unavailable!","Impossible d'attaquer, village ciblé non disponible.",Angriff nicht möglich. Ziel-Dorf nicht verfügbar!,No se ha podido atacar esta aldea porque no está disponible.,"Impossibile attaccare, bersaglio non disponibile.",Je kunt dit doelwit niet aanvallen. Het dorp is niet beschikbaar.,Kan ikke angripe. Mållandsbyen er ikke tilgjengelig.,"Não é possível atacar, a vila alvo não está disponível!","Saldıramazsın, hedef köy mevcut değil!",対象の村が無効なため攻撃できません！,无法进攻，目标村庄不能被攻击！,비활성화된 마을은 공격할 수 없습니다!,Невозможно напасть: деревня недоступна!
TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_NOT_IN_WAR,"Can't attack in this war, you joined the clan after the war had started!","Impossible d'attaquer, cette guerre avait déjà commencé quand vous avez rejoint le clan !","Angriff in diesem Krieg nicht möglich, du bist dem Clan nach Kriegsbeginn beigetreten!",No puedes atacar en esta guerra porque te has unido al clan después de que empezara.,Impossibile attaccare in questa guerra: sei entrato nel clan quando era già iniziata.,Je kunt in deze oorlog niet aanvallen. Je hebt je bij de clan aangesloten nadat de oorlog is begonnen.,Kan ikke angripe i denne krigen. Du ble med i klanen etter at krigen hadde startet.,"Você não pode atacar nesta guerra, pois entrou no clã depois que ela já tinha começado!","Bu savaşa katılamazsın, klana savaş başladıktan sonra katıldın!",クラン対戦開始後にクランに参加したため、この戦いでは攻撃できません！,不能在本次部落对战中进攻，您是在开战后才加入部落的！,전쟁이 시작된 후에 클랜에 가입했으므로 이 전쟁에서는 공격할 수 없습니다!,На эту деревню нельзя напасть: она не воюет!
TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_UNDER_ATTACK,"Village is already under attack, try again later!","Village déjà attaqué, réessayez plus tard.",Dorf wird bereits angegriffen. Versuche es später erneut!,Esta aldea ya se encuentra bajo ataque. Inténtalo más tarde.,Il villaggio è già sotto attacco. Riprova più tardi.,Het dorp wordt al aangevallen. Probeer het later opnieuw.,Landsbyen blir allerede angrepet. Prøv igjen senere.,"A vila já está sob ataque, tente novamente mais tarde!","Köy zaten saldırı altında, daha sonra tekrar dene!",この村はすでに攻撃されているところです。あとでまたお試しください！,该村庄正在被攻击，请稍后重试！,이미 공격받고 있는 마을입니다. 나중에 다시 시도하세요!,"На деревню уже напали, попробуйте позже!"
TID_ALLIANCE_WAR_ATTACK_NOT_USED,Not used,Non utilisée,Unbenutzt,No usado,Non utilizzato,Niet gebruikt,Ikke brukt,Não usado,Kullanılmıyor,未使用,未使用,사용 안 함,Не использовано
TID_ALLIANCE_WAR_ATTACK_TIME_TITLE,Battle Day,Jour de combat,Kampftag,Día de la batalla,Giorno della battaglia,Oorlogsdag,Kampdag,Dia de batalha,Savaş Günü,戦闘日,战斗日,전투일,День сражения
TID_ALLIANCE_WAR_AVAILABLE_BONUS,War win bonus,Bonus de victoire :,Kriegssiegbonus,Bonus por victoria,Bonus vittoria guerra,Bonus voor\ngewonnen oorlog,Bonus for krigsseier,Bônus de vitória,Savaş kazanma bonusu,クラン対戦勝利ボーナス,战争胜利奖金,전쟁 승리 보너스,Бонус за победу
TID_ALLIANCE_WAR_AVG_ATTACK_DURATION,Average attack duration,Durée moyenne des attaques,Durchschnittliche Angriffsdauer,Duración media de ataque,Durata media attacco,Gemiddelde aanvalsduur,Gjennomsnittlig angrepslengde,Duração média do ataque,Ortalama saldırı süresi,平均攻撃時間,攻击平均持续时间,평균 공격 기간,Средняя продолжительность атаки
TID_ALLIANCE_WAR_BEST_ATTACK_ENEMY,Enemy best attack:,Meilleure attaque :,Bester Feindangriff:,Mejor ataque enemigo:,Miglior attacco del nemico:,Beste aanval vijand:,Fiendens beste angrep:,Melhor ataque do inimigo:,Düşmanın en iyi saldırısı:,敵軍最大の攻撃：,敌军最佳进攻：,적의 최고 공격:,Лучшая атака оппонента:
TID_ALLIANCE_WAR_BEST_ATTACK_FRIENDLY,Clan best attack:,Meilleure attaque du clan :,Bester Clanangriff:,Mejor ataque amigo:,Miglior attacco del clan:,Beste aanval clan:,Klanens beste angrep:,Melhor ataque do clã:,Klanın en iyi saldırısı:,味方最大の攻撃：,部落最佳进攻：,클랜의 최고 공격:,Лучшая атака клана:
TID_ALLIANCE_WAR_BEST_NO_ATTACK_ENEMY,No enemy best,Aucun record ennemi,Kein Feindrekord,No hay mejor ataque.,Nessun record nemico,Geen beste van de vijand,Ingen fienderekord,Não há melhor ataque inimigo,En iyi düşman rekoru yok,トップ以外（敵クラン）,无敌军最好成绩,적 최고 기록 없음,Лучшего врага нет
TID_ALLIANCE_WAR_BEST_NO_ATTACK_FRIENDLY,No clan best,Aucun record du clan,Kein Clanrekord,No hay mejor ataque.,Nessun record clan,Geen beste van de clan,Ingen klanrekord,Não há melhor ataque do clã,En iyi klan rekoru yok,トップ以外（マイクラン）,无部落最好成绩,클랜 최고 기록 없음,Лучшего в клане нет
TID_ALLIANCE_WAR_CANNOT_ATTACK,"Village not ready, please try again in a few minutes.","Le village n'est pas prêt, réessayez dans quelques minutes.",Dorf nicht bereit. Bitte versuche es in einigen Minuten erneut!,La aldea no está preparada. Inténtalo en unos minutos.,Il villaggio non è pronto. Riprova tra qualche minuto.,Het dorp is niet klaar. Probeer het over een paar minuten opnieuw.,"Landsbyen er ikke klar, prøv igjen om noen minutter.","A vila não está pronta, tente novamente dentro de alguns minutos.","Köy hazır değil, lütfen birkaç dakika içinde tekrar dene.",村の準備が整っていません。数分待ってから再度お試しください。,村庄未准备就绪，请在几分钟后重试。,마을이 아직 준비 중입니다. 몇 분 후 다시 시도해주세요.,"Деревня не готова. Пожалуйста, повторите через несколько минут."
TID_ALLIANCE_WAR_CANNOT_ATTACK_PREPARATION,"Cannot attack, this war has not started yet!","Attaque impossible, cette guerre n'a pas encore commencé !","Angriff nicht möglich, dieser Krieg hat noch nicht begonnen!",No puedes atacar porque la guerra todavía no ha empezado.,Impossibile attaccare: questa guerra non è ancora iniziata.,Je kunt niet aanvallen. Deze oorlog is nog niet begonnen.,"Kan ikke angripe, krigen har ikke startet ennå.","Você não pode atacar, esta guerra ainda não começou!","Saldırı yapılamıyor, bu savaş henüz başlamadı!",攻撃できません。まだクラン対戦の開始前です！,不能进攻，这场战争尚未开始！,이 전쟁은 아직 시작하지 않았으므로 공격할 수 없습니다!,Напасть нельзя — война еще не началась!
TID_ALLIANCE_WAR_CANNOT_ATTACK_SPECTATOR,Spectators cannot attack!,Les spectateurs ne peuvent pas attaquer !,Zuschauer können nicht angreifen!,Los espectadores no pueden atacar.,Gli spettatori non possono attaccare!,Toeschouwers kunnen niet aanvallen!,Tilskuere kan ikke angripe!,Espectadores não podem atacar!,İzleyiciler saldıramaz!,戦いに直接参加していないと攻撃できません！,观战的玩家不能参与进攻！,관전자는 공격할 수 없습니다!,Наблюдатель не может напасть!
TID_ALLIANCE_WAR_CANNOT_ATTACK_WAR_ENDED,"Cannot attack, this war has ended!","Attaque impossible, cette guerre est terminée !","Angriff nicht möglich, dieser Krieg ist zu Ende!",No puedes atacar porque esta guerra ha terminado.,Impossibile attaccare: questa guerra è terminata.,Je kunt niet aanvallen. Deze oorlog is afgelopen!,"Kan ikke angripe, krigen er over.","Você não pode atacar, esta guerra já acabou!","Saldırı yapılamıyor, bu savaş sona erdi!",攻撃できません。クラン対戦は終了しました！,不能进攻，这场战争已经结束！,이 전쟁은 끝났으므로 공격할 수 없습니다!,Напасть нельзя — война уже закончилась!
TID_ALLIANCE_WAR_CANNOT_SCOUT_WAR_OVER,"Cannot scout, this war has ended!","Exploration impossible, cette guerre est terminée !","Spähen nicht möglich, dieser Krieg ist zu Ende!",No puedes explorar porque esta guerra ha terminado.,Ricognizione impossibile: questa guerra è terminata!,Je kunt niet verkennen. Deze oorlog is afgelopen!,"Kan ikke speide, krigen er over.","Você não pode enviar o batedor, esta guerra terminou!","Gözcülük yapılamıyor, bu savaş sona erdi!",偵察できません。クラン対戦は終了しました！,无法侦察，这场战争已结束！,이 전쟁은 끝났으므로 정찰할 수 없습니다!,Шпионить невозможно: война окончена!
TID_ALLIANCE_WAR_CLAN_BANK,Clan Storage:,Réserves de clan :,Clanlagerplatz:,Almacenaje del clan:,Deposito clan:,Opslagruimte van clan:,Klanlagring:,Armazenagem do clã:,Klan Deposu:,クランの蔵：,部落储备：,클랜 저장소:,Склад Клана:
TID_ALLIANCE_WAR_CLOSE_RESULTS_SCREEN,View Map,Voir la carte,Karte ansehen,Ver mapa,Visualizza mappa,Kaart weergeven,Se kart,Exibir mapa,Haritayı Görüntüle,マップを見る,查看地图,지도 보기,Просмотр карты
TID_ALLIANCE_WAR_DATA_NOT_AVAILABLE,"Clan wars are still loading, please try again","Les Guerres de clans sont en cours de chargement, veuillez réessayer plus tard.","Die Clankriege werden noch geladen, bitte versuche es erneut","La guerra de clanes sigue cargando, por favor inténtalo de nuevo","Guerre tra clan in caricamento, riprova più tardi.",Clanoorlogen zijn nog aan het laden. Probeer het nog eens.,"Klankriger laster fortsatt, vennligst prøv igjen","As guerras de clã ainda estão carregando, tente novamente","Klan savaşları hala yükleniyor, lütfen tekrar deneyin",クラン対戦は現在準備中です。またお試しください。,部落对战仍在加载中，请重试。,클랜전을 아직 불러오는 중입니다. 다시 시도해 주세요,"Войны Кланов загружаются, повторите попытку еще раз."
TID_ALLIANCE_WAR_DEFEAT,Defeat,Défaite,Niederlage,Derrota,Sconfitta,Nederlaag,Nederlag,Derrota,Yenilgi,敗北,失败,패배,Поражение
TID_ALLIANCE_WAR_ENDED,War has ended,La guerre est terminée !,Der Krieg ist zu Ende!,¡La guerra ha terminado!,La guerra è terminata,De oorlog is afgelopen,Krigen er over,A guerra acabou,Savaş sona erdi,クラン対戦が終了しました,战争已经结束！,전쟁이 끝났습니다.,Война окончена!
TID_ALLIANCE_WAR_ENDED_PROMPT,War has ended,Guerre terminée,Krieg ist zu Ende,¡La guerra ha terminado!,La guerra è terminata,Oorlog is afgelopen,Krigen er over,A guerra acabou,Savaş sona erdi,クラン対戦が終了しました,战争已经结束,전쟁 종료,Война окончена
TID_ALLIANCE_WAR_ENDING_PROMPT,War Ending,Fin de la guerre,Krieg endet,Fin de la guerra,Fine guerra,Oorlog bijna afgelopen,Krigen avsluttes,A guerra está acabando,Savaş Sonu,クラン対戦終了,战争结束,전쟁 종료 중,Конец войны
TID_ALLIANCE_WAR_ENEMY_CLAN,Enemy Clan,Clan ennemi,Feindlicher Clan,Clan enemigo,Clan nemico,Vijandelijke clan,Fiendeklan,Clã inimigo,Düşman klan,敵クラン,敌军部落,적 클랜,Вражеский клан
TID_ALLIANCE_WAR_EVENTS,War Events,Événements de guerre,Kriegsereignisse,Eventos de guerra,Eventi di guerra,Oorlogsevents,Krigshendelser,Eventos de guerra,Savaş Etkinlikleri,クラン対戦履歴,战争事件,전쟁 이벤트,Военные события
TID_ALLIANCE_WAR_EVENT_25PERCENT_DESTROYED,25% destroyed!,Détruit à 25 % !,25 % zerstört!,¡25 % destruido!,25% distrutto!,25% vernietigd!,25 % ødelagt!,25% destruídas!,%25'i yok edildi!,25%破壊！,摧毁25%！,25% 파괴됐습니다!,Уничтожено 25%!
TID_ALLIANCE_WAR_EVENT_50PERCENT_DESTROYED,50% destroyed!,Détruit à 50 % !,50 % zerstört!,¡50 % destruido!,50% distrutto!,50% vernietigd!,50 % ødelagt!,50% destruídas!,%50'si yok edildi!,50%破壊！,摧毁50%！,50% 파괴됐습니다!,Уничтожено 50%!
TID_ALLIANCE_WAR_EVENT_75PERCENT_DESTROYED,75% destroyed!,Détruit à 75 % !,75 % zerstört!,¡75 % destruido!,75% distrutto!,75% vernietigd!,75 % ødelagt!,75% destruídas!,%75'i yok edildi!,７5%破壊！,摧毁75%！,75% 파괴됐습니다!,Уничтожено 75%!
TID_ALLIANCE_WAR_EVENT_PREPARATION_STARTED,Preparation started,Préparations commencées,Vorbereitung begonnen,Preparación iniciada,Preparativi iniziati,Voorbereidingen begonnen,Forberedelse startet,A preparação foi iniciada,Hazırlık başladı,クラン対戦の準備期間に入りました,已开始准备,준비 시작,Подготовка началась!
TID_ALLIANCE_WAR_EVENT_TOWN_HALL_DESTROYED,Town hall destroyed!,Hôtel de ville détruit !,Rathaus zerstört!,¡Ayuntamiento destruido!,Municipio distrutto!,Stadhuis is vernietigd!,Rådhuset er ødelagt!,Prefeitura destruída!,Belediye binası yok edildi!,タウンホール大破！,已摧毁大本营！,마을 회관이 파괴됐습니다!,Ратуша уничтожена!
TID_ALLIANCE_WAR_EVENT_WAR_ENDED,War ended,Guerre terminée,Krieg beendet,Guerra terminada,Guerra terminata,Oorlog afgelopen,Krig avsluttet,A guerra acabou,Savaş sona erdi,クラン対戦は終了しました,战争已结束,전쟁 종료,Война окончена
TID_ALLIANCE_WAR_EVENT_WAR_STARTED,War started,Guerre commencée,Krieg begonnen,Guerra iniciada,Guerra iniziata,Oorlog begonnen,Krig startet,A guerra começou,Savaş başladı,クラン対戦が始まりました,战争已开始,전쟁 시작,Война началась
TID_ALLIANCE_WAR_FAILED_ATTACKING_SAME_TARGET,You've already attacked this target!,Vous avez déjà attaqué cette cible !,Du hast dieses Ziel bereits angegriffen!,Ya has atacado este objetivo.,Hai già attaccato questo obiettivo!,Je hebt dit doel al aangevallen.,Du har allerede angrepet dette målet.,Você já atacou este alvo!,Bu hedefe zaten saldırdın!,同じ相手を攻撃することはできません！,您已经攻打过这个目标！,이 대상을 이미 공격했습니다!,Вы уже нападали на эту цель!
TID_ALLIANCE_WAR_FAILED_WAR_IS_ENDING,"Cannot attack, the war is about to end!","Attaque impossible, la guerre va se terminer !","Angriff nicht möglich, der Krieg endet gleich!",No puedes atacar porque la guerra del clan está a punto de acabar.,Impossibile attaccare: questa guerra sta per terminare!,Kan niet aanvallen. De oorlog is bijna afgelopen!,"Kan ikke angripe, krigen er snart over!","Você não pode atacar, a guerra está acabando!","Saldırı yapılamıyor, savaş sona ermek üzere!",クラン対戦がまもなく終了するため、攻撃できません！,无法进攻，部落对战即将结束！,클랜전이 곧 종료되므로 공격할 수 없습니다!,Невозможно напасть: война почти окончена!
TID_ALLIANCE_WAR_HAS_ENDED,Your current clan war has ended!,Votre guerre de clans actuelle est terminée !,Dein aktueller Clankrieg ist zu Ende!,¡La actual guerra del clan ha terminado!,La guerra del tuo clan in corso è terminata!,Je huidige clanoorlog is afgelopen!,Den gjeldende klankrigen er over!,A sua guerra de clã atual terminou!,Şu anki klan savaşın sona erdi!,現在のクラン対戦が終了しました！,您当前战争已经结束！,진행 중인 전쟁이 끝났습니다!,Текущая война кланов окончена!
TID_ALLIANCE_WAR_HISTORY_BROWSE_UNAVAILABLE,Details not available,Détails non disponibles,Details nicht verfügbar,Detalles no disponibles,Dettagli non disponibili,Gegevens niet beschikbaar,Detaljer ikke tilgjengelig,Detalhes não disponíveis,Ayrıntılar mevcut değil,詳細がありません,详细信息不可用,세부 정보 확인 불가,Подробности недоступны
TID_ALLIANCE_WAR_IN_WAR,War has started!,La guerre a commencé !,Der Krieg hat begonnen!,¡La guerra ha comenzado!,La guerra è iniziata!,De oorlog is begonnen!,Krigen har startet!,A guerra começou!,Savaş başladı!,クラン対戦が始まりました！,部落对战已经开始！,전쟁이 시작됐습니다!,Война началась!
TID_ALLIANCE_WAR_LAST_MOMENT_EVENT,Last moment!,Dernier moment !,Letzter Augenblick!,¡Último momento!,Ultimo istante!,Laatste moment!,Siste øyeblikk!,Último minuto!,Son dakika!,ギリギリ！,最后时刻！,최후의 순간!,Последний шанс!
TID_ALLIANCE_WAR_LOOKING_FOR_OPPONENT,Searching for opponent clan...,Recherche d'un clan adverse...,Nach gegnerischem Clan suchen ...,Buscando clan rival...,Ricerca clan avversario...,Vijandelijke clan zoeken...,Søker etter motstanderklan ...,Procurando um clã adversário...,Rakip klan aranıyor...,クラン対戦の相手を探しています...,正在搜索对战部落...,상대 클랜 검색 중...,Подбор вражеского клана...
TID_ALLIANCE_WAR_LOOT_BONUS_TITLE,War win bonus:,Bonus de victoire :,Kriegssiegbonus:,Bonus de guerra ganado:,Bonus vittoria guerra:,Bonus voor gewonnen oorlog:,Bonus for krigsseier:,Bônus de vitória na guerra:,Savaş kazanma bonusu:,クラン対戦勝利ボーナス：,战争胜利奖金：,전쟁 승리 보너스:,Бонус за победу:
TID_ALLIANCE_WAR_LOOT_COLLECT_INFO,You can collect the war loot bonus from your clan castle.,Vous pouvez récupérer le bonus du butin de guerre dans votre château de clan.,Du kannst den Kriegsbeutebonus in deiner Clanburg einsammeln.,Puedes recoger el botín de guerra de bonus en tu castillo del clan.,Puoi ottenere il bonus del bottino di guerra nel castello del tuo clan.,Je kunt de bonus voor de oorlogsbuit ophalen bij je clankasteel.,Du kan hente krigsbyttebonusen i klanslottet.,Você pode coletar o bônus de saque de guerra do seu castelo do clã.,Klan kalenden savaş ganimeti bonusu toplayabilirsin.,クランの城からクラン対戦の戦利品ボーナスを回収できます。,您可以从部落城堡收集从部落对战中获得的战利品。,클랜 성에서 전리품 보너스를 획득할 수 있습니다.,Вы можете забрать бонус военной добычи из Крепости Клана.
TID_ALLIANCE_WAR_LOOT_CONFIRMATION,Are you sure you want to collect your war loot from the clan castle?,Voulez-vous vraiment retirer votre butin de guerre du château de clan ?,Möchtest du deine Kriegsbeute wirklich von der Clanburg einsammeln?,¿Seguro que quieres recoger tu botín de guerra del castillo del clan?,Vuoi davvero prendere il tuo bottino di guerra dal castello del clan?,Weet je zeker dat je je oorlogsbuit wilt ophalen bij het clankasteel?,Er du sikker på at du vil hente krigsbyttet i klanslottet?,Tem certeza de que quer coletar seu saque de guerra do castelo do clã?,Klan kalesinden savaş ganimetini toplamak istediğinden emin misin?,本当にクラン対戦で得た戦利品を、クランの城から回収しますか？,您确定要从部落城堡收集战利品吗？,클랜 성에서 전리품을 획득하시겠습니까?,Вы точно хотите забрать военную добычу из Крепости Клана?
