Name,VisualLevel,TID,InfoTID,EnabledByCalendar,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,RequiredHeroTavernLevel,AttackRange,AltAttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SquarePicture,SquarePictureSWF,ArmyTrainingPicture,ArmyTrainingPictureSWF,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,AbilityAttackCount,MaxSearchRadiusForDefender,HousingSpace,HealerWeight,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilitySummonTroop,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps,VillageType,NoDefence,PreAttackEffect,DefaultSkin,NewTargetAttackDelay,Gender,SpecialAbilities,SpecialAbilitiesLevel,OnlyShowRageBoost,AvoidNoiseInAttackPositionSelection,AbilityExtraPowerMaxLevel,PreviewScenario,AltPreviewScenario,ItemSlotCount,DefaultItems,MigrationGearLevel,HeroFlagSWF,HeroFlagExportName,HeroFlagBaseExportName,HeroBannerPrefix,LevelGrantedByTavernLevel,ControlledMoveEffect,ForceRetaliation
,95,,,,,11475,0,,340000,16,10,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22643,13354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,15,,,,,,,
,96,,,,,11600,0,,350000,17,11,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22900,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,15,,,,,,,
,97,,,,,11725,0,,360000,17,11,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23150,13650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,15,,,,,,,
,98,,,,,11850,0,,370000,17,11,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23400,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,15,,,,,,,
,99,,,,,11975,0,,380000,17,11,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23650,13950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,15,,,,,,,
,100,,,,,12100,0,,400000,17,11,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24300,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,15,,,,,,,
,101,,,,,12225,0,,410000,18,12,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24450,14250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,15,,,,,,,
,102,,,,,12350,0,,420000,18,12,,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24600,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,15,,,,,,,
,103,,,,,12475,0,,430000,18,12,,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24750,14550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,15,,,,,,,
,104,,,,,12600,0,,450000,18,12,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24900,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,15,,,,,,,
,105,,,,,12725,,,,18,12,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25300,14850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,15,,,,,,,
Archer Queen,1,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS_QUEEN,,300,580,0,DarkElixir,5000,8,2,500,,750,,136,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,sc/info_archer.sc,icon_hero_archerQueen_profile,sc/ui.sc,hero_art_aq,sc/ui.sc,ArcherQueen arrow lvl1,,Hero Deploy,,,Archer Queen Hit,FALSE,TRUE,TRUE,FALSE,,,,,1000,25,25,Elixir,,Archer Queen Scream,,,300,Archer,TID_HERO_ABILITY_QUEEN_DESC,icon_hero_archerQueen_ability1,unit_archerQueen_ability1_big,2520,1411,1300,,,,,,,,,,,,,,,,,,,,,,,2100,500,,-50,TRUE,,,,ArcherQueenDefault,,F,ArcherQueenAbilityHeal,1,,TRUE,,HeroQueen,,2,Archer Puppet; Invisibility Vial;,1,sc/buildings.sc,AQ_rally_point,AQ_rally_point_base,aq,,ForceMoveAQ,TRUE
,2,,,,,592,0,,5500,8,2,,,,,139,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2574,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
,3,,,,,604,0,,6000,8,2,,,,,143,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
,4,,,,,617,0,,6500,8,2,,,,,146,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2694,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
,5,,,,,630,0,,7000,8,2,,,,,150,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2815,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
,6,,,,,643,0,,7500,8,2,,,,,154,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2883,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
,7,,,,,657,0,,8000,8,2,,,,,157,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
,8,,,,,670,0,,8500,8,2,,,,,162,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3019,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
,9,,,,,685,0,,10000,8,2,,,,,165,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
,10,,,,,699,0,,10500,8,2,,,,,169,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,
,11,,,,,714,0,,11000,9,3,,,,,173,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3284,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,12,,,,,729,0,,11500,9,3,,,,,178,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3368,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,13,,,,,744,0,,12000,9,3,,,,,183,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3451,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,14,,,,,759,0,,12500,9,3,,,,,187,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,15,,,,,775,0,,13000,9,3,,,,,192,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3678,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,16,,,,,792,0,,13500,9,3,,,,,196,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3757,2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,17,,,,,808,0,,14000,9,3,,,,,201,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,18,,,,,826,0,,14500,9,3,,,,,207,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,3945,2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,19,,,,,842,0,,15000,9,3,,,,,212,,,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,4032,2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,20,,,,,861,0,,17000,9,3,,,,,217,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4203,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,
,21,,,,,878,0,,19000,9,3,,,,,223,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4305,2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,22,,,,,897,0,,21000,9,3,,,,,228,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,23,,,,,916,0,,23000,9,3,,,,,234,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4506,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,24,,,,,935,0,,25000,9,3,,,,,240,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4612,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,25,,,,,954,0,,27000,9,3,,,,,246,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4805,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,
,26,,,,,974,0,,29000,9,3,,,,,252,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,4915,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,27,,,,,995,0,,31000,9,3,,,,,258,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5027,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,28,,,,,1016,0,,33000,9,3,,,,,264,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5139,3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,29,,,,,1038,0,,35000,9,3,,,,,271,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5265,3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,30,,,,,1059,0,,37000,9,3,,,,,278,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5486,3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,
,31,,,,,1082,0,,39000,10,4,,,,,285,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5616,3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,32,,,,,1104,0,,41000,10,4,,,,,292,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5743,3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,33,,,,,1127,0,,43000,10,4,,,,,299,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,5873,3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,34,,,,,1151,0,,45000,10,4,,,,,307,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6017,3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,35,,,,,1175,0,,47000,10,4,,,,,315,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6270,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,5,,,,,,,
,36,,,,,1200,0,,49000,10,4,,,,,322,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6407,3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,37,,,,,1226,0,,51000,10,4,,,,,331,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6569,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,38,,,,,1251,0,,53000,10,4,,,,,338,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6705,4117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,39,,,,,1278,0,,55000,10,4,,,,,347,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,6870,4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,40,,,,,1304,0,,58000,10,4,,,,,356,,,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,7155,4441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,,,,,,,
,41,,,,,1331,0,,61000,11,5,,,,,365,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,7322,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,42,,,,,1359,0,,64000,11,5,,,,,374,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,7491,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,43,,,,,1388,0,,67000,11,5,,,,,383,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,7663,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,44,,,,,1417,0,,70000,11,5,,,,,393,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,7846,4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,45,,,,,1447,0,,73000,11,5,,,,,403,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,8170,5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,7,,,,,,,
,46,,,,,1478,0,,76000,11,5,,,,,413,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,8361,5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,47,,,,,1508,0,,79000,11,5,,,,,423,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,8550,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,48,,,,,1540,0,,82000,11,5,,,,,434,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,8756,5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,49,,,,,1572,0,,85000,11,5,,,,,445,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,8961,5620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,50,,,,,1606,0,,86000,11,5,,,,,456,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,9326,5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,8,,,,,,,
,51,,,,,1646,0,,87000,12,6,,,,,465,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,9530,6036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,52,,,,,1688,0,,88000,12,6,,,,,474,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,9739,6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,53,,,,,1730,0,,89000,12,6,,,,,485,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,9972,6316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,54,,,,,1774,0,,90000,12,6,,,,,495,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,10198,6458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,55,,,,,1819,0,,93000,12,6,,,,,505,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,10773,6777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,9,,,,,,,
,56,,,,,1865,0,,96000,12,6,,,,,515,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,11011,6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,57,,,,,1912,0,,99000,12,6,,,,,526,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,11264,7086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,58,,,,,1960,0,,102000,12,6,,,,,537,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,11520,7246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,59,,,,,2010,0,,105000,12,6,,,,,548,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,11780,7410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,60,,,,,2060,0,,107000,12,6,,,,,559,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,12429,7768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,10,,,,,,,
,61,,,,,2111,0,,109000,12,6,,,,,570,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,12700,7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,62,,,,,2164,0,,111000,12,6,,,,,581,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,12977,8110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,63,,,,,2218,0,,113000,12,6,,,,,593,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,13268,8293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,64,,,,,2274,0,,115000,12,6,,,,,605,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,13565,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,65,,,,,2330,0,,117000,12,6,,,,,617,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,14296,8881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,11,,,,,,,
,66,,,,,2384,0,,119000,13,7,,,,,628,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,67,,,,,2432,0,,121000,13,7,,,,,638,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,14842,9220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,68,,,,,2476,0,,123000,13,7,,,,,648,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,15090,9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,69,,,,,2516,0,,125000,13,7,,,,,656,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,15301,9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,70,,,,,2552,0,,130000,13,7,,,,,664,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,15972,9865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,12,,,,,,,
,71,,,,,2584,0,,135000,13,7,,,,,671,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,16154,9978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,72,,,,,2616,0,,140000,13,7,,,,,677,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,16323,10082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,73,,,,,2648,0,,145000,13,7,,,,,682,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,16478,10177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,74,,,,,2680,0,,150000,13,7,,,,,687,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,16633,10273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,75,,,,,2712,0,,155000,13,7,,,,,692,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,17282,10616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,13,,,,,,,
,76,,,,,2740,0,,160000,14,8,,,,,697,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,17430,10707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,77,,,,,2768,0,,165000,14,8,,,,,701,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,17564,10790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,78,,,,,2796,0,,170000,14,8,,,,,706,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,17713,10881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,79,,,,,2824,0,,175000,14,8,,,,,710,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,17847,10963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,80,,,,,2852,0,,180000,14,8,,,,,714,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,18495,11303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,14,,,,,,,
,81,,,,,2880,0,,185000,14,8,,,,,717,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,18619,11378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,82,,,,,2904,0,,190000,14,8,,,,,721,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,18746,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,83,,,,,2928,0,,195000,14,8,,,,,724,,,,,,,,,,,ArcherQueen arrow lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,18858,11524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
