Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,ResourceIconLimit,UnitProduction,Hero,UpgradesUnits,BoostCost,Hitpoints,RegenTime,AttackRange,AltAttackMode,AltAttackRange,AttackSpeed,Damage,PreferredTarget,PreferredTargetDamageMod,RandomHitPosition,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,AltAirTargets,AltGroundTargets,AmmoCount,AmmoResource,AmmoCost,MinAttackRange,DamageRadius,PushBack,WallCornerPieces,LoadAmmoEffect,NoAmmoEffect,ToggleAttackModeEffect,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked,Hidden,TriggerRadius,ExportNameTriggered,AppearEffect,ForgesSpells,IsHeroBarrack,HeroType
,,,,,defense_wall_lvl4,,,,,0,,10000,4,,,,,,,,,,,,,,,,,,900,33,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl5,,,,,0,,30000,5,,,,,,,,,,,,,,,,,,1400,34,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl6,,,,,0,,75000,6,,,,,,,,,,,,,,,,,,2000,35,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl7,,,,,0,,200000,7,,,,,,,,,,,,,,,,,,2500,36,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl8,,,,,0,,500000,8,,,,,,,,,,,,,,,,,,3000,37,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl9,,,,,,,1000000,9,,,,,,,,,,,,,,,,,,4000,38,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl10,,,,,,,3000000,,,,,,,,,,,,,,,,,,,5500,39,,,,,,,,,Wall Level 10 Destroyed,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Wizard Tower,TID_BUILDING_WIZARD_TOWER,TID_WIZARD_TOWER_INFO,Defense,sc/buildings.sc,wizard_tower_lvl1,,wizard_tower_const,,12,0,Gold,180000,5,3,3,,wizard_tower_upg,,,,,,,,,,,,,,620,30,700,,,1300,11,,,,Building Destroyed,Wizard Tower attack,Wizard Tower hit,Wizard Blast,stone_destructed_state3,2,2,wizard_tower_base,npc_wizard_tower_base,TRUE,TRUE,,,,,,,100,,,,,,Wizard Tower Pickup,Wizard Tower Placing,,Wizard,1,170,,,,,,,,,
,,,,,wizard_tower_lvl4,,,1,0,0,,360000,5,,,,,,,,,,,,,,,,,,660,32,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard,,,,,,,,,,,
,,,,,wizard_tower_lvl7,,,2,0,0,,720000,6,,,,,,,,,,,,,,,,,,690,34,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard2,,,,,,,,,,,
,,,,,wizard_tower_lvl8,,,4,0,0,,1280000,7,,,,,,,,,,,,,,,,,,720,36,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard2,,,,,,,,,,,
,,,,,wizard_tower_lvl9,,,6,0,0,,1960000,8,,,,,,,,,,,,,,,,,,760,38,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard3,,,,,,,,,,,
,,,,,wizard_tower_lvl10,,,8,0,0,,2680000,8,,,,,,,,,,,,,,,,,,800,40,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard3,,,,,,,,,,,
,,,,,wizard_tower_lvl11,,,10,0,0,,5360000,9,,,,,,,,,,,,,,,,,,840,40,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wizard3,,,,,,,,,,,
Air Defense,TID_BUILDING_AIR_DEFENSE,TID_AIR_DEFENSE_INFO,Defense,sc/buildings.sc,fireworks_tower_lvl1,,fireworks_tower_const,,5,0,Gold,22500,4,3,3,,fireworks_tower_upg,,,,,,,,,,,,,,800,30,1000,,,1000,80,,,,Building Destroyed,Air Defence Attack,Air Defence hit1,Firework,wood_destructed_state2,2,2,airdefence_tower_base,npc_airdefence_tower_base,TRUE,FALSE,,,,,,,,,,,,,Air Defence Pickup,Air Defence Placing,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl2,,,1,0,0,,90000,4,,,,,,,,,,,,,,,,,,860,32,,,,,110,,,,,Air Defence Attack,Air Defence hit1,Firework2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl3,,,3,0,0,,270000,5,,,,,,,,,,,,,,,,,,900,34,,,,,140,,,,,Air Defence Attack,Air Defence hit2,Firework3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl4,,,5,0,0,,540000,6,,,,,,,,,,,,,,,,,,940,36,,,,,160,,,,,Air Defence Attack,Air Defence hit2,Firework4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl5,,,6,0,0,,1080000,7,,,,,,,,,,,,,,,,,,990,38,,,,,190,,,,,Air Defence Attack,Air Defence hit3,Firework5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl6,,,8,0,0,,2160000,8,,,,,,,,,,,,,,,,,,1040,40,,,,,230,,,,,Air Defence Attack,Air Defence hit3,Firework6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl7,,,10,0,0,,6480000,9,,,,,,,,,,,,,,,,,,1100,40,,,,,280,,,,,Air Defence Attack,Air Defence hit3,Firework6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortar,TID_BUILDING_MORTAR,TID_MORTAR_INFO,Defense,sc/buildings.sc,mortar_lvl1,,mortar_const,,8,0,Gold,8000,3,3,3,,mortar_upg,,,,,,,,,,,,,,400,30,1100,,,5000,4,,,,Building Destroyed,Mortar Attack,Mortar Hit,Mortar Ammo1,gen_destructed_state2,2,2,mortar_base,npc_mortar_base,FALSE,TRUE,,,,,,400,150,TRUE,,,,,Mortar Pickup,Mortar Placing,,,,,,,,,,,,,
,,,,,mortar_lvl2,,,,12,0,,32000,4,,,,,,,,,,,,,,,,,,450,32,,,,,5,,,,,Mortar Attack,Mortar Hit,Mortar Ammo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl3,,,1,0,0,,120000,5,,,,,,,,,,,,,,,,,,500,34,,,,,6,,,,,Mortar Attack,Mortar Hit,Mortar Ammo3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl4,,,2,0,0,,400000,6,,,,,,,,,,,,,,,,,,550,36,,,,,7,,,,,Mortar Attack,Mortar Hit,Mortar Ammo4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl5,,,4,0,0,,800000,7,,,,,,,,,,,,,,,,,,590,38,,,,,8,,,,,Mortar Attack,Mortar Hit,Mortar Ammo5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl6,,,5,0,0,,1600000,8,,,,,,,,,,,,,,,,,,610,40,,,,,9,,,,,Mortar Attack,Mortar Hit lvl6,Mortar Ammo6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl7,,,7,0,0,,3200000,9,,,,,,,,,,,,,,,,,,640,40,,,,,11,,,,,Mortar Attack,Mortar Hit lvl6,Mortar Ammo6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance Castle,TID_BUILDING_ALLIANCE_CASTLE,TID_ALLIANCE_CASTLE_INFO,Army,sc/buildings.sc,alliance_castle_lvl1,,alliance_castle_const,,,,Gold,40000,3,3,3,,alliance_castle_upg,,,,TRUE,10,,,,,,,,,1000,30,,,,,,,,,Building Destroyed,,,,alliance_castle_lvl1_broken,2,2,alliance_castle_base,npc_alliance_castle_base,,,,,,,,,,,,,,,Alliance Castle Pickup,Alliance Castle Placing,TRUE,,,,,TRUE,,,,,,,
,,,,,alliance_castle_lvl2,,,,6,0,,100000,4,,,,,,,,,15,,,,,,,,,1400,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,alliance_castle_lvl3,,,1,0,0,,800000,6,,,,,,,,,20,,,,,,,,,2000,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,alliance_castle_lvl4,,,2,0,0,,1800000,8,,,,,,,,,25,,,,,,,,,2600,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worker Building,TID_WORKER_BUILDING,TID_WORKER_INFO,Worker,sc/buildings.sc,worker_building,,worker_building_const,,,0,Diamonds,200,1,2,2,,worker_building_upg,,,,,,,,,,,,,,250,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state1,1,1,worker_building_base,npc_worker_building_base,,,,,,,,,,,,,,,Worker Building Pickup,Worker Building Placing,TRUE,,,,,,,,,,,,
Communications mast,TID_COMM_MAST,TID_COMM_MAST_INFO,Npc,sc/buildings.sc,comm_mast_lvl1,,comm_mast_const,0,0,0,Gold,1000,1,2,2,,comm_mast_upg,,,,,,,,,,,,,,250,30,,,,,,,,,Building Destroyed,,,,comm_mast_lvl1_broken,1,1,comm_mast_base,npc_comm_mast_base,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
Goblin main building,TID_GOBLIN_MAIN_BUILDING,TID_GOBLIN_MAIN_BUILDING_INFO,Npc,sc/buildings.sc,goblin_townhall_lvl1,,generic_construction_state3,,,1,Gold,0,,4,4,,generic_upgrade_state3,1000,1000,,,,,,,,,,,,1250,30,,,,,,,,,Building Destroyed,,,,town_hall_broken,3,3,goblin_townhall_base,,,,,,,,,,,,,,,,Town Hall Pickup,Town Hall Placing,TRUE,,,,1,,,,,,,,
Goblin hut,TID_GOBLIN_HUT,TID_GOBLIN_HUT_INFO,Npc,sc/buildings.sc,goblin_hut_lvl1,,generic_construction_state3,,,5,Elixir,250,1,2,2,,generic_upgrade_state2,,,,,20,,,,,,,,,250,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,goblin_hut_base,,,,,,,,,,,,,,,,Troop Housing Pickup,Troop Housing Placing,TRUE,,,,,,,,,,,,
Tesla Tower,TID_BUILDING_TESLA_TOWER,TID_TESLA_TOWER_INFO,Defense,sc/buildings.sc,teslatower_lvl1_setup,,teslatower_const,2,0,0,Gold,1000000,7,2,2,,teslatower_upg,,,,,,,,,,,,,,600,34,700,,,600,34,PEKKA,2,,Building Destroyed,Tesla Attack_1,Tesla Hit,,gen_destructed_state2,1,1,,,TRUE,TRUE,,,,,,,,,,,,,Tesla Pickup,Tesla Placing,,,,,,,TRUE,500,teslatower_lvl1,Tesla Appear,,,
,,,,,teslatower_lvl2_setup,,,4,0,0,,1250000,7,,,,,,,,,,,,,,,,,,630,35,,,,,40,,,,,Tesla Attack_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl2,,,,
,,,,,teslatower_lvl3_setup,,,6,0,0,,1500000,7,,,,,,,,,,,,,,,,,,660,36,,,,,48,,,,,Tesla Attack_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl3,,,,
,,,,,teslatower_lvl4_setup,,,8,0,0,,2000000,8,,,,,,,,,,,,,,,,,,690,37,,,,,55,,,,,Tesla Attack_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl4,,,,
,,,,,teslatower_lvl5_setup,,,10,0,0,,2500000,8,,,,,,,,,,,,,,,,,,730,38,,,,,64,,,,,Tesla Attack_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl5,,,,
,,,,,teslatower_lvl6_setup,,,12,0,0,,3000000,8,,,,,,,,,,,,,,,,,,770,39,,,,,75,,,,,Tesla Attack_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl6,,,,
Spell Forge,TID_BUILDING_SPELL_FORGE,TID_SPELL_FORGE_INFO,Army,sc/buildings.sc,spell_factory_lvl1,,spell_factory_const,1,0,,Elixir,200000,5,3,3,,spell_factory_upg,,,,,1,,,,,1,,,25,200,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state3,2,2,goldmine_base,npc_goldmine_base,,,,,,,,,,,,,,,Training Barrack Pickup,Training Barrack Placing,TRUE,,,,,,,,,,TRUE,,
,,,,,spell_factory_lvl2,,,2,0,,,400000,6,,,,,,,,,2,,,,,2,,,,300,31,,,,,,,,,,,,,,,,goldmine_base,npc_goldmine_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,spell_factory_lvl3,,,4,0,,,800000,7,,,,,,,,,3,,,,,3,,,,400,32,,,,,,,,,,,,,,,,goldmine_base,npc_goldmine_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,spell_factory_lvl4,,,5,0,,,1600000,9,,,,,,,,,4,,,,,4,,,,500,33,,,,,,,,,,,,,,,,spellforge_lvl4_base,npc_spellforge_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow,TID_BUILDING_BOW,TID_BOW_INFO,Defense,sc/buildings.sc,rapidfire_turret_lvl1,,basic_turret_const,7,0,,Gold,3000000,1,3,3,,basic_turret_upg,,,,,,,,,,,,,,1500,30,1400,TRUE,1100,128,50,,,TRUE,Building Destroyed,Rapidfire bow attack,Generic Hit,Rapidfire arrow,gen_destructed_state2,2,2,rapidfire_base,npc_rapidfire_base,FALSE,TRUE,TRUE,TRUE,1500,Elixir,50000,,,,,Bow Load,Bow No Ammo,Bow Target,Bow Pickup,Bow Placing,TRUE,,,,,,,,,,,,
,,,,,rapidfire_turret_lvl2,,,10,,,,6000000,,,,,,,,,,,,,,,,,,,1900,30,,,,,60,,,,,,,Rapidfire arrow lvl2,,,,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,
,,,,,rapidfire_turret_lvl3,,,14,,,,8000000,,,,,,,,,,,,,,,,,,,2400,30,,,,,75,,,,,,,Rapidfire arrow lvl3,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,
Hero Altar Barbarian King,TID_BARBARIAN_KING,TID_BARBARIAN_KING_INFO,Army,sc/buildings.sc,heroaltar_barbarian_king_lvl1,,heroaltar_barbarian_king_const,,,,DarkElixir,10000,7,3,3,,heroaltar_barbarian_king_upg,,,,,,,,,,true,,,,250,,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,heroaltar_base,npc_heroaltar_base,,,,,,,,,,,,,,,Hero Altar Pickup,Hero Altar Place,TRUE,,,,,,,,,,,TRUE,Barbarian King
Dark Elixir Pump,TID_BUILDING_DARK_ELIXIR_PUMP,TID_DARK_ELIXIR_PUMP_INFO,Resource,sc/buildings.sc,darkelixir_pump_lvl1,,darkelixir_pump_const,1,0,,Elixir,1000000,1,3,3,,darkelixir_pump_upg,,,,,,DarkElixir,20,120,1,,,,16,400,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,dark_elixir_pump_base,dark_elixir_pump_base,,,,,,,,,,,,,,,Dark Elixir Drill Pickup,Dark Elixir Drill Place,TRUE,,,,,,,,,,,,
,,,,,darkelixir_pump_lvl2,,,2,0,,,2000000,1,,,,,,,,,,,30,240,1,,,,20,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_pump_lvl3,,,3,0,,,3000000,1,,,,,,,,,,,45,450,1,,,,26,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_pump_lvl4,,,4,0,,,4000000,9,,,,,,,,,,,60,720,2,,,,32,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_pump_lvl5,,,6,0,,,6000000,9,,,,,,,,,,,80,1120,2,,,,40,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_pump_lvl6,,,8,0,,,8000000,9,,,,,,,,,,,100,1600,3,,,,48,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Elixir Storage,TID_BUILDING_DARK_ELIXIR_STORAGE,TID_DARK_ELIXIR_STORAGE_INFO,Resource,sc/buildings.sc,darkelixir_storage_level1,,darkelixir_storage_const,1,0,,Elixir,600000,1,3,3,,darkelixir_storage_upg,,,10000,,,,,,,,,,,1000,30,,,,,,,,,Elixir Storage Destroyed,,,,elixir_destructed_state3,2,2,dark_elixir_storage_lvl1_base,npc_elixir_storage_base,,,,,,,,,,,,,,,Dark Elixir Storage Pickup,Dark Elixir Storage Place,,,,,,,,,,,,,
,,,,,darkelixir_storage_level2,,,2,0,,,1200000,1,,,,,,,20000,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,dark_elixir_storage_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_storage_level3,,,3,0,,,1800000,8,,,,,,,40000,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,dark_elixir_storage_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_storage_level4,,,4,0,,,2400000,8,,,,,,,80000,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,dark_elixir_storage_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_storage_level5,,,5,0,,,3000000,9,,,,,,,150000,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,dark_elixir_storage_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,darkelixir_storage_level6,,,6,0,,,3600000,9,,,,,,,200000,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,dark_elixir_storage_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Altar Archer Queen,TID_ARCHER_QUEEN,TID_ARCHER_QUEEN_INFO,Army,sc/buildings.sc,heroaltar_archer_queen_lvl1,,heroaltar_archer_queen_const,,,,DarkElixir,40000,9,3,3,,heroaltar_archer_queen_upg,,,,,,,,,,true,,,,250,,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,heroaltar_base,npc_heroaltar_base,,,,,,,,,,,,,,,Hero Altar Pickup,Hero Altar Place,TRUE,,,,,,,,,,,TRUE,Archer Queen
