TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_BUTTON_UPGRADE,Upgrade,Améliorer,Upgrade,Mejorar,Migliora,Verbeteren,Oppgrader,Melhorar,Yükselt,アップグレード
TID_BUTTON_UPGRADE_TROOPS,Research,Rechercher,Entwicklung,Investigación,Ricerca,Onderzoek,Forskning,Pesquisa,Araştır,リサーチ
TID_BUY_MISSING_RESOURCES_HEADER,You need more <resource>,Vous avez besoin de plus de <resource>,Du brauchst mehr hiervon: <resource>,Necesitas más <resource>.,Ti serve più <resource>,Je hebt meer <resource> nodig,Du trenger mer <resource>,Você precisa de mais <resource>,Daha fazla <resource> gerekiyor,<resource>がもっと必要です。
TID_BUY_MISSING_RESOURCES_TEXT,Buy the missing <count> <resource>?,Acheter les <count> <resource> manquants ?,Fehlende <count> <resource> kaufen?,Te falta <count> de <resource>. ¿Comprar?,Acquistare le <count> unità di <resource> mancanti?,De onbrekende <count> <resource> kopen?,Kjøpe manglende <count> <resource>?,Comprar <count> <resource> ausente?,"<count> <resource> eksik, satın alacak mısın?",残り<count>の<resource>を購入しますか？
TID_BUY_RESOURCE_PACK_HEADER,Buy <resource>?,Acheter <resource> ?,<resource> kaufen?,¿Comprar <resource>?,Acquistare <resource>?,<resource> kopen?,Kjøpe <resource>?,Comprar <resource>?,<resource> satın alacak mısın?,<resource>を購入しますか？
TID_BUY_RESOURCE_PACK_TEXT,Are you sure you want to buy <count> <resource>?,Voulez-vous vraiment acheter <count> <resource> ?,Möchtest du wirklich <count> <resource> kaufen?,¿Seguro que quieres comprar <count> <resource>?,Vuoi davvero comprare <count> <resource>?,Weet je zeker dat je <count> <resource> wilt kopen?,Er du sikker på at du vil kjøpe <count> <resource>?,Tem certeza de que quer comprar <count> <resource>?,<count> <resource> satın almak istediğinden emin misin?,<count>の<resource>を本当に購入しますか？
TID_BUY_SHIELD_HEADER,Buy shield?,Acheter un bouclier ?,Schild kaufen?,¿Comprar escudo?,Acquistare scudo?,Schild kopen?,Kjøpe skjold?,Comprar escudo?,Kalkan satın al?,シールドを購入しますか？
TID_BUY_SHIELD_TEXT,Are you sure you want to buy <name>?,Voulez-vous vraiment acheter <name> ?,Möchtest du wirklich <name> kaufen?,¿Seguro que quieres comprar <name>?,Vuoi davvero comprare <name>?,Weet je zeker dat je <name> wilt kopen?,Er du sikker på at du vil kjøpe <name>?,Tem certeza de que quer comprar <name>?,<name> satın almak istediğinden emin misin?,<name>を本当に購入しますか？
TID_CANCEL_BOOST_CONFIRMATION,Upgrading the building will end the boost. Are you sure?,Améliorer le bâtiment mettra fin à l'accélération. Confirmer ?,Durch das Verbessern des Gebäudes endet der Schub. Bist du sicher?,"Si mejoras el edificio, se detendrá la aceleración. ¿Seguro que quieres hacerlo?","Se migliori l'edificio, l'incremento finirà. Vuoi davvero procedere?","Als je het gebouw upgrade, beëindig je de boost. Weet je het zeker?",Oppgradering av bygningen vil avslutte forsterkningen. Er du sikker?,Atualizar o prédio irá interromper a aceleração. Tem certeza?,Binayı yükseltmek arttırmayı sonlandıracak. Emin misin?,建物をアップグレードして強化を終了します。よろしいですか？
TID_CANCEL_BOOST_CONFIRMATION_TITLE,End Boost?,Stopper l'accélération ?,Schub beenden?,¿Finalizar aceleración?,Vuoi terminare l'incremento?,Boost stoppen?,Avslutt forsterkning?,Parar aceleração?,Arttırmayı sonlandır?,強化を終了しますか！
TID_CANCLE_SPELL_INFO,Note! Removing spells from the queue will refund only <number>% of the cost.,À noter ! Supprimer les sorts en attente ne rendra que <number>% de leur coût.,Beachte! Das Entfernen von Zaubersprüchen aus der Warteschlange wird die nur <number> % der Kosten erstatten.,¡Nota! Eliminar hechizos de la cola solo devolverá el <number> % del coste.,Nota! La rimozione degli incantesimi dalla coda rimborserà solo il <number>% del costo.,Let op! Spreuken verwijderen uit de wachtrij levert slechts <number>% van de kosten op.,Obs! Fjerning av trolldom fra køen vil kun refundere <number>% av kostnaden.,Nota! Retirar feitiços da fila reembolsará apenas <number>% do custo.,Not! Sıradaki büyü iptal edilirse %<number> oranında maliyet iade edilir.,注意！キューから呪文を削除すると、コストの<number>%が戻ってきます。
TID_CANCLE_TRAINING_INFO,Note! Removing troops from the queue will refund only <number>% of the cost.,À noter ! Supprimer les troupes en attente ne rendra que <number>% de leur coût.,Beachte! Das Entfernen von Truppen aus der Warteschlange wird die nur <number> % der Kosten erstatten.,¡Nota! Eliminar tropas de la cola solo devolverá el <number> % del coste.,Nota! La rimozione delle truppe dalla coda rimborserà solo il <number>% del costo.,Let op! Troepen verwijderen uit de wachtrij levert slechts <number>% van de kosten op.,Obs! Fjerning av tropper fra køen vil kun refundere <number>% av kostnaden.,Nota! Retirar tropas da fila reembolsará apenas <number>% do custo.,Not! Birlik üretimi iptal edilirse %<number> oranında maliyet iade edilir.,注意！キューから軍隊を削除すると、コストの<number>%が戻ってきます。
TID_CASTLE_FULL,Castle full,Château plein,Burg voll,Castillo lleno,Castello pieno,Kasteel vol,Slott fullt,Castelo cheio,Kale dolu,砦がいっぱいです
TID_CHAT_BANNED_PERIOD_OF,You are muted in the global chat for:,Vous ne pouvez plus participer au chat global pendant :,Du wurdest im Globalen Chat stumm geschaltet für.,Has sido vetado en el chat general durante:,Sei stato zittito nella chat globale perché:,Je bent van de wereldwijde chat verbannen voor:,Lyden din er slått av i den globale chatten i:,Você está silenciado no chat global por:,Küresel sohbette engellenme sebebin:,次のチャットで発言できません：
TID_CHAT_BANNED_REASON,Other players have reported you for inappropriate comments.,Des joueurs nous ont signalé que vos messages sont inappropriés.,Andere Spieler haben dich aufgrund deiner unangebrachten Kommentare gemeldet.,Has sido denunciado por otros jugadores debido a comentarios inapropiados,Altri giocatori ti hanno segnalato per commenti inappropriati.,Andere spelers hebben je gerapporteerd voor ongepast gedrag.,Andre spillere har rapportert deg på grunn av upassende kommentarer.,Outros jogadores relataram você por comentários inadequados.,"Diğer oyuncular, uygunsuz yorumların için seni şikayet etti.",不適切な書込みをしたと他のプレイヤーから通報されました。
TID_CHAT_FAIL_BANNED,You have been temporarily muted in the global chat.,Vous ne pouvez temporairement plus participer au chat global.,Du wurdest im Globalen Chat zeitweilig stumm geschaltet.,Has sido vetado temporalmente en el chat global.,Sei stato temporaneamente zittito nella chat globale.,Je bent tijdelijk van de wereldwijde chat verbannen.,Lyden din er slått av midlertidig i den globale chatten.,Você foi silenciado temporariamente no chat global.,Küresel sohbette geçici olarak engellendin.,一時的にチャットで発言できません
TID_CHAT_INFO,"To report inappropriate behavior, tap on the offending message and choose \qReport\q.","Pour signaler tout comportement indécent, touchez le message offusquant et sélectionnez \qSignaler\q.","Um unangemessenes Verhalten zu melden, tippst du auf die anstößige Nachricht und wählst \qReport\q.","Para informar de un comportamiento inadecuado, toca el mensaje ofensivo y selecciona \qDenunciar\q.","Per riportare un comportamento inappropriato, toccalo il messaggio offensivo e seleziona \qSegnala\q.","Om ongepast gedrag te rapporteren, tik je op het ongepaste bericht en kies je\qRapporteren\q.","Hvis du vil rapportere upassende oppførsel, trykker du på den støtende meldingen og velger \qRapporter\q.","Para reportar um comportamento inapropriado, toque na mensagem ofensiva e selecione \qReportar\q.",Uygunsuz bir davranışı bildirmek için hakaret içeren mesaja dokunun ve \qBildir\q seçeneğini seçin.,不適切な言動を通報するには、攻撃的な発言をタップして\qReport\qを選択してください。
TID_CHAT_JUST_BANNED,Other players have reported you for inappropriate comments. You have been muted in the global chat.,Des joueurs nous ont signalé que vos messages sont inappropriés. Vous n'êtes plus autorisé à participer au chat global.,Andere Spieler haben dich aufgrund deiner unangebrachten Kommentare gemeldet. Du wurdest im Globalen Chat stumm geschaltet.,Has sido denunciado por otros jugadores debido a comentarios inapropiados. Has sido vetado en el chat global.,Altri giocatori ti hanno segnalato per commenti inappropriati. Sei stato zittito nella chat globale.,Andere spelers hebben je gerapporteerd voor ongepast gedrag. Je bent van de wereldwijde chat verbannen.,Andre spillere har rapportert deg på grunn av upassende kommentarer. Lyden din er slått av midlertidig i den globale chatten.,Outros jogadores relataram você por comentários inadequados. Você foi silenciado no chat global.,"Diğer oyuncular, uygunsuz yorumların için seni şikayet etti. Küresel sohbette engellendin.",不適切な書込みをしたと他のプレイヤーから通報されました。チャットで発言できなくなりました。
TID_CHAT_UNAVAILABLE,Chat unavailable!,Chat indisponible !,Chat nicht verfügbar!,¡Chat no disponible!,Chat non disponibile!,Chat niet beschikbaar!,Chat utilgjengelig!,Chat não disponível!,Sohbet kullanılamıyor!,チャットは利用できません！
TID_CHAT_WELCOME,Welcome to the global chat. Please be respectful and polite towards others.\n\nOffensive behavior is not tolerated.,Bienvenue sur le chat global. Veuillez vous montrer respectueux et poli avec les autres joueurs.\n\nTout comportement déplacé ne sera absolument pas toléré.,Willkommen im globalen Chat. Bitte sei anderen gegenüber respektvoll und höflich.\n\nOffensives Verhalten wird nicht toleriert.,"Bienvenido al chat global. Por favor, sé respetuoso y educado con los demás.\n\nNo se tolerará un comportamiento ofensivo.",Benvenuto nella chat globale. Ti preghiamo di rispettare gli altri.\n\nNon saranno tollerati comportamenti offensivi.,Welkom bij de wereldwijde chat. Toon respect en wees beleefd.\n\nAanstootgevend gedrag wordt niet getolereerd.,Velkommen til den globale chatten. Vis respekt og vær høflig mot andre.\n\nStøtende oppførsel blir ikke tolerert.,"Bem-vindo ao chat global. Por favor, seja respeitoso e cortês com os outros jogadores.\n\nComportamento agressivo não será tolerado.",Küresel sohbete hoş geldin. Lütfen diğer oyunculara karşı kibar ve saygılı ol.\n\nKaba davranışlara göz yumulmayacaktır.,チャットへようこそ。他のプレイヤーに対して節度ある態度で使用してください。\n\n攻撃的な言動は認められません。
TID_CLAN_CASTLE_TROOPS_INSIDE,Troops inside:,Troupes à l'intérieur :,Truppen im Inneren:,Tropas dentro:,Truppe all´interno:,Klaarstaande troepen:,Soldater inne:,Unidades dentro:,İçindeki askerler:,軍隊：
TID_CLAN_JOIN_FAIL_ALREADY_IN_CLAN,You are already in a clan!,Vous faites déjà partie d'un clan !,Du bereits in einem Clan!,¡Ya perteneces a un clan!,Fai già parte di un clan!,Je zit al bij een clan!,Du er allerede med i en klan!,Você já está em um clã!,Zaten bir klandasınız!,すでにクランに加入しています！
TID_CLAN_JOIN_FAIL_ALREADY_SENT,Wait before sending another request to join this clan!,Attendez un peu avant de renvoyer une demande pour rejoindre ce clan !,"Warte, bevor du diesem Clan eine weitere Anfrage zum Beitritt schickst!",¡Espera antes de enviar otra petición para unirte a este clan!,Aspetta prima di inviare una nuova richiesta per unirti a questo clan!,Wacht voordat je een ander verzoek verstuurt om bij deze clan te gaan!,Vent før du sender en ny forespørsel om å bli med i denne klanen!,Aguarde antes de enviar outra solicitação para se juntar a este clã!,Bu klana katılmak için yeni bir istek göndermeden önce bekleyin!,このクランに加入するためのリクエストを送るまでお待ちください。
TID_CLAN_JOIN_FAIL_CLOSED,Clan is closed!,Le clan est fermé !,Clan wurde geschlossen!,¡El clan está cerrado!,Il Clan è chiuso!,Clan is gesloten!,Klanen er lukket!,O clã está fechado!,Klan kapalı!,クランが閉鎖されました！
TID_CLAN_JOIN_FAIL_FULL,Clan is full!,Le clan est plein !,Clan ist voll!,¡El clan está lleno!,Il clan è al completo!,Clan is vol!,Klanen er full!,O clã está cheio!,Klan dolu!,クランはいっぱいです！
TID_CLAN_JOIN_FAIL_GENERIC,Unable to join the clan!,Impossible de rejoindre le clan !,Clanbeitritt nicht möglich!,¡No has podido unirte al clan!,Non è stato possibile unirsi al clan!,Kan niet bij de clan!,Kan ikke bli med i denne klanen!,Não é possível se juntar ao clã!,Klana girilemiyor!,クランに加入できません！
TID_CLAN_JOIN_FAIL_NO_SCORE,You don't have enough trophies to join this clan!,Vous n'avez pas assez de trophées pour rejoindre ce clan !,"Du hast nicht genug Trophäen, um diesem Clan beitreten zu können!",¡No tienes trofeos suficientes para unirte a este clan!,Non hai abbastanza trofei per unirti a questo clan!,Je hebt te weinig trofeeën om bij deze clan te gaan!,Du har ikke nok troféer til å bli med i denne klanen!,Você não tem troféus suficientes para se juntar a este clã!,Bu klana katılmak için yeterince ödülünüz yok!,トロフィーが足りないためこのクランに加入できません。
TID_CLAN_MEMBERS,Members:,Membres :,Mitglieder:,Miembros:,Membri:,Leden:,Medlemmer:,Membros:,Üyeler:,メンバー：
TID_CLAN_MINIMUM_TROPHYS,Required trophies:,Trophées requis :,Benötigte Trophäen:,Trofeos requeridos:,Trofei necessari:,Vereiste trofeeën:,Troféer som kreves:,Troféus necessários:,Gereken ödüller:,必要なトロフィー：
TID_CLAN_SEARCH_NO_RESULTS,No search results found,Aucun résultat trouvé,Keine Ergebnisse gefunden,No se hallaron resultados,Nessun risultato trovato,Geen zoekresulaten gevonden,Ingen søkeresultater funnet,Nenhum resultado encontrado,Aramada hiçbir sonuca ulaşılamadı,該当なし
TID_CLAN_SEARCH_RESULTS,Displaying search results for \q<name>\q,Résultats de la recherche pour \q<name>\q,Suchergebnisse für \q<name>\q werden angezeigt,Mostrando resultados de búsqueda de \q<name>\q,Risultati ricerca \q<name>\q,Zoekresultaten voor \q<name>\q,Viser søkeresultater for \q<name>\q,Exibindo os resultados da busca para \q<name>\q,\q<name>\q için arama sonuçları görüntüleniyor,\q<name>\qの検索結果を表示
TID_CLAN_TOTAL_POINTS,Total points:,Total de points :,Gesamtpunkte:,Puntos totales:,Punti totali:,Totaal aantal punten:,Poeng i alt:,Total de pontos:,Toplam puan:,トータルポイント：
TID_CLAN_TYPE,Type:,Type :,Art:,Tipo:,Tipo:,Type:,Type:,Tipo:,Tür:,タイプ：
TID_COME_BACK_NOTIFICATION_LARGE,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var",戻ってきてください。兵隊たちにはリーダーが必要です。
TID_COME_BACK_NOTIFICATION_MEDIUM,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var",戻ってきてください。兵隊たちにはリーダーが必要です。
TID_COME_BACK_NOTIFICATION_SMALL,"Hey come back, your warriors need a leader",Hé ! Revenez ! Vos soldats ont besoin d'un chef,"Hey, komm zurück, deine Krieger brauchen einen Anführer","Eh, vuelve. ¡Tus guerreros necesitan un líder!","Ehi, torna qui, i tuoi guerrieri hanno bisogno di un capo.","Hé, kom terug! Je krijgers hebben een leider nodig","Hei, kom tilbake, krigerne trenger en leder","Ei, volte, seus guerreiros precisam de um líder","Her, geri gel, savaşçılarının bir lidere ihtiyacı var",戻ってきてください。兵隊たちにはリーダーが必要です。
TID_COMING_SOON,Coming Soon...,Prochainement...,Bald verfügbar ...,Próximamente...,Prossimamente...,Binnenkort...,Kommer snart..,Em breve...,Çok Yakında...,まもまくです・・・
TID_COMM_MAST,Radio Tower,Tour de radiodiffusion,Funkturm,Torre de la radio,Torre radio,Radiotoren,Radiotårn,Torre de Rádio,Radyo Kulesi,ラジオタワー
TID_CONFIRM_ARE_YOU_SURE,Are you absolutely sure you that want to delete the current village and replace it with:,Voulez-vous vraiment supprimer le village actuel et le remplacer par :,Willst du das aktuelle Dorf wirklich löschen und es hierdurch ersetzen:,Seguro que quieres eliminar la aldea actual y cambiarla por:,Sei assolutamente sicuro di voler eliminare il villaggio attuale e sostituirlo con:,Weet je zeker dat je het huidige dorp wilt wissen en wilt vervangen met:,Er du helt sikker på at du vil slette den gjeldende landsbyen og erstatte den med:,Você tem certeza de que deseja excluir a vila atual e substituí-la por:,Şu anki köyünüzü silip şununla değiştirmek istediğinize gerçekten emin misiniz:,現在の村を削除して次と置き換えますか：
TID_CONFIRM_CONFIRM,Please type in \q<confirmword>\q and press the Okay button to complete the action,Veuillez taper \q<confirmword>\q et appuyer sur le bouton OK pour confirmer,"Bitte schreibe \q<confirmword>\q und drücke die Okay-Taste, um diese Aktion abzuschließen",Escribe \q<confirmword>\q y pulsa el botón Vale para completar la acción.,Digita \q<confirmword>\q e premi il pulsante Okay per completare l´azione.,Type \q<confirmword>\q in en druk op OK om de actie te voltooien,Skriv inn \q<confirmword>\q og trykk på OK-knappen for å fullføre handlingen,Digite em \q<confirmword>\q e pressione o botão Ok para completar a ação,İşlemi tamamlamak için lütfen\q<confirmword>\q yazın ve Tamam düğmesine basın,\q<confirmword>\qに入力し、OKボタンを押してアクションを終了してください
TID_CONFIRM_MERGE,Are you sure?,Êtes-vous sûr ?,Bist du sicher?,¿Seguro?,Confermi?,Zeker weten?,Er du sikker?,Tem certeza?,Emin misiniz?,本当ですか？
TID_CONFIRM_WORD,CONFIRM,CONFIRMER,BESTÄTIGEN,CONFIRMAR,CONFERMA,BEVESTIGEN,BEKREFT,CONFIRMAR,ONAYLA,確認
TID_CONNECT_WITH_FACEBOOK_BUTTON,Connect to Facebook,Se connecter à Facebook,Mit Facebook verbinden,Conectar a Facebook,Connetti a Facebook,Maak verbinding met Facebook,Koble til Facebook,Conectar ao Facebook,Facebook'a bağlan,Facebookに接続します
TID_CONTAINER_MAX,Max:,Maximum :,Max.:,Máx.:,Massimo:,Max:,Maks.:,Máx:,Maks:,最大：
TID_COOLDOWN,Cooldown:,Délai d'attente :,Abklingzeit:,Recarga:,Cooldown:,Afkoeltijd:,Nedkjøling:,Tempo de espera:,Bekleme süresi:,クールダウン：
TID_CREATE_ALLIANCE_BUTTON,Create,Créer,Erstellen,Crear,Crea,Creëren,Lag,Criar,Oluştur,作成
TID_CREATE_ALLIANCE_TAB,Create Clan,Créer un clan,Clan erstellen,Crear clan,Crea Clan,Clan opzetten,Lag klan,Criar Clã,Klan Oluştur,クランを作成
TID_DARK_ELIXIR,Dark Elixir,Élixir noir,Dunkles Elixir,Elixir Oscuro,Elisir nero,Duister elixir,Mørk eliksir,Elixir Negro,Kara İksir,ダークエリクサー
TID_DARK_ELIXIR_PUMP_INFO,"Our Alchemists have finally figured a way to extract pure Dark Elixir, the rarest form of the magickal substance.","Nos alchimistes ont enfin trouvé le moyen d'extraire de l'élixir noir pur, forme la plus rare de substance magique.","Unsere Alchemisten haben endlich einen Weg gefunden, um reines Dunkles Elixir zu extrahieren, die seltenste der magischen Substanzen.","Nuestros alquimistas han encontrado finalmente la manera de extraer Elixir Oscuro puro, la forma más extraña de la sustancia mágica.","I nostri alchimisti hanno finalmente trovato un modo per estrarre Elisir nero allo stato puro, la forma più rara della sostanza magica.","Onze alchemisten hebben eindelijk een manier ontdekt om duister elixir te winnen, de zeldzaamste vorm van het magische goedje.","Alkymister har endelig oppdaget en måte å utvinne mørk eliksir på, den sjeldneste formen av det magiske stoffet.","Nossos Alquimistas finalmente descobriram uma maneira de extrair o Elixir Negro puro, a forma mais rara da substância mágica.","Simyacılarımız, sonunda sihirli maddelerin en nadir bulunan örneği olan saf Kara İksir'i çıkarmanın bir yöntemini buldu.",錬金術師たちは、魔法の物質のめずらしい形状である純粋なダークエリクサーの抽出方法をついに見つけました。
TID_DARK_ELIXIR_SHOP_PACK,<number> Dark Elixir,<number> d'élixir noir,<number> Dunkles Elixir,<number> Elixir Oscuro,Elisir nero: <number>,<number> duister elixir,<number> mørk eliksir,<number>Elixir Negro,<number> adet Kara İksir,<number>ダークエリクサー
TID_DARK_ELIXIR_STORAGE_INFO,"The power of Dark Elixir could not be contained in a regularly shaped Elixir vat. As it's three times as powerful, we had to invent a cubical form of storage!","Le pouvoir de l'élixir noir ne peut être contenu dans une cuve à élixir standard. Du fait de sa puissance trois fois plus importante, nous avons dû inventer un réservoir cubique !","Die Macht des Dunklen Elixiers kann nicht in einem normal geformten Elixierbehälter aufbewahrt werden. Es ist dreimal mächtiger, also mussten wir einen würfelförmigen Aufbewahrungsbehälter dafür entwickeln.","El poder del Elixir Oscuro no puede ser depositado en una tinaja normal. Al ser tres veces más poderoso, tenemos que inventar una nueva forma de almacenamiento.","Il potere dell'Elisir nero non può essere riposto in un contenitore di forma normale. Poiché tre volte più potente, abbiamo dovuto inventare un contenitore cubico per conservarlo!",De kracht van duister elixir kan niet in een normaal elixirvat worden opgeslagen. Omdat het drie keer zo krachtig is moesten we een vierkante opslagplaats verzinnen!,"Kraften i mørk eliksir kan ikke oppbevares i en vanlig eliksirtank. Fordi den har tredobbel styrke, måtte vi finne opp en kubeformet beholder!","O poder do Elixir Negro não pôde ser contido num barril regular de Elixir. Como é três vezes mais poderoso, tivemos que inventar uma forma cúbica de armazenamento!","Kara İksir'in gücü, düzgün şekilli bir İksir fıçısında depolanamaz. Üç kat daha güçlü olduğu için, küp şeklinde bir depo icat etmemiz gerekti!",通常の形状のエリクサータンクにダークエリクサーの力を封じ込めることはできません。ダークエリクサーのパワーは普通のエリクサーの三倍もあるため、立方体貯蔵庫を作らなければなりませんでした。
TID_DECORATION_BARBARIAN_STATUE,Mighty Statue,Grande statue,Große Statue,Estatua de poder,Statua imponente,Machtig standbeeld,Mektig statue,Estátua Poderosa,Muazzam Heykel,巨大な像
TID_DECORATION_DOWNARROW_FLAG,Rally Flag,Drapeau de rassemblement,Versammlungsflagge,Bandera de reunión,Bandiera a scacchi,Rallyvlag,Samlingsflagg,Bandeira de Rally,Ralli Bayrağı,チェッカーフラッグ
TID_DECORATION_FLOWERBOX1,Cornflower Bed,Lit de bleuets,Kornblumenbeet,Huerto de acianos,Aiuola di fiordalisi,Korenbloembed,Kornblomst,Canteiro de Centáurea,Çiçek Tarhı,矢車草のベッド
TID_DECORATION_FLOWERBOX2,Sunflower Bed,Lit de tournesols,Sonnenblumenbeet,Huerto de girasoles,Aiuola di girasoli,Zonnebloembed,Solsikke,Canteiro de Girassol,Ayçiçeği Tarhı,ひまわりのベッド
TID_DECORATION_NATIONAL_FLAG,National Flag,Drapeau national,Nationalflagge,Bandera nacional,Bandiera nazionale,Nationale vlag,Nasjonalflagg,Bandeira nacional,Milli Bayrak,国旗
TID_DECORATION_PEKKA_STATUE,Statue of P.E.K.K.A,Statue de P.E.K.K.A.,Statue von P.E.K.K.A,Estatua de P.E.K.K.A,Statua di P.E.K.K.A.,Standbeeld van P.E.K.K.A,Statue av P.E.K.K.A,Estátua da P.E.K.K.A,P.E.K.K.A Heykeli,P.E.K.K.Aの状態
TID_DECORATION_SKULL_ALTAR,Ancient Skull,Crâne ancien,Alter Schädel,Calavera antigua,Teschio antico,Oude schedel,Gammel skalle,Crânio Antigo,Antika Kafatası,古代人の頭蓋骨
TID_DECORATION_SKULL_FLAG,Pirate Flag,Drapeau de pirate,Piratenflagge,Bandera pirata,Bandiera pirata,Piratenvlag,Piratflagg,Bandeira Pirata,Korsan Bayrağı,海賊旗
TID_DECORATION_TORCH,Torch,Torche,Fackel,Antorcha,Torcia,Zaklamp,Fakkel,Tocha,Meşale,トーチ
TID_DECORATION_UPARROW_FLAG,Point Flag,Drapeau de positionnement,Punktflagge,Bandera de dirección,Bandiera di posizione,Richtingvlag,Punktflagg,Bandeira de Ponto,Nokta Bayrağı,ポイントフラッグ
TID_DECORATION_WHITE_FLAG,White Flag,Drapeau blanc,Weiße Flagge,Bandera blanca,Bandiera bianca,Witte vlag,Hvitt flagg,Bandeira Branca,Beyaz Bayrak,白旗
TID_DECORATION_WINDMETER,Weather Vane,Girouette,Wetterfahne,Veleta,Banderuola,Weervaantje,Værhane,Cata-Vento,Rüzgar Gülü,風見鶏
TID_DEFAULT_VILLAGE_NAME,<name>'s Village,Village de <name>,Dorf von <name>,Aldea de <name>,Villaggio di <name>,<name>'s dorp,<name>s landsby,Vila <name>,<name> Köyü,<name>の村
TID_DEFEAT,Defeat,Défaite,Niederlage,Derrota,Sconfitta,Verloren,Overvinn,Derrota,Yenilgi,敗北
TID_DEMOTE_TO_MEMBER_CONFIRMATION,Demote <name> to Clan Member?,Dégrader <name> au rang de membre du clan ?,<name> zu Clanmitglied degradieren?,¿Degradar a <name> a miembro del clan?,Vuoi degradare <name> a Membro del clan?,<name> tot clanlid degraderen?,Degradere <name> til klanmedlem?,Rebaixar <name> a Membro do Clã?,<name> Klan Üyeliğine indirilsin mi?,<name>をクランメンバーに降格しますか？
TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE,Demote?,Dégrader ?,Degradieren?,¿Degradar?,Degradare?,Degraderen?,Degradere?,Rebaixar?,Tenzil et?,降格しますか？
TID_DIAMONDS,Gems,Gemmes,Juwelen,Gemas,Gemme,Edelstenen,Smykker,Gemas,Taş,ジェム
TID_DIAMONDS_FOUND,You found <number> gems from the <name>!,Vous avez trouvé <number> gemmes dans : <name>!,Du hast <number> Juwelen hiervon gefunden: <name>!,Has encontrado <number> gemas en: <name>.,Hai trovato <number> gemme in: <name>!,Je hebt <number> edelstenen van de <name> gevonden!,Du fant <number> smykker fra <name>!,Encontrou <number> gemas no(a) <name>!,Bundan <number> taş buldun: <name>!,<name>からジェムを<number>つ見つけました。
TID_DIAMOND_FOUND,You found a gem from the <name>!,Vous avez trouvé une gemme dans : <name>!,Du hast ein Juwel hiervon gefunden: <name>!,Has encontrado una gema en: <name>.,Hi trovato una gemma in: <name>!,Je hebt een edelsteen gevonden van de <name>!,Du fant et smykke fra <name>!,Você encontrou uma gema no(a) <name>!,Bundan bir taş buldun: <name>!,<name>からジェムを1つ見つけました。
TID_DIAMOND_PACK_1,Pile of Gems,Tas de gemmes,Juwelenhaufen,Pila de gemas,Pila di gemme,Stapel edelstenen,Haug med smykker,Pilha de Gemas,Taş Yığını,ジェムの山
TID_DIAMOND_PACK_2,Bag of Gems,Sac de gemmes,Juwelenbeutel,Bolsa de gemas,Borsa di gemme,Zak edelstenen,Pose med smykker,Bolsa de Gemas,Taş Torbası,ジェムが入った小袋
TID_DIAMOND_PACK_3,Sack of Gems,Gros sac de gemmes,Juwelensack,Saco de gemas,Sacco di gemme,Buidel edelstenen,Sekk med smykker,Saco de Gemas,Taş Çuvalı,ジェムが入った袋
TID_DIAMOND_PACK_4,Box of Gems,Caisse de gemmes,Juwelenkiste,Caja de gemas,Scatola di gemme,Doos edelstenen,Eske med smykker,Caixa de Gemas,Taş Kutusu,ジェムが入った箱
TID_DIAMOND_PACK_5,Chest of Gems,Coffre de gemmes,Juwelentruhe,Cofre de gemas,Cassa di gemme,Bak edelstenen,Kiste med smykker,Baú de Gemas,Taş Sandığı,ジェムが入ったチェスト
TID_DIAMOND_PACK_6,Trunk of Gems,Malle de gemmes,Juwelenkoffer,Baúl de gemas,Baule di gemme,Kist edelstenen,Bøle med smykker,Cofre de Gemas,Taş Kamyonu,ジェムが入ったトランク
TID_DIAMOND_SHOP_PACK,<number> Gems,<number> gemmes,<number> Juwelen,<number> gemas,<number> gemme,<number> edelstenen,<number> smykker,Gemas <number>,<number> Mücevher,<number>ジェム
TID_DONATED_TO_CLAN,Troops donated this week:,Dons de troupes de cette semaine :,Gespendete Truppen dieser Woche:,Tropas donadas esta semana:,Truppe donate questa settimana:,Troepen gedoneerd deze week:,Soldater donert denne uken:,Tropas doadas esta semana:,Bu hafta bağışlanan askerler:,今週の援軍：
