TID,Description,EN,FR
TID_SHOP_SHIELD_2D,,Two Day Shield,
TID_SHOP_SHIELD_7D,,One Week Shield,
TID_SHOP_TITLE,,Shop,
TID_SHUTDOWN_ATTACK_DISABLED,,Attacking is disabled until the maintenance break is over.,
TID_SHUTDOWN_STARTED,,Game is closing for a short maintenance break in 5 minutes. Attacking is disabled during the break.,
TID_SINGLEPLAYER,,Single Player,
TID_STAR1,,Awesome!,
TID_STAR2,,Excellent!,
TID_STAR3,,Perfect!,
TID_STARS_TOTAL,,Stars Total:,
TID_STREAM_DONATE_BUTTON,,Donate,
TID_STREAM_DONATE_TEXT,,needs reinforcement troops,
TID_STREAM_ENTRY_AGE,,<time> ago,
TID_STREAM_SENDER_YOU,,You,
TID_SURRENDER_BUTTON,,Surrender,
TID_TAB_ALLIANCE_CHAT,,Clan,
TID_TAB_GLOBAL_CHAT,,Global,
TID_TAP_TO_EXPAND,,Tap to expand,
TID_TAP_TO_VIEW,,Tap to view details,
TID_TIME_DAYS,,d,
TID_TIME_HOURS,,h,
TID_TIME_MINS,,m,
TID_TIME_SECS,,s,
TID_TOO_SHORT_ALLIANCE_NAME,,Clan name is too short!,
TID_TOTAL_DAMAGE,,Total damage:,
TID_TOTAL_TRAINING_TIME,,Total time:,
TID_TOWN_HALL_INFO,,"This is the heart of your village. Upgrading your Town Hall unlocks new defenses, buildings, traps and much more.",
TID_TOWN_HALL_LEVEL_TOO_LOW,,You need to upgrade your Town Hall to level <number>!,
TID_TRAINING_INFO,,HINT: Tap and hold down unit icon to train multiple troops.,
TID_TRAINING_SLOTS,,Training slots:,
TID_TRAINING_SLOT_STOPPED,,Stopped!,
TID_TRAINING_WARRIORS,,Warriors:,
TID_TRAIN_ALL_HOUSINGS_FULL,,All Camps Full!,
TID_TRAIN_ALL_HOUSINGS_FULL_INFO,,"Upgrade or build Army Camps to house more troops, or send them to fight!",
TID_TRAIN_COST,,Training Cost: <number> <resource>,
TID_TRAIN_TUTORIAL_ARROW,,Hold down,
TID_TRAP_BOMB,,Bomb Trap,
TID_TRAP_EJECT,,Spring Trap,
TID_TRAP_EJECTOR,,Spring Trap,
TID_TRAP_EJECTOR_INFO,,This bouncy little number will toss unwanted visitors right off your property!,
TID_TRAP_MINE,,Bomb,
TID_TRAP_MINE_INFO,,Nothing says 'STAY OUT' quite like a good old-fashioned hidden bomb.,
TID_TRAP_TIMETRAP,,Time Trap,
TID_TROOPS_USED,,Troops expended:,
TID_TROOP_ALREADY_AT_MAX_LEVEL,,Unit is already at maximum level!,
TID_TROOP_REQUEST_FAIL_CASTLE_FULL,,Clan Castle is already full!,
TID_TROOP_REQUEST_FAIL_COOLDOWN,,You need to wait before requesting more reinforcements.,
TID_TROOP_REQUEST_SENT,,Troop request was sent!,
TID_TROOP_SPEED_UP_SUCCESS,,Troop training finished!,
TID_TROOP_TRAINING_MAX,,Max,
TID_TROOP_UPGRADE_ALREADY_ONGOING,,Unit is already being upgraded!,
TID_TROOP_UPGRADE_COMPLETED,,Upgrade completed: <item> Level <number>,
TID_TROOP_UPGRADE_TIME,,Total time:,
TID_TUTORIAL_ATTACK_NPC_1,,The Wizards from Ivory Tower are here to help us! Let's take out the goblin camp!,
TID_TUTORIAL_ATTACK_NPC_2,,Well done. Now let's kick some green butt!,
TID_TUTORIAL_ATTACK_NPC_BUTTON,,Attack!,
TID_TUTORIAL_BARRACK_1,,"Chief, we need an army to fight those goblins! Let's build a Barracks.",
TID_TUTORIAL_CANNON_1,,Welcome Chief! We sure have been waiting for you.,
TID_TUTORIAL_CANNON_2,,"This is your new village, isn't it lovely! Life here would be perfect if it wasn't for....",
TID_TUTORIAL_CANNON_3,,"Oh no, it's the Goblin Horde! Quick, let's set up a Cannon to defend the village!",
TID_TUTORIAL_CANNON_4,,Place the Cannon in the center of the village. We must protect the Town Hall!,
TID_TUTORIAL_CANNON_5,,Now's not the time to be stingy. Spend some green gems to speed things up!,
TID_TUTORIAL_CHANGE_NAME,,That was a great battle! What name shall our village history know you by?,
TID_TUTORIAL_DEFEND_1,,"Gwar, there they are! Goblin Horde ATTAAACK!!",
TID_TUTORIAL_DEFEND_1b,,"Gwahaah, what is this? Another puny human!",
TID_TUTORIAL_DEFEND_2,,"Phew, that was a close call. Thanks Chief!",
TID_TUTORIAL_DEFEND_4,,We built the village on a Ley Line. That means the Cannon will magically repair itself over time.,
TID_TUTORIAL_DEFEND_5,,"Gwarh, GOLD! We goblins love gold!",
TID_TUTORIAL_DEFEND_BUTTON,,Bring it on!,
TID_TUTORIAL_ELIXIRSTORAGE,,That elixir needs a place to store it as well.,
TID_TUTORIAL_ELIXIR_1,,Elixir is essential for training troops and building many structures.,
TID_TUTORIAL_ELIXIR_2,,You can pump Elixir from the underground Lay Line. Let's try it!,
TID_TUTORIAL_ELIXIR_STORAGE_1,,The collector can only store a small amount of Elixir.,
TID_TUTORIAL_ELIXIR_STORAGE_2,,Let's build a Storage vat so we can stockpile the stuff!,
TID_TUTORIAL_GOLDSTORAGE,,You also need a place to store all your precious gold!,
TID_TUTORIAL_GOLD_STORAGE_1,,We also need a safe place to store our gold reserves.,
TID_TUTORIAL_GOLD_STORAGE_2,,Build a Gold Storage so we can stockpile gold!,
TID_TUTORIAL_TOWN_HALL_1,,"With the gold we took from the goblins, we can afford to upgrade the Town Hall.",
TID_TUTORIAL_TOWN_HALL_2,,Good job! The Town Hall upgrade made new buildings available to us.,
TID_TUTORIAL_TOWN_HALL_3,,"Chief, you obviously know what you're doing. The whole village is counting on you!",
TID_TUTORIAL_TRAIN_1,,Now let's train some troops!,
TID_TUTORIAL_TRAIN_2,,Tap the Barracks and choose Train Troops,
TID_TUTORIAL_WORKER_1,,"Wow, nice going! Now we need to get this village into fighting shape.",
TID_TUTORIAL_WORKER_2,,Hiring a second builder will let you start two constructions simultaneously.,
TID_UNCLOK_FROM_LABORATORY,,Unlock from Laboratory,
TID_UNITS_LEFT,,<number> left,
TID_UNIT_STORAGE_CAPACITY,,Troop capacity: <number>,
TID_UNLOCK_BARRACK_TROOP,,Unlocks Warrior:,
TID_UNLOCK_BUILDINGS,,Unlocks Buildings:,
TID_UPDATE_TROOP_LEVEL,,Upgrade to level <number>,
TID_UPDATING_CONTENT,,Downloading content,
TID_UPGRADE_TIME,,Upgrade time,
TID_UPGRADE_WINDOW_NOTE,,Note!,
TID_VICTORY,,Victory,
TID_VIEW_HIGHSCORES,,View the strongest Clans & Players around the world,
TID_VISIT_BUTTON,,Visit,
TID_WALL_BREAKER,,Wall Breaker,
TID_WALL_INFO,,Walls are great for keeping your village safe and your enemies in the line of fire.,
TID_WHAT_YOU_GOT,,What you got:,
TID_WIZARD,,Wizard,
TID_WIZARD_TOWER_INFO,,The Ultimate Arcane Defense! Tower Wizards cast powerful area effect spells that stop even the most stubborn attackers.,
TID_WORKER_BUILDING,,Builder's Hut,
TID_WORKER_INFO,,"Without builders nothing would get done around here. You can hire more builders to start multiple construction projects, or speed up their work using green gems.",
TID_YOU_HAVE_BEEN_ATTACKED,,You have been attacked,
TID_YOU_HAVE_BEEN_ATTACKED_HEADER,,"Chief, the village was raided while you were gone!",
TID_YOU_HAVE_BEEN_ATTACKED_TITLE,,Disaster!,
TID_YOU_LOST,,Defeat,
TID_YOU_WIN,,Your Defence Won,
