TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PL,PT,RU,TH,TR,VI
TID_SETTINGS_TITLE_CONSENT_CHOICES,Consent Choices,خيارات الموافقة,权限设置,權限設定,Einwilligungsoptionen,Opciones de consentimiento,انتخاب‌های مربوط به رضایت,Suostumusvalinnat,Choix de consentement,Pilihan Izin,Personalizz. esperienza,同意の確認,동의 선택,Pilihan Kebenaran,Toestemmingskeuzes,Samtykkevalg,Wybór zezwoleń,Opções de consentimento,Настройки согласия,ตัวเลือกความยินยอม,İzin Seçimleri,Lựa chọn đồng ý
TID_SPECIAL_REENG_TUTORIAL_1,"ERGH! Your Village is outta shape, Chief.",للأسف، قريتك ليست في أفضل حال، أيها الزعيم.,呃！您的村庄都走样了，首领。,呃！你的村莊很久沒打理了，首領。,"UFF! Dein Dorf ist außer Form, Häuptling.",¡Uf! Tu aldea ha visto días mejores.,اوه! دهکده‌تان حسابی از ریخت افتاده رئیس.,"PLÄH! Kyläsi on rapakunnossa, päällikkö.","HOULA ! Votre village n'est pas en très bon état, Chef.","ERGH! Desamu terlihat ringkih, Chief.",ACCIDENTI! Il tuo villaggio ha visto tempi migliori!,ウガーっ！村がたるんでいますね、チーフ！,"으악! 마을이 엉망진창이 되었어요, 대장님.","ARGH! kampung anda tidak cukup bersedia, ketua.","ARGH! Je dorp ziet er niet zo in vorm uit, Chief.","SUKK! Landsbyen din har sett bedre dager, høvding.","GRRR! Twoja Osada nie jest w formie, Wodzu.","NOSSA! Sua vila está fora de forma, chefe.","Фу! Твоя деревня не в лучшей форме, вождь.",อึ๋ย! หมู่บ้านของท่านดูเฉื่อยแฉะมาก ท่านหัวหน้า,AH! Köyünün bakıma ihtiyacı var şef.,EO ƠI! Làng của Chỉ huy xuống cấp quá.
TID_SPECIAL_REENG_TUTORIAL_1,"ERGH! Your Village is outta shape, Chief.",للأسف، قريتك ليست في أفضل حال، أيها الزعيم.,呃！您的村庄都走样了，首领。,呃！你的村莊很久沒打理了，首領。,"UFF! Dein Dorf ist außer Form, Häuptling.",¡Uf! Tu aldea ha visto días mejores.,اوه! دهکده‌تان حسابی از ریخت افتاده رئیس.,"PLÄH! Kyläsi on rapakunnossa, päällikkö.","HOULA ! Votre village n'est pas en très bon état, Chef.","ERGH! Desamu terlihat ringkih, Chief.",ACCIDENTI! Il tuo villaggio ha visto tempi migliori!,ウガーっ！村がたるんでいますね、チーフ！,"으악! 마을이 엉망진창이 되었어요, 대장님.","ARGH! kampung anda tidak cukup bersedia, ketua.","ARGH! Je dorp ziet er niet zo in vorm uit, Chief.","SUKK! Landsbyen din har sett bedre dager, høvding.","GRRR! Twoja Osada nie jest w formie, Wodzu.","NOSSA! Sua vila está fora de forma, chefe.","Фу! Твоя деревня не в лучшей форме, вождь.",อึ๋ย! หมู่บ้านของท่านดูเฉื่อยแฉะมาก ท่านหัวหน้า,AH! Köyünün bakıma ihtiyacı var şef.,EO ƠI! Làng của Chỉ huy xuống cấp quá.
TID_SPECIAL_REENG_TUTORIAL_10,Let’s say hello!,هيا نقول مرحبًا!,打个招呼吧！,打個招呼吧！,Sagen wir Hallo!,¡Vamos a saludar!,بیایید سلام کنیم!,Sanotaanpa hei!,Allons dire bonjour !,Ayo sapa!,Andiamoli a salutare!,ぜひご挨拶をお願いします！,인사를 해보세요!,Mari bertegur sapa!,"Kom op, laten we hallo zeggen!",Si hei!,Przywitajmy się!,Vamos dizer oi!,Пойдем поздороваемся!,ไปทักทายกันดีกว่า!,Bir merhaba diyelim!,Hãy chào hỏi nào!
TID_SPECIAL_REENG_TUTORIAL_10,Let’s say hello!,هيا نقول مرحبًا!,打个招呼吧！,打個招呼吧！,Sagen wir Hallo!,¡Vamos a saludar!,بیایید سلام کنیم!,Sanotaanpa hei!,Allons dire bonjour !,Ayo sapa!,Andiamoli a salutare!,ぜひご挨拶をお願いします！,인사를 해보세요!,Mari bertegur sapa!,"Kom op, laten we hallo zeggen!",Si hei!,Przywitajmy się!,Vamos dizer oi!,Пойдем поздороваемся!,ไปทักทายกันดีกว่า!,Bir merhaba diyelim!,Hãy chào hỏi nào!
TID_SPECIAL_REENG_TUTORIAL_2,It's time for Summer Jam!,حان وقت مهرجان الصيف!,夏日狂欢节开始啦！,夏日狂歡節開始囉！,Es ist Zeit für das Sommerfest!,¡Hora de la Mejoramanía!,وقت جشن تابستانی است!,On kesäjamien aika!,La Summer Jam peut commencer !,Pesta Musim Panas tiba!,"È il momento di battere chiodo, anche d'estate!",「サマーラッシュ」が始まります！,서머 잼 시간이 왔습니다!,Tiba masa untuk Summer Jam!,Het is tijd voor Summer Jam!,Det er tid for Sommerfest!,Czas na Summer Jam!,É hora da Martelofolia!,Время Summer Jam!,ถึงเวลา Summer Jam!,Yaz Kutlaması başlıyor!,Lễ hội mùa hè đã đến!
TID_SPECIAL_REENG_TUTORIAL_2,It's time for Summer Jam!,حان وقت مهرجان الصيف!,夏日狂欢节开始啦！,夏日狂歡節開始囉！,Es ist Zeit für das Sommerfest!,¡Hora de la Mejoramanía!,وقت جشن تابستانی است!,On kesäjamien aika!,La Summer Jam peut commencer !,Pesta Musim Panas tiba!,"È il momento di battere chiodo, anche d'estate!",「サマーラッシュ」が始まります！,서머 잼 시간이 왔습니다!,Tiba masa untuk Summer Jam!,Het is tijd voor Summer Jam!,Det er tid for Sommerfest!,Czas na Summer Jam!,É hora da Martelofolia!,Время Summer Jam!,ถึงเวลา Summer Jam!,Yaz Kutlaması başlıyor!,Lễ hội mùa hè đã đến!
TID_SPECIAL_REENG_TUTORIAL_3,Get your Village in fighting shape with resource-boosting Bootcamps!,اجعل قريتك جاهزة للقتال من خلال معسكرات التدريب المعززة للموارد.,加入资源加成特训计划，让您的村庄快速进入战斗状态！,加入資源加成特訓計劃，讓你的村莊快速進入戰鬥狀態！,"Nutze Bootcamps, die Ressourcenschübe gewähren, um dein Dorf in Kampfform zu bringen!",Pon en forma a tu aldea gracias a los potenciadores de recursos.,با دوره‌های فشرده تقویت منابع، دهکده‌تان را به فرم مبارزه‌ای خود برسانید!,Treenaa kyläsi taistelukuntoon resursseja tehostavien leirien avulla!,Préparez votre village au combat avec des bootcamps centrés sur les ressources !,Jadikan Desamu siap tempur dengan Kamp peningkat sumber daya!,Rimetti in forma il villaggio con le agevolazioni sulle risorse!,この資源ブーストブートキャンプを利用しない手はありません。戦いに備えて村を鍛え上げましょう！,부트캠프로 자원을 강화해 마을을 전투에 대비시키세요!,Sediakan kampung anda untuk kem insentif galakan sumber!,Maak je dorp strijdklaar met bootcamps om je grondstoffen te boosten!,Gjør landsbyen din stridsklar med ressursstyrkende bootcamps!,Przygotuj swoją Osadę do walki dzięki dodatkowym zasobom z obozów szkoleniowych!,Deixe sua vila a todo vapor com a aceleração de recursos!,"Приведи деревню в боевую форму с помощью летних интенсивных программ, посвященных ресурсам!",ฟิตหมู่บ้านของท่านให้พร้อมสู้ด้วยค่ายฝึกบูสต์ทรัพยากร!,Kaynak artıran kamplarla köyünü savaşa hazırla!,Hãy tham gia sự kiện Trại cường hóa tài nguyên và củng cố Làng của bạn để chuẩn bị sẵn sàng chiến đấu!
TID_SPECIAL_REENG_TUTORIAL_3,Get your Village in fighting shape with resource-boosting Bootcamps!,اجعل قريتك جاهزة للقتال من خلال معسكرات التدريب المعززة للموارد.,加入资源加成特训计划，让您的村庄快速进入战斗状态！,加入資源加成特訓計劃，讓你的村莊快速進入戰鬥狀態！,"Nutze Bootcamps, die Ressourcenschübe gewähren, um dein Dorf in Kampfform zu bringen!",Pon en forma a tu aldea gracias a los potenciadores de recursos.,با دوره‌های فشرده تقویت منابع، دهکده‌تان را به فرم مبارزه‌ای خود برسانید!,Treenaa kyläsi taistelukuntoon resursseja tehostavien leirien avulla!,Préparez votre village au combat avec des bootcamps centrés sur les ressources !,Jadikan Desamu siap tempur dengan Kamp peningkat sumber daya!,Rimetti in forma il villaggio con le agevolazioni sulle risorse!,この資源ブーストブートキャンプを利用しない手はありません。戦いに備えて村を鍛え上げましょう！,부트캠프로 자원을 강화해 마을을 전투에 대비시키세요!,Sediakan kampung anda untuk kem insentif galakan sumber!,Maak je dorp strijdklaar met bootcamps om je grondstoffen te boosten!,Gjør landsbyen din stridsklar med ressursstyrkende bootcamps!,Przygotuj swoją Osadę do walki dzięki dodatkowym zasobom z obozów szkoleniowych!,Deixe sua vila a todo vapor com a aceleração de recursos!,"Приведи деревню в боевую форму с помощью летних интенсивных программ, посвященных ресурсам!",ฟิตหมู่บ้านของท่านให้พร้อมสู้ด้วยค่ายฝึกบูสต์ทรัพยากร!,Kaynak artıran kamplarla köyünü savaşa hazırla!,Hãy tham gia sự kiện Trại cường hóa tài nguyên và củng cố Làng của bạn để chuẩn bị sẵn sàng chiến đấu!
TID_SPECIAL_REENG_TUTORIAL_4,"But first, a fitness test, against your own Defenses!",لكن أولاً، هناك اختبار اللياقة البدنية، ضد دفاعاتك.,但首先要进行体能测试——进攻自己村庄的防御来热个身！,但首先要進行體能測試——進攻自己村莊的防禦來熱個身！,Beginnen wir jedoch mit einem Fitnesstest gegen deine eigene Verteidigung!,"Pero primero, ¡veamos si tus defensas están en forma!",اما قبل از هر چیز، یک آزمون آمادگی، در برابر نیروهای دفاعی خودتان!,Aloitetaan kuitenkin kuntotestillä omia puolustuksiasi vastaan!,"Mais avant ça, un petit test contre vos propres défenses s'impose !","Sebelum itu, ayo uji kebugaran dengan menyerang Pertahanan milikmu sendiri!","Ma prima, vediamo quanto è in forma il villaggio, mettendo alla prova le tue difese!",ですが、何事にも準備運動が必要です。ご自身の防衛網を攻撃してください！,"하지만 우선, 자신의 방어시설을 상대로 테스트를 해볼까요?!","Sebelum itu, menguji dulu kekuatan anda menentang pertahanan diri anda!",Maar eerst... een krachtmeting tegen je eigen verdediging!,Men først en fitnesstest mot dine egne forsvar!,Ale najpierw musisz zaliczyć test sprawnościowy przeciwko swojej własnej obronie.,"Mas, primeiro, vamos ver se as suas defesas estão em forma!",Но сначала небольшая проверка на выносливость против твоей собственной обороны!,แต่ก่อนอื่น มาทดสอบความแข็งแรงด้วยการสู้กับการป้องกันของท่านเอง!,Ama önce kendi savunmalarına karşı bir antrenman yapmalısın.,Nhưng trước tiên là bài kiểm tra thể lực. Hãy thử đối đầu với hệ thống Phòng thủ của chính bạn!
TID_SPECIAL_REENG_TUTORIAL_4,"But first, a fitness test, against your own Defenses!",لكن أولاً، هناك اختبار اللياقة البدنية، ضد دفاعاتك.,但首先要进行体能测试——进攻自己村庄的防御来热个身！,但首先要進行體能測試——進攻自己村莊的防禦來熱個身！,Beginnen wir jedoch mit einem Fitnesstest gegen deine eigene Verteidigung!,"Pero primero, ¡veamos si tus defensas están en forma!",اما قبل از هر چیز، یک آزمون آمادگی، در برابر نیروهای دفاعی خودتان!,Aloitetaan kuitenkin kuntotestillä omia puolustuksiasi vastaan!,"Mais avant ça, un petit test contre vos propres défenses s'impose !","Sebelum itu, ayo uji kebugaran dengan menyerang Pertahanan milikmu sendiri!","Ma prima, vediamo quanto è in forma il villaggio, mettendo alla prova le tue difese!",ですが、何事にも準備運動が必要です。ご自身の防衛網を攻撃してください！,"하지만 우선, 자신의 방어시설을 상대로 테스트를 해볼까요?!","Sebelum itu, menguji dulu kekuatan anda menentang pertahanan diri anda!",Maar eerst... een krachtmeting tegen je eigen verdediging!,Men først en fitnesstest mot dine egne forsvar!,Ale najpierw musisz zaliczyć test sprawnościowy przeciwko swojej własnej obronie.,"Mas, primeiro, vamos ver se as suas defesas estão em forma!",Но сначала небольшая проверка на выносливость против твоей собственной обороны!,แต่ก่อนอื่น มาทดสอบความแข็งแรงด้วยการสู้กับการป้องกันของท่านเอง!,Ama önce kendi savunmalarına karşı bir antrenman yapmalısın.,Nhưng trước tiên là bài kiểm tra thể lực. Hãy thử đối đầu với hệ thống Phòng thủ của chính bạn!
TID_SPECIAL_REENG_TUTORIAL_5,"That’s it! Feel the burn, Chief!",هذا هو المطلوب، استشعر حرارة الجهد أيها الزعيم!,就是这样！燃起来吧，首领！,就是這樣！燃起來吧，首領！,"So ist es richtig! Spüre das Brennen deiner Muskeln, Häuptling!",Eso es. ¡Dalo todo!,همینه! سوزش را احساس کنید، رئیس!,"Niin sitä pitää! Tunne polte, päällikkö!","C'est ça ! Donnez tout ce que vous avez, Chef !","Itu dia! Bisa rasakan ototmu terbakar, Chief?!",Così si fa! Da' tutto il meglio di te!,その意気です！体からあふれ出るパワーを感じますよ、チーフ！,"바로 그거죠! 열기를 느껴보세요, 대장님!","Itulah dia! Rasai kepedihan itu, ketua!","Dat is het! Voel het branden, Chief!","Sånn, ja! Det skal gjøre vondt, høvding!",Znakomicie! Czujesz już zakwasy?,"Excelente! Bota para quebrar, chefe!","Так держать! Поднажми, вождь!",อย่างนั้นแหละ! เบิร์นแคลอรี่ไปเรื่อยๆ ท่านหัวหน้า!,İşte böyle! Kaslarını güçlendirmelisin şef!,"Được rồi! Hãy tiếp tục làm nóng cơ bắp nào, Chỉ huy!"
TID_SPECIAL_REENG_TUTORIAL_5,"That’s it! Feel the burn, Chief!",هذا هو المطلوب، استشعر حرارة الجهد أيها الزعيم!,就是这样！燃起来吧，首领！,就是這樣！燃起來吧，首領！,"So ist es richtig! Spüre das Brennen deiner Muskeln, Häuptling!",Eso es. ¡Dalo todo!,همینه! سوزش را احساس کنید، رئیس!,"Niin sitä pitää! Tunne polte, päällikkö!","C'est ça ! Donnez tout ce que vous avez, Chef !","Itu dia! Bisa rasakan ototmu terbakar, Chief?!",Così si fa! Da' tutto il meglio di te!,その意気です！体からあふれ出るパワーを感じますよ、チーフ！,"바로 그거죠! 열기를 느껴보세요, 대장님!","Itulah dia! Rasai kepedihan itu, ketua!","Dat is het! Voel het branden, Chief!","Sånn, ja! Det skal gjøre vondt, høvding!",Znakomicie! Czujesz już zakwasy?,"Excelente! Bota para quebrar, chefe!","Так держать! Поднажми, вождь!",อย่างนั้นแหละ! เบิร์นแคลอรี่ไปเรื่อยๆ ท่านหัวหน้า!,İşte böyle! Kaslarını güçlendirmelisin şef!,"Được rồi! Hãy tiếp tục làm nóng cơ bắp nào, Chỉ huy!"
TID_SPECIAL_REENG_TUTORIAL_6,Sweat is better than loot!,العرق خير من الغنائم!,流汗比打资源更爽！,流汗比打資源更爽！,Schweiß ist besser als Beute!,El sudor es más importante que el botín.,عرق ریختن بهتر از غنیمت گرفتن است!,Hiki on kultaakin kalliimpaa!,"Allez, on transpire, c'est bien !",Keringat adalah tangisan kelemahan yang keluar dari Desa!,Il sudore è più importante del bottino!,痛みなくして戦利品は手に入りません！,땀흘려 노력하는 과정이 전리품보다 더 값진 법이죠!,Berpeluh lebih baik daripada kena rampas!,Zweet is beter dan buit!,Svette er bedre enn utbytte!,Pot jest lepszy od łupów!,Às vezes é preciso suar para saquear!,Ради добычи нужно иногда попотеть!,เสียเหงื่อดีกว่าเสียของปล้น!,Ter dökmek ganimetten bile iyi!,Những giọt mồ hôi của sự nỗ lực còn quý hơn chiến lợi phẩm!
TID_SPECIAL_REENG_TUTORIAL_6,Sweat is better than loot!,العرق خير من الغنائم!,流汗比打资源更爽！,流汗比打資源更爽！,Schweiß ist besser als Beute!,El sudor es más importante que el botín.,عرق ریختن بهتر از غنیمت گرفتن است!,Hiki on kultaakin kalliimpaa!,"Allez, on transpire, c'est bien !",Keringat adalah tangisan kelemahan yang keluar dari Desa!,Il sudore è più importante del bottino!,痛みなくして戦利品は手に入りません！,땀흘려 노력하는 과정이 전리품보다 더 값진 법이죠!,Berpeluh lebih baik daripada kena rampas!,Zweet is beter dan buit!,Svette er bedre enn utbytte!,Pot jest lepszy od łupów!,Às vezes é preciso suar para saquear!,Ради добычи нужно иногда попотеть!,เสียเหงื่อดีกว่าเสียของปล้น!,Ter dökmek ganimetten bile iyi!,Những giọt mồ hôi của sự nỗ lực còn quý hơn chiến lợi phẩm!
TID_SPECIAL_REENG_TUTORIAL_7,Just imagine! With the Summer Jam resource boosts and timer discounts...,فقط تخيل! ستحصل في مهرجان الصيف على تعزيزات موارد وتخفيضات في أوقات العدادات الزمنية...,想象一下！夏日狂欢节资源加成搭配项目升级时间减少......,想象一下！夏日狂歡節資源加成搭配項目升級時間減少......,Stell es dir nur vor! Die Ressourcenschübe des Sommerfests und günstigere Timer ...,Imagina todo lo que podrías hacer con los potenciadores de recursos y los tiempos de espera reducidos de la Mejoramanía...,فقط تصور کنید! با تقویت منابع جشن تابستان و تخفیف‌های زمان‌سنج...,"Kuvittele, kesäjamien resurssien tehostuksen ja lyhennettyjen päivitysaikojen avulla...",Imaginez un peu ! Avec les boosts de ressources de la Summer Jam et les réductions de délais...,Bayangkan ... dengan pelaju sumber daya Pesta Musim Panas ...,E ora immagina cosa potresti fare con i potenziamenti alle risorse e i tempi ridotti quando qui si batte chiodo!,次はイメトレです！サマーラッシュの資源ブーストとタイマー短縮を活用すれば、どうなると思いますか？,"자, 상상해 보세요! 서머 잼의 자원 부스터와 타이머 단축과 함께라면...","Bayangkan ini, galakan sumber Summer Jam dan diskaun pemasa...",Stel je voor: met de grondstofboosts en kortingen op timers tijdens Summer Jam...,Bare se det for deg! Med alle ressursøkningene og tidtakerrabattene fra Sommerfest ...,Wyobraź tylko sobie te wszystkie dodatkowe zasoby i przyspieszone ulepszenia...,Com a aceleração de recursos e a redução de tempo da Martelofolia...,Summer Jam ускоряет производство ресурсов и таймеры.,ลองจินตนาการดูสิ! ด้วยบูสต์ทรัพยากรและส่วนลดตัวจับเวลา Summer Jam...,"Bir düşünsene, Yaz Kutlaması kaynak artışları ve sayaç indirimleriyle...","Hãy thử tưởng tượng, với việc giảm thời gian và cường hóa tài nguyên trong sự kiện Lễ hội mùa hè..."
TID_SPECIAL_REENG_TUTORIAL_7,Just imagine! With the Summer Jam resource boosts and timer discounts...,فقط تخيل! ستحصل في مهرجان الصيف على تعزيزات موارد وتخفيضات في أوقات العدادات الزمنية...,想象一下！夏日狂欢节资源加成搭配项目升级时间减少......,想象一下！夏日狂歡節資源加成搭配項目升級時間減少......,Stell es dir nur vor! Die Ressourcenschübe des Sommerfests und günstigere Timer ...,Imagina todo lo que podrías hacer con los potenciadores de recursos y los tiempos de espera reducidos de la Mejoramanía...,فقط تصور کنید! با تقویت منابع جشن تابستان و تخفیف‌های زمان‌سنج...,"Kuvittele, kesäjamien resurssien tehostuksen ja lyhennettyjen päivitysaikojen avulla...",Imaginez un peu ! Avec les boosts de ressources de la Summer Jam et les réductions de délais...,Bayangkan ... dengan pelaju sumber daya Pesta Musim Panas ...,E ora immagina cosa potresti fare con i potenziamenti alle risorse e i tempi ridotti quando qui si batte chiodo!,次はイメトレです！サマーラッシュの資源ブーストとタイマー短縮を活用すれば、どうなると思いますか？,"자, 상상해 보세요! 서머 잼의 자원 부스터와 타이머 단축과 함께라면...","Bayangkan ini, galakan sumber Summer Jam dan diskaun pemasa...",Stel je voor: met de grondstofboosts en kortingen op timers tijdens Summer Jam...,Bare se det for deg! Med alle ressursøkningene og tidtakerrabattene fra Sommerfest ...,Wyobraź tylko sobie te wszystkie dodatkowe zasoby i przyspieszone ulepszenia...,Com a aceleração de recursos e a redução de tempo da Martelofolia...,Summer Jam ускоряет производство ресурсов и таймеры.,ลองจินตนาการดูสิ! ด้วยบูสต์ทรัพยากรและส่วนลดตัวจับเวลา Summer Jam...,"Bir düşünsene, Yaz Kutlaması kaynak artışları ve sayaç indirimleriyle...","Hãy thử tưởng tượng, với việc giảm thời gian và cường hóa tài nguyên trong sự kiện Lễ hội mùa hè..."
TID_SPECIAL_REENG_TUTORIAL_8,You could sculpt your Village into a fortress of fitness!,يمكنك تحويل قريتك إلى قلعة مهيبة!,您完全可以把村庄打造成一座健身堡垒！,你完全可以把村莊打造成一座健身堡壘！,Damit könntest du aus deinem Dorf eine Fitnessfestung machen!,Podrías transformar la aldea en una oda a la buena forma.,می‌توانید دهکده‌تان را به یک دژ استوار و آماده نبرد تبدیل کنید!,Voisit luoda kylästäsi rautaisen linnakkeen!,Vous pourriez faire de votre village une véritable forteresse du fitness !,Kamu bisa membentuk Desa menjadi benteng yang bugar nan perkasa!,Potresti trasformare il villaggio in fortezza da veri duri!,そう、筋肉モリモリのマッチョな要塞に村を変身させられるんです！,대장님의 마을을 최강의 요새로 만들 수 있습니다!,Anda boleh mengubah kampung anda menjadi kubu yang kuat!,Kun je van je dorp een krachtig fort maken!,Du kan gjøre landsbyen til en treningsfestning!,Możesz zrobić ze swojej Osady prawdziwą fortecę fitnessu!,Você pode transformar sua vila em uma fortaleza fitness!,"Только представь, насколько сильно это может прокачать твою деревню!",ท่านสามารถปั้นหมู่บ้านให้เป็นป้อมปราการที่ฟิตปั๋งได้!,Köyünü bir fitness kalesine dönüştürebilirsin!,Bạn có thể biến Làng của mình thành một pháo đài mạnh mẽ và kiên cố!
TID_SPECIAL_REENG_TUTORIAL_8,You could sculpt your Village into a fortress of fitness!,يمكنك تحويل قريتك إلى قلعة مهيبة!,您完全可以把村庄打造成一座健身堡垒！,你完全可以把村莊打造成一座健身堡壘！,Damit könntest du aus deinem Dorf eine Fitnessfestung machen!,Podrías transformar la aldea en una oda a la buena forma.,می‌توانید دهکده‌تان را به یک دژ استوار و آماده نبرد تبدیل کنید!,Voisit luoda kylästäsi rautaisen linnakkeen!,Vous pourriez faire de votre village une véritable forteresse du fitness !,Kamu bisa membentuk Desa menjadi benteng yang bugar nan perkasa!,Potresti trasformare il villaggio in fortezza da veri duri!,そう、筋肉モリモリのマッチョな要塞に村を変身させられるんです！,대장님의 마을을 최강의 요새로 만들 수 있습니다!,Anda boleh mengubah kampung anda menjadi kubu yang kuat!,Kun je van je dorp een krachtig fort maken!,Du kan gjøre landsbyen til en treningsfestning!,Możesz zrobić ze swojej Osady prawdziwą fortecę fitnessu!,Você pode transformar sua vila em uma fortaleza fitness!,"Только представь, насколько сильно это может прокачать твою деревню!",ท่านสามารถปั้นหมู่บ้านให้เป็นป้อมปราการที่ฟิตปั๋งได้!,Köyünü bir fitness kalesine dönüştürebilirsin!,Bạn có thể biến Làng của mình thành một pháo đài mạnh mẽ và kiên cố!
TID_SPECIAL_REENG_TUTORIAL_9,"Everyone is waiting for you, Chief.",الجميع في انتظارك أيها الزعيم.,首领，大家都在等您。,首領，大家都在等你。,"Alle warten auf dich, Häuptling.",Todo el mundo está esperándote.,همه منتظر شما هستند رئیس.,"Sinua odotetaan, päällikkö.","Tout le monde vous attend, Chef.","Semua menantimu, Chief!","Tutti aspettano te, capo.",みんながチーフを待っていますよ！,모두들 대장님을 기다리고 있어요.,"Semua orang sedang tunggu anda, ketua.","Iedereen wacht op je, Chief.","Alle venter på deg, høvding.","Wszyscy na Ciebie czekają, Wodzu.","Todos estão à sua espera, chefe.","Все тебя ждут, вождь.",ทุกคนกำลังรอท่านอยู่ ท่านหัวหน้า,Herkes seni bekliyor şef.,Mọi người đang đợi Chỉ huy đấy.
TID_SPECIAL_REENG_TUTORIAL_9,"Everyone is waiting for you, Chief.",الجميع في انتظارك أيها الزعيم.,首领，大家都在等您。,首領，大家都在等你。,"Alle warten auf dich, Häuptling.",Todo el mundo está esperándote.,همه منتظر شما هستند رئیس.,"Sinua odotetaan, päällikkö.","Tout le monde vous attend, Chef.","Semua menantimu, Chief!","Tutti aspettano te, capo.",みんながチーフを待っていますよ！,모두들 대장님을 기다리고 있어요.,"Semua orang sedang tunggu anda, ketua.","Iedereen wacht op je, Chief.","Alle venter på deg, høvding.","Wszyscy na Ciebie czekają, Wodzu.","Todos estão à sua espera, chefe.","Все тебя ждут, вождь.",ทุกคนกำลังรอท่านอยู่ ท่านหัวหน้า,Herkes seni bekliyor şef.,Mọi người đang đợi Chỉ huy đấy.
TID_STARTERARMY_TH10_BOWLER_SMASH,TH10 – Bowler Smash,قاعة المدينة 10 - تدمير باولر,10本 - 蓝胖流,10本 - 藍胖流,RH 10 – Bowlerbash,Ayuntamiento de nivel 10: Asalto del lanzarrocas,تالار شهر 10 – کوبش له‌کننده,TH10 – Keilaajajysäys,HDV10 – Bouliste furieux,BK10 – Serbuan Bowler,Municipio 10 - Bocciatori spaccatutto,タウンホール10 - ボウラースマッシュ,마을회관 10 - 볼러 스매시,DB10 – Rempuhan Pembaling,SH10 – Bowler-smash,RH10 – Bowlersmell,Ratusz 10 – Miażdżące miotanie,CV10 - Lançamento arrasador,Ратуша 10 — удар вышибал,ศาลากลาง 10 - นักขว้างหินจอมทุบ,BB 10 - Atıcı Saldırısı,NC10 - Thạch thủ càn quét
TID_STARTERARMY_TH10_GO_WITCH_2,TH10 – Go-Witch 2.0,قاعة المدينة 10 - انطلقي يا ساحرة 2.0,10本 - 石头女巫2.0,10本 - 石頭女巫2.0,"RH 10 – Auf die Hexe, fertig, los 2",Ayuntamiento de nivel 10: Bruja y compañía 2.0,تالار شهر 10– گالم و ساحره 2.0,TH10 – Menonoita 2.0,HDV10 – Sortie des sorcières 2,BK10 – Go-Nenek Sihir 2.0,Municipio 10 - Streghe di pietra 2.0,タウンホール10 - ゴレネクロ2,마을회관 10 - 마녀 출동 2.0,DB10 – Golem Perempuan Sihir 2.0,SH10 – Golem-heks 2.0,RH10 – Nisseheks 2.0,Ratusz 10 – Wiedźma do boju 2,CV10 - Danos complementares 2,Ратуша 10 — шабаш 2.0,ศาลากลาง 10 - แม่มดโกเล็ม 2.0,BB 10 - Cadı Hücumu 2.0,NC10 - Phù thủy và Thạch nhân 2.0
TID_STARTERARMY_TH11_DRAGONS,TH11 – Release the Dragons,قاعة المدينة 11 - أطلقوا التنانين,11本 - 飞龙流,11本 - 飛龍流,RH 11 – Drachenrache,Ayuntamiento de nivel 11: Dragones liberados,تالار شهر 11 – رهاسازی اژدها,TH11 – Lohikäärmeet on irti,HDV11 – Lâcher de dragons,BK11 – Lepaskan Para Naga,Municipio 11 - Largo ai draghi,タウンホール11 - ドラゴンレイド,마을회관 11 - 드래곤 해방,DB11 – Lepaskan Naga,SH11 – Ontketen de draken,RH11 – Slipp dragene løs,Ratusz 11 – Uwolnić smoki,CV11 - Dragões libertos,Ратуша 11 — драконы на свободе,ศาลากลาง 11 - ปลดปล่อยมังกร,BB 11 - Ejderhaları Sal,NC11 - Thả Rồng
TID_STARTERARMY_TH11_ELECTRO_DRAGONS,TH11 – Electro Storm,قاعة المدينة 11 - العاصفة الكهربائية,11本 - 雷电风暴,11本 - 雷電風暴,RH 11 – Elektrosturm,Ayuntamiento de nivel 11: Tormenta eléctrica,تالار شهر 11 – طوفان برقی,TH11 – Salamamyrsky,HDV11 – Électro-tempêtes,BK11 – Badai Elektro,Municipio 11 - Tempesta elettrica,タウンホール11 - ライドラストーム,마을회관 11 - 일렉트로 스톰,DB11 - Ribut Elektro,SH11 – Elektrostorm,RH11 – Elektrostorm,Ratusz 11 – Elektroburza,CV11 - Tempestade de raios,Ратуша 11 — электроураган,ศาลากลาง 11 - พายุไฟฟ้า,BB 11 - Elektro Fırtına,NC11 - Cơn bão điện
