TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_HINT_OBSTACLES_DEPLOY,Troops cannot be deployed on top of obstacles and decorations.,Les troupes ne peuvent être déployées sur des obstacles ou décorations.,Truppen können nicht auf Hindernissen oder Dekorationen platziert werden.,Las tropas no pueden desplegarse sobre obstáculos ni decoraciones.,Le truppe non possono essere schierate su ostacoli ed elementi decorativi.,Troepen kunnen niet bovenop obstakels en decoraties in worden gezet.,Soldater kan ikke utplasseres på hindringer og dekorasjoner.,As tropas não podem ser mobilizadas sobre obstáculos ou decorações.,Askerler engellerin ve dekorasyonların üzerine konuşlandırılamaz.
TID_HINT_PEKKA_INFO,Is P.E.K.K.A a knight? A samurai? A robot? No one knows!,"P.E.K.K.A est-il un chevalier, un samouraï, un robot ? Personne ne le sait !",Ist P.E.K.K.A ein Ritter? Ein Samurai? Ein Roboter? Man weiß es nicht!,¿Es P.E.K.K.A. un caballero? ¿Un samurái? ¿Un robot? ¡Nadie lo sabe!,P.E.K.K.A è un cavaliere? Un samurai? Un robot? Nessuno lo sa!,Is P.E.K.K.A een ridder? Een samoerai? Een robot/ Niemand die het weet!,Er P.E.K.K.A en ridder? En samurai? En robot? Ingen vet!,P.E.K.K.A é um cavaleiro? Um samurai? Um robô? Ninguém sabe!,P.E.K.K.A bir şovalye mi? Samuray mı? Robot mu? Kimse bilmiyor!
TID_HINT_PEKKA_TRAP,The armor on P.E.K.K.A. is so heavy that the Spring Trap does not work on her.,,,,,,,,
TID_HINT_REBUILD_CLANCASTLE,Rebuild the ruined Clan Castle to join forces with other players!,Rebâtissez le château de clan en ruines pour joindre vos forces à celles d'autres joueurs !,Baue die Clanburg wieder auf und verbünde dich mit anderen Spielern!,¡Arregla el ruinoso castillo del clan: une fuerzas con otros jugadores!,Ricostruisci il Castello del clan in rovina per unire le forze a quelle degli altri giocatori!,Herbouw het verwoeste Clankasteel om met andere spelers te kunnen samenwerken!,Bygg det ruinerte klanslottet opp igjen for å bli med andre spillere!,Reconstrua o Castelo do Clã destruído para unir forças com outros jogadores!,Oyuncularla güç birliği yapmak için yıkılan Klan Kalesini inşa edin.
TID_HINT_REPLAY,You can watch Battle Replays from the Battle Log!,Vous pouvez visionner les ralentis de bataille depuis le journal de bataille !,Schau Wiederholungen von Kämpfen in der Kampfhistorie an!,¡Puedes ver repeticiones de batallas desde Combates!,Puoi guardare i replay degli scontri dal resoconto delle battaglie!,Met het gevechtslogboek kun je gevechten nogmaals bekijken,Du kan se slag i reprise via slagboken!,Pode ver Reproduções de Batalhas dos Registos delas!,Savaş Günlüğünde Savaş Tekrarlarını izleyebilirsiniz!
TID_HINT_RESOURCE_LOSSES,"Even if your village is completely destroyed, you always keep some of your Gold and Elixir","Même si votre village est détruit, vous conserverez toujours une partie de votre or et de votre elixir","Selbst wenn dein Dorf komplett zerstört wurde, behältst du immer etwas deines Goldes und Elixiers","Incluso aunque tu aldea sea destruida completamente, siempre puedes conservar algo de tu oro y elixir.","Anche se il tuo villaggio è stato completamente distrutto, mantieni sempre un po' del tuo Oro ed Elisir","Zelfs als je dorp wordt verwoest, hou je altijd een beetje Goud en Elixer",Selv når din bygd er destruert vil du alltid beholde litt av ditt gull og eliksir,"Mesmo se sua aldeia for completamente destruída, sempre guarde algo do seu ouro e Elixir","Köyünüz tamamen imha edilse bile, Altın ve İksirinizin bir kısmı her zaman elinizde kalır"
TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING,Gold Mines and Elixir Collectors do not generate resources while they are being upgraded,Les mines d'or et les extracteurs d'élixir ne génèrent pas de revenus en cours d'amélioration,Goldminen und Elixiersammler generieren keine Resourcen während eines Upgrades,Las Minas de oro y los Recolectores de elixir no generan recursos mientras están siendo actualizados.,"Le Miniere d'Oro e gli Oggetti Elisir non generano risorse, mentre sono in fase di aggiornamento",Goudmijnen en Elixerverzamelaars leveren geen grondstoffen op als ze worden verbeterd,Gullgruver og eliksirsamlere genererer ikke ressurser mens de oppgraderes,Minas de Ouro e Coletores de Elixir não geram recursos durante sua atualização,Altın Madenleri ve İksir Toplayıcıları üst seviyeye çıkarılırken kaynak üretemezler
TID_HINT_REVENGE_OF_REVENGE,Revenge attack is unavailable against players that you attacked first.,La revanche sur d'autres joueurs n'est pas possible lorsque vous avez attaqué le premier.,"Racheangriffe gegen Spieler, die du zuerst angegriffen hast, sind nicht möglich.",El ataque por venganza no está disponible contra jugadores a los que tú hayas atacado primero.,L´attacco Vendetta non è disponibile contro i giocatori che hai attaccato per primo.,De wraakaanval kun je niet inzetten tegen spelers die jou als eerst aan hebben gevallen.,Hevnangrep er ikke tilgjengelig mot spillere som du angrep først.,Ataque de vingança não está disponível contra jogadores que você atacou primeiro.,"İntikam saldırısını, ilk saldıran tarafın siz olduğunuz oyunculara karşı kullanamazsınız."
TID_HINT_SHIELD,Taking a break from Clash of Clans? Buy a Shield to protect your trophies!,Vous faites une pause de Clash of Clans ? Achetez un bouclier pour protéger vos trophées !,"Du brauchst eine Pause von Crash of Clans? Kaufe ein Schild, um deine Trophäen zu schützen!",¿Descansando de Clash of Clans? Compra un escudo y protege tus trofeos,Hai bisogno di una pausa da Clash of Clans? Acquista uno scudo per proteggere i tuoi trofei!,Even een pauze bij Clash of Titans? Koop een schild om je trofeeën mee te beschermen!,Tar du pause fra Clash of Clans? Kjøp skjold for å beskytte dine trofeer!,Numa pausa do Choque de Clãs? Compre um Escudo para proteger os seus troféus!,Oyunumuza ara vermek mi istiyorsunuz? Kupaları korumak için kalkan satın alın!
TID_HINT_SHIELD2,An active Shield protects you from all attacks,Un bouclier actif vous protège de toutes les attaques,Ein aktives Schild schützt dich vor allen Angriffen,Un escudo activo te protege de todos los ataques,Uno scudo attivo ti proteggerà da tutti gli attacchi,Een actief Schild beschermt je tegen alle aanvallen,Et aktivt skjold beskytter deg fra alle angrep,Um Escudo ativo protege-o de todos os ataques,Etkin bir Kalkan sizi her türlü saldırıdan korur
TID_HINT_SHIELD_GAIN,You get a free Shield if an attacker destroys your village,Vous recevrez un bouclier gratuit si un attaquant détruit votre village,"Du erhältst einen Gratis-Schild, wenn dein Dorf zerstört wird",Recibirás un escudo gratis si un atacante destruye tu aldea,"Puoi ottenere uno scudo gratis, se un nemico ti dovesse attaccare e dovesse distruggere il tuo villaggio",Je krijgt een gratis Schild als een aanvaller je dorp verwoest,Du får et gratis skjold vist en fiende angriper din bygd,Ganha um Escudo grátis se um atacante destruir a sua aldeia,Bir saldırgan köyünüzü yokederse ücretsiz bir kalkan alırsınız
TID_HINT_SHIELD_GAIN_TIME,You get a longer lasting shield if your village is destroyed completely,Vous aurez un bouclier plus long si votre village est entièrement détruit.,"Du erhältst einen Schild von längerer Dauer, wenn dein Dorf vollständig zerstört wird","Si destruyen tu aldea por completo, obtendrás un escudo que durará más tiempo.","Se il tuo villaggio è completamente distrutto, lo scudo durerà più a lungo.",Je krijgt een schild dat langer meegaat als je dorp volledig is verwoest,Du får et skjold som varer lenger hvis landsbyen din er helt ødelagt,Você recebe um escudo de maior duração se a sua aldeia for destruída por completo,"Köyün tamamen yok edilirse, etkinliği daha uzun sürecek olan kalkan kazanırsın"
TID_HINT_SHIELD_LOSE,"If you attack another player while you have an active Shield, you will lose the Shield","Si vous attaquez un autre joueur alors que vous disposez d'un bouclier actif, vous perdrez le bouclier","Wenn du einen Spieler mit aktivem Schild angreifst, verlierst du den Schild","Si atacas a otro jugador mientras tengas un escudo activo, perderás el escudo","Se dovessi attaccare un altro giocatore mentre disponi di uno scudo attivo, lo perderai",Als je een andere speler aanvalt terwijl je een actief Schild hebt verlies je dit Schild,Vist du angriper en spiller mens du har aktivt skjold så vil du miste skjoldet,"Se atacar outro jogador enquanto tiver um Escudo ativo, perderá o Escudo","Etkin bir kalkanınız varken başka bir oyuncuya saldırırsanız, Kalkanınızı kaybedersiniz"
TID_HINT_SHIELD_SINGLE_PLAYER,You can attack the Goblin Horde (play single player missions) without losing your active Shield,Vous pouvez attaquer la Horde de gobelins (dans les missions solo) sans perdre votre bouclier,"Du kannst die Goblinhorde angreifen (Einzelspielermission), ohne dein aktives Schild zu verlieren",Puedes atacar a la horda de duendes (misiones para un jugador) sin perder tu escudo activo,Puoi attaccare le orde di Goblin (basta intraprendere delle missioni come giocatore singolo) senza perdere il tuo scudo attivo,Je kunt de Koboldhorde aanvallen (speel missies met een speler) zonder je actieve Schild kwijt te raken,Du kan angripe trollhorden (i enkelspiller spill) uten å miste ditt aktive skjold,Pode atacar a Horda do Duende (jogue missões de jogador único) sem perder o Escudo ativo,Etkin Kalkanınızı kaybetmeden Goblin Sürüsüne (tek oyuncu görevlerini oynayın) saldırabilirsiniz
TID_HINT_SINGLE_PLAYER_REWARDS,Need a bit more gold for an upgrade? Take it from the Goblins in a single player mission!,Besoin d'un peu plus d'or pour une amélioration ? Prenez-le chez les gobelins dans une mission solo !,Nicht genug Gold für ein Upgrade? Hol´s dir von den Goblins (Einzelspielermission)!,¿Necesitas más oro para una mejora? ¡Cógeselo a los duendes en misiones de un jugador!,Hai bisogno di un po' d'oro in più per richiedere un upgrade? Rubalo ai Goblin in una missione come giocatore singolo!,Heb je wat meer goud nodig voor een upgrade? Pak het van de Kobolden in een missie met één speler!,Trenger du mer gull til oppgradering? Ta det fra trollene i enkelspiller spill!,Precisa de mais ouro para uma atualização? Tire-o dos Duendes numa missão de jogador único!,Yükseltme için altına mı ihtiyaç var? Tek oyuncu görevi ile Goblinlerden altın alabilirsiniz!
TID_HINT_SPELL_HEALING,The Healing Spell creates a ring of healing that heals your units while inside.,Le sort de guérison crée un anneau guérisseur et soigne toutes les unités qui se trouvent à l'intérieur de ce dernier.,"Der Heilungszauber erzeugt einen Heilungsring, der deine Einheiten in seinem Inneren heilt.",El hechizo curativo crea un círculo de sanación que cura a tus unidades mientras se hallan en su interior.,L´Incantesimo curativo crea un anello di salute che guarisce le truppe che si trovano all´interno.,De helende spreuk creëert een helende cirkel die eenheden omhult en geneest.,Helbredelsesformelen lager en ring av helbredelse som gjør enhetene friske når de er innenfor.,O Feitiço de Cura cria um círculo curativo que regenera as suas unidades enquanto estiverem dentro.,"İyileştirme Büyüsü, birimlerin içindeyken birimlerini iyileştiren bir şifa çemberi oluşturur."
TID_HINT_SPELL_JUMP,The Jump Spell creates a ring which allows your units to jump over walls.,Le sort de Saut crée un cercle permettant à vos unités de sauter au-dessus des murs.,"Der Sprung-Zauberspruch erzeugt einen Ring, der es deinen Einheiten ermöglicht, über Wände zu springen.",El hechizo de salto crea un círculo que permite a tus unidades saltar por encima de las murallas.,L´incantesimo del Salto crea un anello che permette alle tue unità di superare i muri.,De sprongspreuk trekt een cirkel om je eenheden waardoor ze over muren kunnen springen.,Hopeformelen lager en ring som gjør at enhetene dine kan hoppe over murer.,O feitiço de Salto cria um círculo que permite as suas unidades pularem por cima de muros.,"Atlama büyüsü, içerisinde askerlerinin duvarın üzerinden atlamasını sağlayacak bir halka oluşturur."
TID_HINT_SPELL_JUMP_BIG_UNITS,You can upgrade the Jump Spell to allow Giants and P.E.K.K.A.s to jump over walls.,Vous pouvez améliorer le sort de Saut pour permettre aux géants et aux P.E.K.K.A. de sauter par-dessus les murs.,"Du kannst den Sprung-Zauberspruch verbessern, damit deine Riesen und P.E.K.K.A.s über Mauern springen können.",Puedes mejorar el hechizo de salto para que también los gigantes y las P.E.K.K.A. Puedan saltar murallas.,Puoi migliorare l´incantesimo del Salto per permettere anche ai Giganti e ai P.E.K.K.A di superare i muri.,Je kunt de sprongspreuk upgraden zodat reuzen en P.E.K.K.A's ook over muren kunnen springen.,Du kan oppgradere hoppeformelen slik at kjemper og P.E.K.K.A.-er kan hoppe over murer.,Você pode atualizar o feitiço de Salto para permitir que gigantes e P.E.K.K.As pulem os muros.,Dev ve P.E.K.K.A.'ların duvarın üzerinden atlamasını sağlamak için Atlama Büyüsünü yükseltebilirsin.
TID_HINT_SPELL_LIGTHNING,The Lightning Spell damages units and buildings in a small area.,Le Sort de foudre inflige des dégâts aux unités et bâtiments sur une petite zone.,Der Blitzzauberspruch verursacht Schaden an Einheiten und Gebäuden in einem kleinen Bereich.,El hechizo de rayo daña a las unidades y los edificios de una zona reducida.,L´incantesimo fulmine danneggia le unità e gli edifici in un´area circoscritta.,De bliksemspreuk brengt schade toe aan eenheden en gebouwen in een klein gebied.,Lynformelen skader enheter og bygninger på et lite område.,O Feitiço de Relâmpago danifica unidades e construções em uma pequena área.,"Yıldırım Büyüsü, küçük bir alandaki birimlere ve binalara hasar verir."
TID_HINT_SPELL_RAGE,The Rage Spell creates a ring of rage that makes your units stronger and faster while inside.,Le sort de rage crée un anneau de rage qui rendra vos unités plus rapides et plus puissantes tant qu'elles se trouvent à l'intérieur de ce dernier.,"Der Wutzauber erzeugt einen Wutring, der deine Einheiten in seinem Inneren stärker und schneller macht.",El hechizo de rabia crea un círculo de rabia que hace que las unidades que tengas en su interior sean más fuertes y rápidas.,L´Incantesimo furia crea un anello di furore che fortifica le truppe che si trovano all´interno.,De woedespreuk creëert een cirkel van woede die eenheden omhult en sterker en sneller maakt.,Raseriformelen lager en ring av raseri som gjør enhetene dine sterkere og raskere når de er innenfor.,O Feitiço de Fúria cria um círculo de fúria que torna as suas unidades mais fortes e mais rápidas enquanto estiverem dentro.,"Öfke Büyüsü, birimlerin içindeyken birimlerini daha güçlü ve daha hızlı yapan bir öfke çemberi oluşturur."
TID_HINT_TESLA_HIDDEN,The Hidden Tesla tower is hidden from attackers until they come close enough,"La tour Tesla camouflée n'est pas visible par les assaillants, jusqu'à ce qu'ils s'en rapprochent très près","Der verborgene Telsa ist vor Angreifern verborgen, bis sie nahe genug sind",Torre Oculta de Tesla : oculta de los atacantes hasta que se acercan lo suficiente,La torre del Tesla occulto è invisibile ad eventuali utenti che ti vogliono attaccare fino a quando non si avvicinano a sufficienza,De Verborgen Teslatoren is verborgen voor aanvallers totdat ze voldoende dichtbij komen,Det skjulte Tesla tårnet skjules fra fienden til den er nærme nok,A Torre Oculta de Tesla está oculta dos atacantes até chegarem muito perto,"Gizli Tesla kulesi, saldırganlar ona yaklaşana kadar onlar için görünmez kalır"
TID_HINT_TESLA_TARGET,The Hidden Tesla can attack both air and ground units,La Tesla camouflée peut attaquer à la fois les unités aériennes et terrestres,Der verborgene Telsa greift Boden- und Lufteinheiten an,Tesla oculto: puede atacar unidades aéreas y de tierra,"Il Tesla occulto può attaccare sia le unità di terra, sia quelle volanti",De verborgen Tesla kan zowel lucht- als grondeenheden aanvallen,Den skjulte Tesla kan både angripe mål på bakken og i luften,O Tesla Oculto pode atacar as unidades terrestres e aéreas,Gizli Tesla kara ve hava birimlerine saldırabilir
TID_HINT_TRAPS_TARGET,Traps are hidden from the attackers until they get close enough,"Les pièges ne sont pas visibles par les assaillants, jusqu'à ce qu'ils s'en rapprochent trop près","Fallen sind vor Angreifern verborgen, bis sie nahe genug sind",Trampas: ocultas hasta que los atacantes se acerquen lo suficiente,Le trappole sono invisibili ad eventuali utenti che la vogliono attaccare fino a quando non sono abbastanza vicini,Vallen zijn verborgen voor de aanvallers totdat ze voldoende dichtbij komen,Feller skjules fra fienden til den er nærme nok,As armadilhas estão ocultas dos atacantes até eles estarem muito perto,"Tuzaklar, saldırganlar ona yaklaşana kadar onlar için görünmezdir"
TID_HINT_TROPHY_COUNT,All Trophies that you win are deducted from your opponents' trophies,Tous les trophées que vous gagnez sont déduits des trophées de vos opposants,Alle eroberten Trophäen werden von denen des Gegners abgezogen,Todos los trofeos que ganes se restan de los trofeos de tus oponentes,Tutti i trofei che hai vinto sono stati sottratti al palmares dei tuoi avversari,Alle trofeeën die je wint worden afgetrokken van de trofeeën van je tegenstanders,Alle trofeer du vinner trekkes fra din fiende,Todos os Troféus ganhos serão deduzidos dos troféus dos seus adversários,"Kazandığınız bütün kupalar, rakiplerinizin kupalarından eksilir"
TID_HINT_UNLOCKS,Upgrade your Town Hall to unlock new buildings and new upgrade levels for your current buildings,Améliorez votre hôtel de ville pour débloquer de nouveaux bâtiments et de nouveaux niveaux d'amélioration pour vos bâtiments actuels,"Verbessere dein Rathaus, um neue Gebäude und neue Level für Gebäude freizuschalten",Actualiza tu ayuntamiento y desbloquea nuevos edificios y niveles de mejora para los que tienes,Potenzia il tuo Municipio per sbloccare nuovi edifici e nuovi livelli di upgrade per gli edifici di cui disponi attualmente,Verbeter je Stadhuis om nieuwe gebouwen en nieuwe upgradelevels voor je huidige gebouwen te ontgrendelen,Oppgrader rådhuset for å låse opp nye bygninger og oppgradere nivået til bygninger du har,Atualize a sua Câmara para abrir edifícios e níveis novos de atualização para os seus edifícios atuais,Yeni binaları ve mevcut binalarla ilgili yeni yükseltmeleri açmak için Belediye Binanızı yükseltin.
TID_HINT_UPGRADE_CANNONS,Upgrade your cannons to improve your defense against intruders,Améliorez vos canons pour renforcer votre défense contre les intrus,"Kanonen aufrüsten, um deine Verteidigung gegen Eindringlinge zu verbessern",Mejora tus cañones para aumentar tu defensa contra los intrusos.,Aggiorna i tuoi cannoni per migliorare la difesa contro le intrusioni,Verbeter je kanonnen om je beter tegen indringers te kunnen beschermen,Oppgrader dine kanoner for å forbedre ditt forsvar mot inntrengere,Atualize seus canhões para melhorar sua defesa contra intrusos,Savunmanızı geliştirmek için toplarınızı yükseltin
TID_HINT_UPGRADE_MINES,Out of gold? Try upgrading your gold mines,Plus d'or ? Essayez d'améliorer vos mines d'or,Kein Gold mehr? Versuche deine Goldminen aufzurüsten.,¿Se te ha acabado el oro? Prueba a mejorar tus minas de oro.,Non hai più oro? Prova a migliorare le miniere d'oro,Geen goud meer? Probeer je goudmijnen te upgraden,Tom for gull? Prøv å oppgrader dine gullgruver,Acabou o ouro? Atualize suas minas de ouro,Altının mı bitti? Altın madenlerini üst seviyeye çıkar
TID_HINT_UPGRADE_TROOPS,Improve your army! Build the Laboratory and upgrade your troops,Améliorez votre armée ! Bâtissez le laboratoire et améliorez vos troupes.,Verbessere deine Armee! Bau ein Labor und verbessere deinen Truppen,¡Mejora tu ejército! Construye el laboratorio y mejor tus tropas,Migliora il tuo esercito! Costruisci un laboratorio e potenzia le tue truppe,Verbeter je leger! Bouw het Laboratorium en verbeter je troepen.,Forbedre din hær! Bygg laboratoriet og oppgrader dine tropper,Melhore o seu exército! Erga o Laboratório e atualize as suas tropas,Ordunuzu geliştirin! Laboratuar inşa edin ve birliklerinizi yükseltin.
TID_HINT_UPGRADE_WALLS,Upgrade your walls to slow down the enemy,Améliorez vos murs pour ralentir l'ennemi,"Rüsten deine Mauern auf, um den Feind langsamer zu machen!",Mejora tus muros para frenar al enemigo.,Migliora i muri per rallentare il nemico,Verstevig je muren om de vijand te vertragen,Oppgrader din mur for å bremse fienden,Atualize seus muros para retardar o inimigo,Düşmanı yavaşlatmak için duvarlarını yükselt
TID_HINT_USABLE_WHILE_UPGRADING,"Camps, Clan Castles and Storages remain functional while they are being upgraded.","Les camps militaires, châteaux du clan et réserves restent fonctionnels pendant leur amélioration.","Lager, Clanburgen und Lagerplätze behalten ihre Funktion während einer Verbesserung bei.","Los campamentos, castillos del clan y almacenes siguen siendo funcionales mientras se mejoran.","Campi, Castelli e Depositi continuano a svolgere la loro funzione durante il miglioramento.","Kampen, clankastelen en opslageenheden blijven functioneel tijdens het upgraden.","Leirer, klanslott og lagre er fortsatt i funksjon mens de oppgraderes.","Campos, Castelos de Clã e Armazenagens permanecem funcionais enquanto estão sendo atualizados.","Kamplar, Klan Kaleleri ve Depolar yükseltilirken işlevlerini yerine getirmeye devam eder."
TID_HINT_USE_SPELLS,Spells can have a huge effect on the outcome of the battle. Be sure to use them!,,,,,,,,
TID_HINT_WALLBREAKER_DAMAGE,"Wall Breakers deal major damage to enemy walls, but blow up themselves in the process","Les démolisseurs engendrent beaucoup de dommages aux murs ennemis, mais se suicident en même temps","Mauerbrecher verursachen großen Schaden an feindlichen Mauern, sprengen sich dabei aber in die Luft","Los rompemuros causan graves daños a las murallas enemigas, pero se revientan a sí mismos en el proceso","Gli spaccamuro infliggeranno gravi danni alle mura nemiche, ma esploderanno nel farlo","Muurbrekers brengen zware schade toe aan de muren van de vijand, maar blazen zichzelf daarbij wel op.","Murbrekkere ødelegger fiendemurer kraftig, men sprenger seg selv i prosessen","Os destruidores de muros fazem maiores danos aos muros dos inimigos, mas explodem no processo",Duvar Kırıcılar duvarlara büyük zarar verir ama bunu yaparken kendilerini havaya uçururlar
TID_HINT_WALLBREAKER_TARGET,Wall Breakers will try to destroy the nearest wall,Les casseurs de murs viseront le mur le plus proche,Mauerbrecher werden die nächste Mauer zerstören,Los rompemuros intentarán destruir el muro más cercano.,Gli Arieti cercheranno di distruggere il muro più vicino,Muurbrekers proberen de dichtstbijzijnde muur te vernietigen,Murbrekkere vil prøve å knuse nærmeste mur,Quebra-Muros tentarão destruir o muro mais próximo,Duvar Kırıcılar en yakın duvarı imha etmeye çalışır
TID_HINT_WELCOME,Once upon a time in a clearing in a magical forest...,"Il était une fois, dans une clairière dans une forêt magique",Es war einmal eine Lichtung in einem magischen Wald ...,Érase una vez en el claro de un bosque mágico...,C'era una volta in una radura di una foresta magica ...,Er was eens een open plek in een magisch bos....,En gang i tiden i en åpning i en magisk skog...,Era uma vez numa clareira numa floresta mágica...,Bir zamanlar sihirli bir ormandaki bir açıklık alanda...
TID_HINT_WIZARD_INFO,"Wizards can dish out high damage, but can't take much in return","Les magiciens peuvent asséner des dommages importants, mais ne peuvent pas en encaisser beaucoup","Magiere verursachen hohen Schaden, vertragen aber nicht viel","Los magos pueden hacer mucho daño, pero no conseguirán mucho","Gli stregoni possono fare molti danni, ma in cambio non possono resistere molto","Tovenaars kunnen veel schade aanrichten, maar kunnen zelf maar weinig hebben","Trollmenn kan skade mye, men tåler lite selv","Os Magos não podem fazer grandes danos, mas não podem receber muito em troca",Büyücüler büyük zarar verebilirler ama fazla zarara dayanamazlar
TID_HINT_WIZARD_TOWER_DAMAGE,The Wizard Tower deals damage against all units in the target area,La tour magicien inflige des dommages à toutes les unités dans la zone ciblée,Der Magierturm schädigt alle Einheiten im Zielgebiet,Torre del mago: causa daños en todas las unidades en la zona objetivo,La torre dello stregone può infliggere un danno a tutte le unità nell'area obiettivo,De Tovenaartoren richt schade aan bij alle eenheden in het doelgebied,Trollmannstårnet skader alle enheter i det siktede området,O Mago da Torre causa danos a todas a todas as unidades na zona alvo,Büyücü Kulesi menzilindeki bütün birimlere zarar verebilir
TID_HINT_WIZARD_TOWER_TARGET,The Wizard Tower can target both ground and air units,La tour magicien peut viser à la fois les unités terrestres et aériennes,Der Magierturm greift Boden- und Lufteinheiten an,Torre del mago: ataca unidades aéreas y de tierra,"La torre dello stregone può colpire sia le unità di terra, sia quelle volanti",De Tovenaartoren kan zowel lucht- als grondeenheden aanvallen,Trollmannstårnet kan både angripe mål på bakken og i luften,O Mago da Torre pode atingir unidades terrestres e aéreas,Büyücü Kulesi kara ve hava birimlerini hedef alabilir
TID_HINT_XBOW_AMMO,X-Bow uses Elixir as ammo. Remember to reload it after enemy attacks!,L'arc-X utilise l'élixir comme munition. N'oubliez pas de le recharger après les attaques ennemies !,"Der X-Bogen verwendet Elixier als Munition. Vergiss nicht, nach feindlichen Angriffen nachzuladen!",La X-Ballesta utiliza elixir como munición. ¡Recuerda recargarlo tras los ataques enemigos!,L´Arco-X usa l´Elisir come munizioni. Ricordati di ricaricarlo dopo un attacco.,De X-boog gebruikt elixir als munitie. Vergeet niet om hem na een aanval weer te laden!,X-buen bruker Eliksir som ammunisjon. Husk å lade den opp etter fiendtlige angrep!,A Besta usa elixir como munição. Lembre-se de recarregá-la após o inimigo atacar!,X-Topu mühimmat olarak İksir kullanır. Düşman saldırılarından sonra tekrar doldurmayı unutma!
TID_HINT_XBOW_LVL_8,Upgrading your Town Hall will grant you access to a new defensive weapon called X-Bow.,Améliorer votre hôtel de ville vous donnera accès à une nouvelle arme défensive : l'arc-X.,Die Verbesserung deines Rathauses ermöglicht dir Zugang zu einer neuen Verteidigungswaffe namens X-Bogen.,Si mejoras tu ayuntamiento tendrás acceso a una nueva arma defensiva llamada X-Ballesta.,"Migliorando il Municipio avrai accesso ad una nuova arma di difesa, chiamata Arco-X.","Door het stadhuis te upgraden, krijg je toegang tot een nieuw verdedigingswapen: de X-boog.","Hvis du oppgraderer Rådhuset, får du tilgang til et nytt forsvarsvåpen som kalles X-buen.",Atualizar o Centro da Cidade irá lhe conceder acesso a uma nova arma defensiva: a Besta.,"Köy Binanı yükselttiğinde, yeni bir savunma silahı olan X-Topuna erişme imkânı kazanacaksın."
TID_HINT_XBOW_TARGETS_1,You can set the X-Bow to attack both air and ground targets at a short range.,Vous pouvez définir l'arc-X pour attaquer à la fois les cibles aériennes et au sol à courte distance.,"Du kannst den X-Bogen so einstellen, dass er sowohl Luft- als auch Bodenziele auf kurze Distanz angreift.",Puedes configurar la X-Ballesta para atacar objetivos aéreos o terrestres a corta distancia.,Puoi impostare l´Arco-X per attaccare obiettivi aerei e di terra a breve distanza.,Je kunt de X-boog instellen om lucht- en gronddoelen aan te vallen die in de buurt staan,Du kan stille inn X-buen til å angripe mål både i luften og på bakken på kort avstand.,Você pode preparar a Besta para atacar alvos aéreos e terrestres a uma curta distância.,"X-Topunu, kısa menzil içerisindeki hem hava hem de kara hedeflerine saldıracak şekilde ayarlayabilirsin."
TID_HINT_XBOW_TARGETS_2,You can set the X-Bow to attack only ground targets at long range.,Vous pouvez définir l'arc-X pour attaquer uniquement les cibles au sol à longue distance.,"Du kannst den X-Bogen so einstellen, dass er nur Bodenziele auf lange Distanz angreift.",Puedes configurar la X-Ballesta para atacar sólo a blancos en tierra a larga distancia.,Puoi impostare l´Arco-X per attaccare solamente obiettivi di terra a lunga distanza.,Je kunt de X-boog ook instellen om alleen gronddoelen op grote afstand aan te vallen,Du kan stille inn X-buen til å angripe bare bakkemål på lang avstand.,Você pode preparar a Besta para atacar somente alvos terrestres a longa distância.,"X-Topunu aynı zamanda, sadece uzun menzildeki kara hedeflerine saldıracak şekilde de ayarlayabilirsin."
TID_HITPOINTS,Hitpoints: <number>,Points de vie : <number>,Trefferpunkte: <number>,Vida: <number>,Punti coli a segno: <number>,Treffers: <number>,Treffpoeng: <number>,Acertos: <number>,Hasar Puanı: <number>
TID_HOUSING_INFO,"Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army. If an Army Camp is destroyed, all troops inside will perish!","Vos troupes se trouvent dans les camps militaires. Construisez plus de camps ou améliorez-les pour y rassembler une puissante armée. Si un camp militaire est détruit, toutes les troupes s'y trouvant périront !","Deine Truppen sind in Armeelagern stationiert. Baue mehr Lager und verbessere sie, um eine große Armee zusammenzustellen. Wenn ein Armeelager zerstört wird, verschwinden alle darin stationierten Truppen!","Tus tropas se apostan en Campamentos. Construye más campamentos y mejóralos para reunir a un poderoso ejército. Al destruirse un campamento, ¡mueren todas las tropas del interior!","Le tue truppe sono di stanza in un accampamento militare. Costruisci altri accampamenti e migliorali per radunare un potente esercito. Se un accampamento viene distrutto, tutte le truppe al suo interno moriranno!","Je troepen zijn gestationeerd in legerkampen. Bouw meer kampen en upgrade ze om een sterk leger op te bouwen. Als een legerkamp wordt vernietigd, zullen alle troepen binnen het kamp ook omkomen!","Soldatene dine er stasjonert i arméleire. Bygg flere leire og oppgrader dem til å romme en sterk armé. Hvis en arméleir ødelegges, omkommer alle soldatene inni!","Suas tropas estão estacionadas em Acampamentos do Exército. Construa mais campos e atualize-os para ter um exército poderoso. Caso um Acampamento do Exército seja destruído, todas as tropas dentro dele perecerão!",Askerlerin Ordu Kamplarında durur. Güçlü bir ordu için daha çok kamp inşa et ve bunları yükselt. Bir Ordu Kampı yıkılırsa içindeki tüm asker yok olur!
