Name,Character,IsDefaultSkin,EnabledByCalendar,TID,Icon,Geometry,Texture,NormalMap,MaterialMap,EmissionMap,SWF,SWFTextureExportName,Animation,AltAnimation,CameraDistance,ViewportWidth,ViewportHeight,CelebrateSfx,CelebrateSfxVolume,DeployEffect,AttackEffect,AttackEffect2,AttackEffectAlt,AttackEffect2Alt,HitEffect,DieEffect,AbilityTriggerEffect,AbilityEffect,AbilityActivationEffect,AbilityHitEffect,SkinChangeEffect,ParticleEffect3D,AbilityEffect3D,GunBone,ShadowBone,ProjectileVis,RageProjectileVis,AbilityProjectileVis,SpawnedTroopAnimation,Environment,EnvironmentMenu,EnvironmentWardrobe,MakeCreator,ShadowScale,Tier,ThemeIcon,ThemeTID,ThemeYear,FeatureCustomModel,FeatureCustomTextures,FeatureCustomAnimations,FeatureCustomEffects,FeatureCustomSounds,FeatureCustomVoiceovers,FeatureCustomUnits,FeatureExtraAnimations,FeatureExtraEffects,FeatureExtraSounds,ShadowSWF,ShadowExportName,ShadowAlpha,OutlineSize,PortraitCameraPosition,PortraitCameraLookAt,PortraitCameraFov,PortraitCameraDefaultModelRotation,UseMenuPoseInPortrait,BloomStrength,BloomThreshold
RogueChampion,Warrior Princess,FALSE,FALSE,TID_ROGUE_CHAMPION,image/skin_icons/rc_rogue_dl_opt.ktx,sc3d/royalchampion_rogue_geo_dl_opt.glb,sc3d/royalchampion_rogue_01_dl_opt.ktx,sc3d/royalchampion_rogue_01_normal_dl_opt.ktx,sc3d/royalchampion_rogue_01_material_dl_opt.ktx,,,,WarriorPrincessRogueSkin,,10000,225,225,sfx/rg_alert_01.ogg,90,Royal Champion Deploy,Warrior Princess Attack,,,,,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionRogue spear,,AmazonQueen_shield_rogue,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
JungleChampion,Warrior Princess,FALSE,FALSE,TID_JUNGLE_CHAMPION,image/skin_icons/rc_jungle_dl_opt.ktx,sc3d/royalchampion_jungle_geo_dl_opt.glb,sc3d/royalchampion_jungle_01_dl_opt.ktx,sc3d/royalchampion_jungle_01_normal_dl_opt.ktx,sc3d/royalchampion_jungle_01_material_dl_opt.ktx,,,,WarriorPrincessJungleSkin,,10000,225,225,sfx/rg_alert_01.ogg,90,Royal Champion Deploy,Warrior Princess Attack,,,,,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionJungle spear,,RoyalChampionJungle shield,,Default,DefaultMenu,DefaultWardrobe,,100,BASIC,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
GladiatorChampion,Warrior Princess,FALSE,FALSE,TID_GLADIATOR_CHAMPION,image/skin_icons/rc_champion_dl_opt.ktx,sc3d/royalchampion_electro_geo_dl_opt.glb,sc3d/royalchampion_electro_a_dl_opt.ktx,sc3d/royalchampion_electro_n_dl_opt.ktx,sc3d/royalchampion_electro_m_dl_opt.ktx,sc3d/royalchampion_electro_e_dl_opt.ktx,,,WarriorPrincessElectroSkin,,10000,225,225,sfx/rg_alert_01.ogg,90,Royal Champion Deploy,Warrior Princess Attack,,,,,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionGladiator spear,,RoyalChampionGladiator shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
ShadowChampion,Warrior Princess,FALSE,FALSE,TID_SHADOW_CHAMPION,image/skin_icons/rc_dark_dl_opt.ktx,sc3d/royalchampion_dark_geo_dl_opt.glb,sc3d/royalchampion_dark_a_dl_opt.ktx,sc3d/royalchampion_dark_n_dl_opt.ktx,sc3d/royalchampion_dark_m_dl_opt.ktx,sc3d/royalchampion_dark_e_dl_opt.ktx,,,WarriorPrincessDarkSkin,,10000,225,225,,,Royal Champion Deploy,DRC Attack,,,,,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionDark spear,,RoyalChampionDark shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
PrimalChampion,Warrior Princess,FALSE,FALSE,TID_PRIMAL_CHAMPION,image/skin_icons/rc_primal_dl_opt.ktx,sc3d/royalchampion_prc_geo_dl_opt.glb,sc3d/royalchampion_prc_a_dl_opt.ktx,sc3d/royalchampion_prc_n_dl_opt.ktx,sc3d/royalchampion_prc_m_dl_opt.ktx,sc3d/royalchampion_prc_e_dl_opt.ktx,,,WarriorPrincessPRCSkin,,10000,225,225,,,Primal Champion Deploy,Primal Champion Attack,,,,,Primal Champion Die,Primal Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionPrimal spear,,RoyalChampionPrimal shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
SummerChampion,Warrior Princess,FALSE,FALSE,TID_SUMMER_CHAMPION,image/skin_icons/rc_summer_dl_opt.ktx,sc3d/royalchampion_summer_geo_dl_opt.glb,sc3d/royalchampion_summer_a_dl_opt.ktx,sc3d/royalchampion_summer_n_dl_opt.ktx,sc3d/royalchampion_summer_m_dl_opt.ktx,,,,WarriorPrincessSummerSkin,,10000,225,225,,,Summer Champion Deploy,Summer Champion Attack,,,,,Summer Champion Die,Summer Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionSummer spear,,RoyalChampionSummer shield,,Default,DefaultMenu,DefaultWardrobe,,100,BASIC,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,-100;1550;0,,,,20,100
PixelChampion,Warrior Princess,FALSE,FALSE,TID_PIXEL_CHAMPION,image/skin_icons/rc_pixel_dl_opt.ktx,sc3d/royalchampion_pixel_geo_dl_opt.glb,sc3d/royalchampion_pixel_a_dl_opt.ktx,,sc3d/royalchampion_pixel_m_dl_opt.ktx,sc3d/royalchampion_pixel_a_dl_opt.ktx,,,WarriorPrincessPixelSkin,,10000,225,225,,,Pixel Champion Spawn Effect,Pixel Champion Attack,,,,,Pixel Champion Die,Pixel Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionPixel spear,,RoyalChampionPixel shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;4800,0;1600;0,,,,20,100
PartyChampion,Warrior Princess,FALSE,FALSE,TID_PARTY_CHAMPION,image/skin_icons/rc_party_dl_opt.ktx,sc3d/royalchampion_party_geo_dl_opt.glb,sc3d/royalchampion_party_a_dl_opt.ktx,sc3d/royalchampion_party_n_dl_opt.ktx,sc3d/royalchampion_party_m_dl_opt.ktx,,,,WarriorPrincessPartySkin,,10000,225,225,,,Party Champion Deploy,Party Champion Attack,,,,,Party Champion Die,Party Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionParty spear,,RoyalChampionParty shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,image/theme_icons/party_icon_dl_opt.ktx,TID_SKIN_THEME_ANNIVERSARY,2022,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,-200;1400;0,,,,20,100
TH15Champion,Warrior Princess,FALSE,FALSE,TID_TH15_CHAMPION,image/skin_icons/rc_magic_dl_opt.ktx,sc3d/royalchampion_th15_geo_dl_opt.glb,sc3d/royalchampion_th15_a_dl_opt.ktx,sc3d/royalchampion_th15_n_dl_opt.ktx,sc3d/royalchampion_th15_m_dl_opt.ktx,sc3d/royalchampion_th15_e_dl_opt.ktx,,,WarriorPrincessTH15Skin,,10000,225,225,,,Th15 RC Deploy,,,,,,Party Champion Die,Party Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionTH15 spear,,RoyalChampionTh15 shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
PirateChampion,Warrior Princess,FALSE,FALSE,TID_PIRATE_CHAMPION,image/skin_icons/rc_pirate_dl_opt.ktx,sc3d/royalchampion_pirate_geo_dl_opt.glb,sc3d/royalchampion_pirate_a_dl_opt.ktx,sc3d/royalchampion_pirate_n_dl_opt.ktx,sc3d/royalchampion_pirate_m_dl_opt.ktx,,,,WarriorPrincessPirateSkin,,10000,225,225,,,Royal Champion Deploy,,,,,,Royal Champion Die,,,,,,,,L_weapon_01_s,hips_s,RoyalChampionPirate spear,,RoyalChampionPirate shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
JollyChampion,Warrior Princess,FALSE,FALSE,TID_JOLLY_CHAMPION,image/skin_icons/rc_jolly_dl_opt.ktx,sc3d/royalchampion_jolly_geo_dl_opt.glb,sc3d/royalchampion_jolly_a_dl_opt.ktx,sc3d/royalchampion_jolly_n_dl_opt.ktx,sc3d/royalchampion_jolly_m_dl_opt.ktx,,,,WarriorPrincessJollySkin,,10000,225,225,,,JollyChampion_Deploy_SFX,,,,,,Royal Champion Die,,,,,,,,L_weapon_01_s,hips_s,RoyalChampionJolly spear,,RoyalChampionJolly shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
WarriorChampion,Warrior Princess,FALSE,FALSE,TID_WARRIOR_CHAMPION,image/skin_icons/rc_warrior_dl_opt.ktx,sc3d/royalchampion_lunar_geo_dl_opt.glb,sc3d/royalchampion_lunar_a_dl_opt.ktx,sc3d/royalchampion_lunar_n_dl_opt.ktx,sc3d/royalchampion_lunar_m_dl_opt.ktx,,,,WarriorPrincessLunarSkin,,10000,225,225,,,Royal Champion Deploy,RoyalChampion_Lunar23_Atk_SFX,,,,,Royal Champion Die,RoyalChampion_Lunar23_Ability_SFX,,,,,,,L_weapon_01_s,hips_s,RoyalChampionLunar spear,,RoyalChampionLunar shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
PainterChampion,Warrior Princess,FALSE,FALSE,TID_PAINTER_CHAMPION,image/skin_icons/rc_colorfest_dl_opt.ktx,sc3d/royalchampion_painter_geo_dl_opt.glb,sc3d/royalchampion_painter_a_dl_opt.ktx,sc3d/royalchampion_painter_n_dl_opt.ktx,sc3d/royalchampion_painter_m_dl_opt.ktx,,,,WarriorPrincessPainterSkin,,10000,225,225,,,Painter RC Spawn Effect,,,,,,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionPainter spear,,RoyalChampionPainter shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
DarkAgesChampion,Warrior Princess,FALSE,FALSE,TID_DARKAGES_CHAMPION,image/skin_icons/rc_darkages_dl_opt.ktx,sc3d/royalchampion_darkages_geo_dl_opt.glb,sc3d/royalchampion_darkages_a_dl_opt.ktx,sc3d/royalchampion_darkages_n_dl_opt.ktx,sc3d/royalchampion_darkages_m_dl_opt.ktx,,,,WarriorPrincessDarkAgesSkin,,10000,225,225,,,Dark Ages Champion Deploy,,,,,,Royal Champion Die,Dark Ages Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionDarkAges spear,,RoyalChampionDarkAges shield,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,0,0;1450;3800,0;1200;0,,,,20,100
GhostChampion,Warrior Princess,FALSE,FALSE,TID_GHOST_CHAMPION,image/skin_icons/rc_ghost_dl_opt.ktx,sc3d/royalchampion_ghost_geo_dl_opt.glb,sc3d/royalchampion_ghost_a_dl_opt.ktx,sc3d/royalchampion_ghost_n_dl_opt.ktx,sc3d/royalchampion_ghost_m_dl_opt.ktx,sc3d/royalchampion_ghost_e_dl_opt.ktx,,,WarriorPrincessGhostSkin,,10000,225,225,,,RoyalChampion_Ghost_Deploy_SFX,,,,,RoyalChampion_Ghost_Hit,Royal Champion Die,Champion Ability Effect,,,,,,,L_weapon_01_s,hips_s,RoyalChampionGhost spear,,RoyalChampionGhost shield,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1300;0,,,,20,100
WarriorKing,Barbarian King,FALSE,FALSE,TID_WARRIOR_KING,image/skin_icons/bk_cny_dl_opt.ktx,sc3d/barbking_cny_geo_dl_opt.glb,sc3d/barbking_cny_01_dl_opt.ktx,sc3d/barbking_cny_01_normal_dl_opt.ktx,sc3d/barbking_cny_01_material_dl_opt.ktx,,,,BarbarianKingCNYSkin,,10000,225,225,,,CNY King Deploy,Barbarian King Attack,,,,,CNY King Die,CNY King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,image/theme_icons/lunar_ny_icon_dl_opt.ktx,TID_SKIN_THEME_LNY,2021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
RogueKing,Barbarian King,FALSE,FALSE,TID_ROGUE_KING,image/skin_icons/bk_rogue_dl_opt.ktx,sc3d/barbking_rogue_geo_dl_opt.glb,sc3d/barbking_rogue_01_dl_opt.ktx,sc3d/barbking_rogue_01_normal_dl_opt.ktx,sc3d/barbking_rogue_01_material_dl_opt.ktx,,,,BarbarianKingRogueSkin,,10000,225,225,sfx/barbarian_king_scream_01.ogg,80,Barbarian King Deploy,Barbarian King Attack,,,,,Barbarian King Die,King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
,,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SavageKing,Barbarian King,FALSE,FALSE,TID_SAVAGE_KING,image/skin_icons/bk_savage_dl_opt.ktx,sc3d/barbking_savage_geo_dl_opt.glb,sc3d/barbking_savage_a_dl_opt.ktx,sc3d/barbking_savage_n_dl_opt.ktx,sc3d/barbking_savage_m_dl_opt.ktx,,,,BarbarianKingSavageSkin,,10000,225,225,sfx/barbarian_king_scream_01.ogg,80,Barbarian King Deploy,Barbarian King Attack,,,,,Barbarian King Die,King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,oni,100,BASIC,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
,,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JungleKing,Barbarian King,FALSE,FALSE,TID_JUNGLE_KING,image/skin_icons/bk_jungle_dl_opt.ktx,sc3d/barbking_jungle_geo_dl_opt.glb,sc3d/barbking_jungle_a_dl_opt.ktx,sc3d/barbking_jungle_n_dl_opt.ktx,sc3d/barbking_jungle_m_dl_opt.ktx,,,,BarbarianKingJungleSkin,,10000,225,225,sfx/barbarian_king_scream_01.ogg,80,Barbarian King Deploy,Barbarian King Attack,,,,,Barbarian King Die,King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;4500,0;1800;0,,,,20,100
,,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnniversaryKing,Barbarian King,FALSE,FALSE,TID_ANNIVERSARY_KING,image/skin_icons/bk_party2_dl_opt.ktx,sc3d/barbking_party2_geo_dl_opt.glb,sc3d/barbking_party2_a_dl_opt.ktx,sc3d/barbking_party2_n_dl_opt.ktx,sc3d/barbking_party2_m_dl_opt.ktx,sc3d/barbking_party2_e_dl_opt.ktx,,,BarbarianKingAnniversarySkin,,10000,225,225,,,Party King 2 Deploy,Party King 2 Attack,,,,,Barbarian King Die,Party King 2 Ability Effect,,,,,party_bk_purple,,B_effect_jnt,hips_s,,,,BarbarianParty,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,image/theme_icons/party_icon_dl_opt.ktx,TID_SKIN_THEME_ANNIVERSARY,2021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
GolemKing,Barbarian King,FALSE,FALSE,TID_GOLEM_KING,image/skin_icons/bk_golem_dl_opt.ktx,sc3d/barbking_golem_geo_dl_opt.glb,sc3d/barbking_golem_a_dl_opt.ktx,sc3d/barbking_golem_n_dl_opt.ktx,sc3d/barbking_golem_m_dl_opt.ktx,sc3d/barbking_golem_e_dl_opt.ktx,,,BarbarianKingGolemSkin,,10000,225,225,,,Golem King Deploy,Golem King Attack,,,,,Golem King Die,Golem King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;5500,0;1800;0,,,,20,100
IceKing,Barbarian King,FALSE,FALSE,TID_ICE_KING,image/skin_icons/bk_ice_dl_opt.ktx,sc3d/barbking_ice_geo_dl_opt.glb,sc3d/barbking_ice_a_dl_opt.ktx,sc3d/barbking_ice_n_dl_opt.ktx,sc3d/barbking_ice_m_dl_opt.ktx,sc3d/barbking_ice_e_dl_opt.ktx,,,BarbarianKingIceSkin,,10000,225,225,,,Ice_King_Deploy,Ice_King_Atk_Sfx,,,,,Ice_King_Die,Ice_King_Ability_Effect,,,,Ice King Spawn Effect,,,,hips_s,,,,BarbarianIce,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,0,0;1700;4300,0;1800;0,,,,20,100
TigerKing,Barbarian King,FALSE,FALSE,TID_TIGER_KING,image/skin_icons/bk_tiger_dl_opt.ktx,sc3d/barbking_tiger_geo_dl_opt.glb,sc3d/barbking_tiger_a_dl_opt.ktx,sc3d/barbking_tiger_n_dl_opt.ktx,sc3d/barbking_tiger_m_dl_opt.ktx,,,,BarbarianKingTigerSkin,,10000,225,225,,,Tiger King Spawn Effect,Tiger King Attack,,,,Tiger King hit,Barbarian King Die,Tiger King Ability Effect,,,,,,,,hips_s,,,,BarbarianTiger,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,image/theme_icons/lunar_ny_icon_dl_opt.ktx,TID_SKIN_THEME_LNY,2022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,0,0;1500;4200,0;2000;0,,,,20,100
ShadowKing,Barbarian King,FALSE,FALSE,TID_SHADOW_KING,image/skin_icons/bk_shadow_dl_opt.ktx,sc3d/barbking_shadow_geo_dl_opt.glb,sc3d/barbking_shadow_a_dl_opt.ktx,sc3d/barbking_shadow_n_dl_opt.ktx,sc3d/barbking_shadow_m_dl_opt.ktx,,,,BarbarianKingShadowSkin,,10000,225,225,,,Shadow King Deploy,,,,,Shadow King Hit,Shadow King Die,Shadow King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1600;0,,,,20,100
SummerKing,Barbarian King,FALSE,FALSE,TID_SUMMER_KING,image/skin_icons/bk_summer_dl_opt.ktx,sc3d/barbking_summer_geo_dl_opt.glb,sc3d/barbking_summer_a_dl_opt.ktx,sc3d/barbking_summer_n_dl_opt.ktx,sc3d/barbking_summer_m_dl_opt.ktx,,,,BarbarianKingSummerSkin,,10000,225,225,,,Summer King Spawn Effect,,,,,Summer King Hit,Summer King Die,Summer King Ability Effect,,,,,,,,hips_s,,,,BarbarianSummer,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
PixelKing,Barbarian King,FALSE,FALSE,TID_PIXEL_KING,image/skin_icons/bk_pixel_dl_opt.ktx,sc3d/barbking_pixel_geo_dl_opt.glb,sc3d/barbking_pixel_a_dl_opt.ktx,,sc3d/barbking_pixel_m_dl_opt.ktx,sc3d/barbking_pixel_a_dl_opt.ktx,,,BarbarianKingPixelSkin,,10000,225,225,,,Pixel King Spawn Effect,,,,,Pixel King Hit,Pixel King Die,Pixel King Ability Effect,,,,,,,,hips_s,,,,BarbarianPixel,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;4800,0;1600;0,,,,20,100
ClashFestKing,Barbarian King,FALSE,FALSE,TID_CLASHFEST_KING,image/skin_icons/bk_clashfest_dl_opt.ktx,sc3d/barbking_clashfest_geo_dl_opt.glb,sc3d/barbking_clashfest_a_dl_opt.ktx,sc3d/barbking_clashfest_n_dl_opt.ktx,sc3d/barbking_clashfest_m_dl_opt.ktx,,,,BarbarianKingClashFestSkin,,10000,225,225,,,Barbarian King Deploy,,,,,Pixel King Hit,Barbarian King Die,Pixel King Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1700;3800,0;1800;0,,,,20,100
RogueQueen,Archer Queen,FALSE,FALSE,TID_ROGUE_QUEEN,image/skin_icons/aq_rogue_dl_opt.ktx,sc3d/archerqueen_rogue_geo_dl_opt.glb,sc3d/archerqueen_rogue_01_dl_opt.ktx,,sc3d/archerqueen_rogue_01_material_dl_opt.ktx,,,,ArcherQueenRogueSkin,,10000,225,225,sfx/archer_queen_scream_01.ogg,90,Archer Queen Deploy,ArcherQueen Attack,,,,,Archer Queen Die,Queen Ability Effect,,,,,,,,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1250;0,,,,20,100
JungleQueen,Archer Queen,FALSE,FALSE,TID_JUNGLE_QUEEN,image/skin_icons/aq_jungle_dl_opt.ktx,sc3d/archerqueen_jungle_geo_dl_opt.glb,sc3d/archerqueen_jungle_a_dl_opt.ktx,sc3d/archerqueen_jungle_n_dl_opt.ktx,sc3d/archerqueen_jungle_m_dl_opt.ktx,,,,ArcherQueenJungleSkin,,10000,225,225,sfx/archer_queen_scream_01.ogg,90,Archer Queen Deploy,ArcherQueen Attack,,,,,Archer Queen Die,Queen Ability Effect,,,,,,,arrow_bow_s,hips_s,,,,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
PartyQueen,Archer Queen,FALSE,FALSE,TID_PARTY_QUEEN,image/skin_icons/aq_party_dl_opt.ktx,sc3d/archerqueen_party_geo_dl_opt.glb,sc3d/archerqueen_party_a_dl_opt.ktx,sc3d/archerqueen_party_n_dl_opt.ktx,sc3d/archerqueen_party_m_dl_opt.ktx,,,,ArcherQueenPartySkin,,10000,225,225,sfx/archer_queen_scream_01.ogg,90,Archer Queen Deploy,ArcherQueen Attack,,,,,Archer Queen Die,Queen Ability Effect,,,,,,,,hips_s,ArcherQueenParty_arrow,ArcherQueenParty_arrow_rage,ArcherQueenParty_arrow,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,image/theme_icons/party_icon_dl_opt.ktx,TID_SKIN_THEME_ANNIVERSARY,2021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1550;0,,,,20,100
ChampionQueen,Archer Queen,FALSE,FALSE,TID_CHAMPION_QUEEN,image/skin_icons/aq_champion_dl_opt.ktx,sc3d/archerqueen_champion_geo_dl_opt.glb,sc3d/archerqueen_champion_a_dl_opt.ktx,sc3d/archerqueen_champion_n_dl_opt.ktx,sc3d/archerqueen_champion_m_dl_opt.ktx,,,,ArcherQueenChampionSkin,,10000,225,225,,,Champion Queen Spawn Effect Offset,Champion Queen Attack,,,,Champion Queen hit,Archer Queen Die,Champion Queen Ability Effect,,,,Champion Queen Spawn Effect,,,arrow_s,hips_s,ArcherQueenChamp arrow,ArcherQueenChamp arrow rage,ArcherQueenChamp arrow,ArcherChamp,Default,DefaultMenu,DefaultWardrobe,,100,LEGENDARY,image/theme_icons/champion_icon_dl_opt.ktx,TID_SKIN_THEME_WORLDS,2021,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1700;0,,,,20,100
ShadowQueen,Archer Queen,FALSE,FALSE,TID_SHADOW_QUEEN,image/skin_icons/aq_dark_dl_opt.ktx,sc3d/archerqueen_dark_geo_dl_opt.glb,sc3d/archerqueen_dark_a_dl_opt.ktx,sc3d/archerqueen_dark_n_dl_opt.ktx,sc3d/archerqueen_dark_m_dl_opt.ktx,,,,ArcherQueenDarkSkin,,10000,225,225,,,Archer Queen Deploy,DAQ Attack,,,,,Archer Queen Die,Queen Ability Effect,,,,,,,arrow_01_s,hips_s,ArcherQueenDark arrow,ArcherQueenDark arrow rage,ArcherQueenDark arrow,,Default,DefaultMenu,DefaultWardrobe,,100,GOLD,,,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,0;1450;3800,0;1700;0,,,,20,100
