TID,PL
TID_BP_BANK_MULTIPLIER,Mnożnik:
TID_BP_BONUSES_INFO,Korzyści są odblokowywane na torze nagród. Są dostępne do końca tego sezonu.
TID_BP_BONUS_POINTS_INFO,"Ponieważ złoty karnet został zakupiony w poprzednim sezonie, otrzymasz bonusowe punkty wyzwania, jeśli kupisz go w tym sezonie."
TID_BP_BONUS_POINTS_TITLE,Bonusowe punkty!
TID_BP_BUILDER_SEASON_BANK_INCREASE,Rozmiar banku Budowniczego zwiększa się do:\nzłoto Budowniczego: <builderGold>\neliksir Budowniczego: <builderElixir>
TID_BP_BUTTON_REWARDS_LIST,Lista nagród
TID_BP_CAP_HOUSING_UNLOCKED,Odblokowano: <housingpart>
TID_BP_COMPLETED,Ukończone!
TID_BP_COMPLETED_TASKS_HEADER,Ukończone wyzwania
TID_BP_CONFIRM_TIER_UNLOCK,"Kupić <num> pkt., by zdobyć nowy próg nagród?"
TID_BP_CONFIRM_TIER_UNLOCK_TITLE,Kupić punkty?
TID_BP_DAILY_REFRESH_IN,Nowe codzienne wyzwania za:
TID_BP_DAILY_TASKS_HEADER,Codzienne wyzwania
TID_BP_DAILY_TASKS_REFRESH,Nowe codzienne wyzwania za <time>
TID_BP_MULTIPLE_REWARD_FORMAT,<num> x <reward>
TID_BP_NO_BONUS_POINTS_TEXT,"Zdobądź bonusowe punkty, kupując złoty karnet w następujących po sobie sezonach."
TID_BP_NO_BONUS_POINTS_TITLE,Bonusowe punkty!
TID_BP_PERK_ACTIVATED,Aktywne: <perk> (<num>%)
TID_BP_PERK_AUTO_FORGE,Automatyczne miejsce w kuźni
TID_BP_PERK_AUTO_FORGE_DESC,"Odblokowuje dodatkowe miejsce w kuźni, które może tworzyć bez budowniczego i zużywa połowę zasobów."
TID_BP_PERK_AUTO_FORGE_DESC_STARTER,"Dodatkowe miejsce w kuźni, które może tworzyć bez budowniczego i zużywa połowę zasobów."
TID_BP_PERK_BUILDING_BOOST,Wzmocnienie budowniczego
TID_BP_PERK_BUILDING_BOOST_DESC,Budowanie i ulepszanie struktur wymaga <num>% mniej zasobów i czasu. Tworzenie w kuźni wymaga <num>% mniej zasobów i czasu.
TID_BP_PERK_BUILDING_BOOST_DESC_STARTER,Budowanie i ulepszanie struktur wymaga mniej zasobów i czasu. Tworzenie w kuźni wymaga mniej zasobów i czasu.
TID_BP_PERK_CLAN_CASTLE_REQUEST_COOLDOWN,Krótsze czekanie na prośbę
TID_BP_PERK_CLAN_CASTLE_REQUEST_COOLDOWN_DESC,Czas oczekiwania na prośbę o oddziały z zamku klanu jest skrócony o <num>%.
TID_BP_PERK_CLAN_CASTLE_REQUEST_COOLDOWN_DESC_STARTER,Zmniejsza czas oczekiwania na prośbę o oddziały z zamku klanu.
TID_BP_PERK_CURRENT_AMOUNT,Aktywne
TID_BP_PERK_GEM_DONATION_COST,Przekazanie za 1 klejnot
TID_BP_PERK_GEM_DONATION_COST_DESC,Wszystkie szybkie przekazania kosztują tylko 1 klejnot.
TID_BP_PERK_GEM_DONATION_COST_DESC_STARTER,Wszystkie szybkie przekazania będą kosztować tylko 1 klejnot.
TID_BP_PERK_GEM_DONATION_LIST_FORMAT,• Przekazanie za 1 klejnot
TID_BP_PERK_INCREASE,<num>%\n<perk>
TID_BP_PERK_INCREASED_SAVINGS,Większe
TID_BP_PERK_INCREASE_LIST_FORMAT,• <perk> (<num>%)
TID_BP_PERK_MAXIMUM,Maksymalne wzmocnienie aktywne
TID_BP_PERK_MAXIMUM_QUICK_DONATE,Przekazanie za 1 klejnot aktywne
TID_BP_PERK_MAXIMUM_SEASON_BANK,Maksymalna pojemność odblokowana
TID_BP_PERK_MULTIPLIER,<num>x\n<perk>
TID_BP_PERK_NEEDS_PREMIUM,Odblokuj ze złotym karnetem
TID_BP_PERK_NEEDS_PREMIUM_SEASON_BANK,Ulepsz ze złotym karnetem
TID_BP_PERK_NEXT_AMOUNT,Kolejne ulepszenie:
TID_BP_PERK_NEXT_SCORE,Dostępne od:
TID_BP_PERK_RESEARCH_BOOST,Wzmocnienie badań
TID_BP_PERK_RESEARCH_BOOST_DESC,"Ulepszenia oddziałów, zaklęć i maszyn oblężniczych wymagają <num>% mniej zasobów i czasu."
TID_BP_PERK_RESEARCH_BOOST_DESC_STARTER,"Ulepszenia oddziałów, zaklęć i maszyn oblężniczych w laboratorium wymagają mniej zasobów, a ich ukończenie zajmuje mniej czasu."
TID_BP_PERK_SAVINGS_MULTIPLIER,Mnożnik banku sezonowego
TID_BP_PERK_SAVINGS_MULTIPLIER_BB,Mnożnik banku Budowniczego
TID_BP_PERK_SAVINGS_MULTIPLIER_BB_DESC,Bank Budowniczego zapełnia się <num>-krotną ilością zdobytych łupów.
TID_BP_PERK_SAVINGS_MULTIPLIER_DESC,Bank sezonowy zapełnia się <num>-krotną ilością zdobytych łupów.
TID_BP_PERK_SAVINGS_PAYOUT,Bank sezonowy
TID_BP_PERK_SAVINGS_PAYOUT_BB,Bank Budowniczego
TID_BP_PERK_SAVINGS_PAYOUT_BB_DESC,Bank Budowniczego magicznie się zapełnia dzięki łupom zdobytym podczas ataku i obrony w Bazie Budowniczego. Na koniec sezonu zawartość banku trafi do Twoich magazynów.
TID_BP_PERK_SAVINGS_PAYOUT_DESC,Bank sezonowy magicznie się zapełnia wraz ze zdobywanymi przez Ciebie łupami z bitw multiplayer. Na koniec sezonu jego zawartość trafi do Twoich magazynów.
TID_BP_PERK_TRAINING_BOOST,Wzmocnienie treningu
TID_BP_PERK_TRAINING_BOOST_DESC,"Trening oddziałów, zaklęć i maszyn oblężniczych wymaga <num>% mniej czasu niż normalnie. Leczenie herosów zajmuje <num>% mniej czasu."
TID_BP_PERK_TRAINING_BOOST_DESC_STARTER,"Trening oddziałów, zaklęć i maszyn oblężniczych wymaga mniej czasu niż normalnie. Leczenie herosów zajmuje mniej czasu."
TID_BP_PERK_UNLOCKED_IN_REWARDS,Ulepszenie można odebrać w Nagrodach
TID_BP_POINTS,Punkty wyzwania
TID_BP_PURCHASE_BUTTON_PROMPT,",\qشراء التذكرة الذهبية"
TID_BP_REACH_NEXT_TH_TEASER,"Ulepsz ratusz do poz. <th>, by odblokować nowe wyzwania"
TID_BP_RECEIVED,Złoty karnet otrzymany!
TID_BP_RESOURCE_REWARD_GET_GEM_ALTERNATIVE_TEXT,W magazynie nie ma już miejsca na: <resource>.\nSprzedać naddatek za klejnoty (<amount>)?
TID_BP_REWARDS_LIST_TITLE,Lista nagród
TID_BP_REWARD_AVAILABLE,Ta nagroda jest odblokowana. Możesz ją odebrać.
TID_BP_REWARD_CATEGORY_CAP_HOUSE,Części mieszkalne Stolicy
TID_BP_REWARD_CATEGORY_SCENERIES,Scenerie
TID_BP_REWARD_CATEGORY_SKINS,Przebrania herosów
TID_BP_REWARD_CLAIMED,Ta nagroda już została przez Ciebie odebrana.
TID_BP_REWARD_GET_GEM_ALTERNATIVE_TEXT,W magazynie magicznych przedmiotów nie ma miejsca na wszystkie nagrody. Chcesz sprzedać dodatkowe nagrody za klejnoty (<amount>)?
TID_BP_REWARD_LOCKED_NEED_PREMIUM,"Potrzebujesz złotego karnetu, by odblokować tę nagrodę."
TID_BP_REWARD_LOCKED_NOT_ENOUGH_POINTS,"Potrzebujesz jeszcze <num> pkt., by odblokować tę nagrodę."
TID_BP_REWARD_LOCKED_NOT_ENOUGH_POINTS_AND_NEED_PREMIUM,"Potrzebujesz jeszcze <num> pkt. i złotego karnetu, by odblokować tę nagrodę."
TID_BP_REWARD_RESOURCE_INFO,"Zbieraj zasoby i wydawaj je na ulepszenia w Osadzie Głównej, Bazie Budowniczego lub Stolicy Klanu."
TID_BP_REWARD_UNLOCKED_IN_TRACK,Nagrodę odbierzesz na ścieżce
TID_BP_SCENERY_TITLE,Sceneria
TID_BP_SCENERY_UNLOCKED,Odblokowano: <scenery>
TID_BP_SEASONAL_TASKS_HEADER,Aktywne wyzwania
TID_BP_SEASON_BANK_BB_SIZE_INCREASE,Większy\nBank Budowniczego
TID_BP_SEASON_BANK_CAP_INCREASES,Zwiększenie pojemności:
TID_BP_SEASON_BANK_CURRENT_CAP,Pojemność: <value>
TID_BP_SEASON_BANK_EXPANDED,Pojemność banku sezonowego zwiększona
TID_BP_SEASON_BANK_INCREASE,Pojemność banku sezonowego zwiększa się: \nZłoto: <gold>\nEliksir: <elixir>\nMroczny eliksir: <de>
TID_BP_SEASON_BANK_MAX_CAP,Maksymalna pojemność: <value>
TID_BP_SEASON_BANK_MULTIPLIER,Szybsze zapełnienie
TID_BP_SEASON_BANK_NEXT_CAP,Kolejna pojemność: <value>
TID_BP_SEASON_BANK_SIZE_INCREASE,Większy\nbank sezonowy
TID_BP_SEASON_ENDS,Koniec sezonu:
TID_BP_SKIN_TITLE,Przebranie herosa
TID_BP_SKIN_UNLOCKED,Odblokowano: <skin>
TID_BP_SPELL_UNLOCKED,Odblokowano: <spell>
TID_BP_TAB_BANKS,Banki
TID_BP_TAB_PERKS,Korzyści
TID_BP_TAB_REWARDS,Nagrody
TID_BP_TAB_TASKS,Wyzwania
TID_BP_TAB_TRACK,Ścieżka
TID_BP_TASK_AVAILABLE_IN,Ujawnienie wyzwania za <time>
TID_BP_TASK_HIDDEN_REQUIREMENT,"Ukończ poprzednie zadania, by odkryć."
TID_BP_TIER_NUMBER,Próg <num>.
TID_BP_TITLE,Wyzwania sezonowe
TID_BP_TROOP_UNLOCKED,Odblokowano: <troop>
TID_BP_UNLOCKS_TEXT,Wyzwania sezonowe dostępne od poz. <value>. ratusza
TID_BP_UPCOMING_TASKS_HEADER,Aktywne za <time>
TID_BROKEN_BUILDING,Zniszczony budynek
TID_BUILDER,Budowniczy:
TID_BUILDERHALL_LEVEL,Pracownia Budowniczego poz. <level>.
TID_BUILDER_APPRENTICE,Uczeń Budowniczego
TID_BUILDER_APPRENTICE_BOOST_COOLDOWN,Odnowienie:
TID_BUILDER_APPRENTICE_BOOST_DURATION,Czas pracy:
TID_BUILDER_APPRENTICE_BOOST_MULTIPLIER,Szybkość pracy:
TID_BUILDER_APPRENTICE_INFO,"Uczeń Budowniczego pomaga budowniczemu szybciej kończyć ulepszenia. Przypisz go raz dziennie i ulepszaj go, by pracował szybciej."
TID_BUILDER_BASE_BUTTON_STAR_BONUS_COUNTER,<progress>/<total>
TID_BUILDER_BASE_CAMPAIGN_TITLE,Wyzwanie gorączki złota
TID_BUILDER_BASE_LEAGUE_TITLE,Ligi Bazy Budowniczego
TID_BUILDER_BASE_TROPHIES,Trofea Bazy Budowniczego
TID_BUILDER_HALL_10_INFO_SHORT,Nie przestawaj wierzyć.
TID_BUILDER_HALL_1_INFO_SHORT,Tu zaczyna się Twoja podróż przez morze i do domu Mistrza Budowniczego.
TID_BUILDER_HALL_2_INFO_SHORT,Nadchodzą łuczniczki… A może cały czas się tutaj ukrywały?
TID_BUILDER_HALL_3_INFO_SHORT,Pozbądź się przeszkód i rozbuduj bazę dzięki nowym strukturom.
TID_BUILDER_HALL_4_INFO_SHORT,Wzmocnij czas dzięki wieży zegarowej i wysadź w powietrze wrogów podczas bitwy.
TID_BUILDER_HALL_5_INFO_SHORT,Przedstawiamy więcej wynalazków budowniczego.
TID_BUILDER_HALL_6_INFO_SHORT,"Czas się dowiedzieć, co się kryje za tamtą skałą."
TID_BUILDER_HALL_7_INFO_SHORT,Przedstawiamy szkielety oraz rozwiązanie na szkielety.
TID_BUILDER_HALL_8_INFO_SHORT,Nowy elektryzujący ratusz.
TID_BUILDER_HALL_9_INFO_SHORT,Mała konstrukcja – wisienka na torcie zniszczenia.
TID_BUILDER_HUB_TEXT,Masz <cffcc33>wzmocnienie budowniczego</c>.
TID_BUILDER_MENU_CAPITAL,Stolica Klanu
TID_BUILDING_AIR_DEFENSE,Obrona powietrzna
TID_BUILDING_AIR_DEFENSE2,Bomby powietrzne
TID_BUILDING_AIR_DEFENSE_SMALL,Petardy
TID_BUILDING_ALLIANCE_CASTLE,Zamek klanu
TID_BUILDING_ALLIANCE_MARKER,Flaga klanu
TID_BUILDING_ARCHER_CANNON,Multibiegowa wieża
TID_BUILDING_ARCHER_CANNON_INFO,"Multibiegowa wieża jest potężną kombinacją dwóch klasycznych stanowisk obronnych. Wybierz, który typ ataku wolisz i niech zacznie się zniszczenie! Celuje w jednostki naziemne i powietrzne."
TID_BUILDING_ARCHER_CANNON_INFO_SHORT,Szybkość? Zasięg? Wybór należy do Ciebie!
TID_BUILDING_ARCHER_CANNON_LONG_RANGE_CONFIG,Multibiegowa wieża dalekiego zasięgu
TID_BUILDING_ARCHER_TOWER,Wieża łucznicza
TID_BUILDING_ARCHER_TOWER2,Wieża łucznicza
TID_BUILDING_ARCHER_TOWER_FAST_CONFIG,Wieża łucznicza szybkiego ataku
TID_BUILDING_ARCHER_TOWER_LONG_RANGE_CONFIG,Wieża łucznicza dalekiego ataku
TID_BUILDING_ARTILLERY,Orla artyleria
TID_BUILDING_BARRACK,Koszary
TID_BUILDING_BARRACK2,Koszary Budowniczego
TID_BUILDING_BOMB_SPAWNER,
TID_BUILDING_BOMB_SPAWNER_INFO,
TID_BUILDING_BOMB_TOWER,Wieża bombowa
TID_BUILDING_BOMB_TOWER_INFO,"Wieża bombowa zrzuca bomby na okoliczne oddziały naziemne. Gdy zostaje zniszczona, odchodzi z hukiem. Jednostki walczące w zwarciu niech trzymają się z daleka!"
TID_BUILDING_BOMB_TOWER_INFO_SHORT,"Robi wszystko, by oddziały naziemne eksplodowały, nawet gdy ulegnie zniszczeniu."
TID_BUILDING_BOW,Kusza
TID_BUILDING_BOW_AIR_CONFIG,Kusza celująca w oddziały powietrzne
TID_BUILDING_BOW_GROUND_AND_AIR_CONFIG,Kusza celująca w oddziały naziemne i powietrzne
TID_BUILDING_BOW_GROUND_CONFIG,Kusza celująca w oddziały naziemne
TID_BUILDING_CANNON,Działo
TID_BUILDING_CANNON2,Działo
TID_BUILDING_CANNON_BURST_CONFIG,Wybuchowe działo
TID_BUILDING_CAP_REACHED,Masz już maksymalną liczbę tych budynków.
TID_BUILDING_CLASHOWEEN_BUILDING,Kocioł kwaśnego eliksiru
TID_BUILDING_CLASS_ANY_BUILDING,Struktury
TID_BUILDING_CLASS_ARMY,Budynki armii
TID_BUILDING_CLASS_DEFENSE,Obrona
TID_BUILDING_CLASS_RESOURCE,Zasoby
TID_BUILDING_CLASS_WALL,Mury
TID_BUILDING_CLOCK_TOWER,Wieża zegarowa
TID_BUILDING_CONSTRUCTION_PREVENTS,Dostępne po zakończeniu budowy.
TID_BUILDING_CRUSHER,Łamacz
TID_BUILDING_CRUSHER_INFO,Łamacz BARDZO lubi swoją przestrzeń osobistą. Ten głaz spuszcza jednostkom naziemnym srogie lanie.
TID_BUILDING_CRUSHER_INFO_SHORT,"Jeśli możesz to przeczytać, stoisz za blisko."
TID_BUILDING_CRUSHER_MORTAR,Miażdżący moździerz
TID_BUILDING_CRUSHER_MORTAR_INFO,"Miotacze z różnych stron świata ustawiają się w kolejce, by zdobyć jego autograf! Kolczaste pociski miażdżącego moździerza lądują z gracją golema, po czym odbijają się, zadając dodatkowe obrażenia. Pamiętaj o kasku!"
TID_BUILDING_CRUSHER_MORTAR_INFO_SHORT,"Co wzleciało, musi spaść. Na kogoś!"
TID_BUILDING_CUSTOMIZE_BUTTON,Dostosuj
TID_BUILDING_CUSTOMIZE_CATEGORY_DECO,Dekoracja
TID_BUILDING_CUSTOMIZE_CATEGORY_FOOT,Ściany
TID_BUILDING_CUSTOMIZE_CATEGORY_GROUND,Ziemia
TID_BUILDING_CUSTOMIZE_CATEGORY_ROOF,Dach
TID_BUILDING_CUSTOMIZE_SCREEN_BUTTON_SAVE,Zastosuj
TID_BUILDING_CUSTOMIZE_SCREEN_TITLE,Dostosuj: <name>
TID_BUILDING_DARK_ELIXIR_PUMP,Wiertło mrocznego eliksiru
TID_BUILDING_DARK_ELIXIR_STORAGE,Zbiornik mrocznego eliksiru
TID_BUILDING_DARK_TOWER,Wieża inferno
TID_BUILDING_DARK_TOWER_MULTI_CONFIG,Wieża inferno ustawiona na wiele celów
TID_BUILDING_DARK_TOWER_SINGLE_CONFIG,Wieża inferno ustawiona na jeden cel
TID_BUILDING_DEFENSE_TROOP_CAGE,Cukrowa laska
TID_BUILDING_DIRECT_HERO_CONTROL_MAIN_BUILDING,Fajerwerki festiwalowe
TID_BUILDING_DOUBLE_CANNON,Podwójne działo
TID_BUILDING_DRAGON_CAVE,Jaskinia Złych Przeczuć
TID_BUILDING_ELIXIR_PUMP,Kolektor eliksiru
TID_BUILDING_ELIXIR_STORAGE,Zbiornik eliksiru
TID_BUILDING_FENCE,Płot
TID_BUILDING_FLAMER,Opiekacz
TID_BUILDING_FLAME_SPINNER,Ogniowirówka
TID_BUILDING_FLAME_SPINNER_INFO,"Drżyjcie przed nieubłaganą rotacją zmodyfikowanego piekarnika!\n\nNigdy nie odczuwając zawrotów głowy, ogniowirówka wytwarza niekończące się tornado płomieni, które rani pobliskich wrogów na ziemi i w powietrzu."
TID_BUILDING_FLAME_SPINNER_INFO_SHORT,Niekończące się tornado żaru!
TID_BUILDING_GATLING_GUN,Ogniopluj
TID_BUILDING_GATLING_GUN_INFO,"Ogniopluj pluje płomieniami w tempie szybszym, niż kusza strzela bełtami. Gdy nie trafia, strzela poza cel, by zadać obrażenia wrogom znajdującym się dalej. Jest zwrócony tylko w jedną stronę, więc rozmieszczaj go uważnie."
TID_BUILDING_GATLING_GUN_INFO_SHORT,Zmieć konkurencję dzięki szybkim i wściekłym płomieniom.
TID_BUILDING_GEM_MINE,Kopalnia klejnotów
TID_BUILDING_GEN_DEFENCE_TROOP_CAGE,Wrogi słup
TID_BUILDING_GEN_DIRECT_HERO_CONTROL_MAIN_BUILDING,Zajarzone fajerwerki
TID_BUILDING_GEN_SPELL_CAGE,Kocioł z zaklęciami
TID_BUILDING_GEN_TROOP_CAGE,Zagroda oddziału
TID_BUILDING_GIANT_CANNON,Wielkie działo
TID_BUILDING_GOBLIN_CASTLE,Zamek goblinów
TID_BUILDING_GOBLIN_HALL,Hala goblinów
TID_BUILDING_GOLD_MINE,Kopalnia złota
TID_BUILDING_GOLD_STORAGE,Magazyn złota
TID_BUILDING_GUARD_POST,Posterunek straży
TID_BUILDING_HOOK_TOWER,Wieża haków
TID_BUILDING_HOOK_TOWER_INFO,"Mistrz budowniczy nie pogniewa się, że pożyczyliśmy linę z jego statku, prawda?\n\nWieża haków przyciąga wrogów z oddali i ich ogłusza. Niestety maszyny oblężnicze są trochę za ciężkie!"
TID_BUILDING_HOOK_TOWER_INFO_SHORT,To dopiero coś! Przyciąga i ogłusza wrogów.
TID_BUILDING_HOUSE,Dom
TID_BUILDING_HOUSING,Obóz wojskowy
TID_BUILDING_LABORATORY,Laboratorium
TID_BUILDING_LAVA_LAUNCHER,Wyrzutnia lawy
TID_BUILDING_LAZY_LASER,
TID_BUILDING_LAZY_LASER_INFO,
TID_BUILDING_MAXED_MINI_LEVEL_INFO,Doładowanie wymaga ratusza na poz. <number>.
TID_BUILDING_MEGA_TESLA,Megatesla
TID_BUILDING_MINI_SPELL_FACTORY,Fabryka mrocznych zaklęć
TID_BUILDING_MONOLITH,Monolit
TID_BUILDING_MONOLITH_INFO,"Pierwszy eksperyment Budowniczego z mrocznym eliksirem przyniósł nieoczekiwanie przerażające rezultaty. Im silniejszy cel monolitu, tym większe obrażenia otrzymuje. Świetnie mieć monolit w swojej Osadzie. Trochę mniej świetnie atakować osadę z monolitem."
TID_BUILDING_MONOLITH_INFO_SHORT,"Im silniejszy cel, tym mocniejszy się staje."
TID_BUILDING_MORTAR,Moździerz
TID_BUILDING_MORTAR_BURST_CONFIG,Wybuchowy moździerz
TID_BUILDING_MULTI_ARCHER_TOWER,Multiwieża łucznicza
TID_BUILDING_MULTI_MORTAR,Multimoździerz
TID_BUILDING_OTTOS_OUTPOST,Posterunek O.T.T.O
TID_BUILDING_OTTOS_OUTPOST_INFO,Dom O.T.T.O i główny budynek drugiej fazy. Może zawierać dodatkowe waleczne roboty.\n\nZa zniszczenie posterunku otrzymujesz dodatkową gwiazdę w atakach.
TID_BUILDING_OTTOS_OUTPOST_INFO_SHORT,Każda dobra baza potrzebuje hali i O.T.T.O ją wykonał.
TID_BUILDING_PART_LOCKED_BY_REPUTATION,"Ta część będzie dostępna, gdy klan zdobędzie reputację na poz. <level>."
TID_BUILDING_PART_UNLOCKS_AT,Odblokowanie przy:
TID_BUILDING_PET_CAGE,Cukierkowa klatka
TID_BUILDING_REINFORCEMENT_CAMP,Obóz posiłków
TID_BUILDING_REQUIRED,Wymagane: <building>
TID_BUILDING_RICOCHET_CANNON,Rykoszetujące działo
TID_BUILDING_SCATTERSHOT,Głazomiot
TID_BUILDING_SCATTERSHOT_INFO,"Miota ciężkimi wiązkami kiepsko związanych skał w kogokolwiek, kto jest najbliżej. Po uderzeniu wiązki się rozpadają i zadają dodatkowe obrażenia oddziałom za nimi."
TID_BUILDING_SCATTERSHOT_INFO_SHORT,Ciężkie głazy + delikatni agresorzy = PLASK
TID_BUILDING_SEASONAL_PLATFORM,Stacja wytwórcza
TID_BUILDING_SEASONAL_PLATFORM_INFO,"Twórz nowatorskie systemy obronne i dowolnie ulepszaj ich statystyki! Utrzymują się one do końca fazy tworzenia. Nowe systemy obronne zajmą ich miejsce w następnej fazie. Eksperymentuj, a może znajdziesz nowego ulubieńca!"
TID_BUILDING_SEASONAL_PLATFORM_INFO_SHORT,Stwórz nową strategię z tymczasowymi nowatorskimi systemami obronnymi.
TID_BUILDING_SPELL_CAGE,Magiczna niespodzianka
TID_BUILDING_SPELL_FORGE,Fabryka zaklęć
TID_BUILDING_SPELL_TOWER,Wieża zaklęć
TID_BUILDING_SPELL_TOWER_INFO,Przez lata z mozołem tylko magowie czarowali na polu bitwy. Teraz dzięki nowemu wynalazkowi Osada może odpowiadać magią na ataki wroga. Magia automatyczna to jest to!
TID_BUILDING_SPELL_TOWER_INFO_SHORT,Rzuca zaklęcia przeciwko agresorom. W końcu!
TID_BUILDING_STATUS,Obrona
TID_BUILDING_SUN_BEAM,
TID_BUILDING_SUN_BEAM_INFO,
TID_BUILDING_SUPER_TROOP_ALERT,Wzmocnij
TID_BUILDING_TELESCOPE,Astrolaboratorium
TID_BUILDING_TESLA_TOWER,Ukryty Tesla
TID_BUILDING_TESLA_TOWER2,Ukryty Tesla
TID_BUILDING_TEXT_ALERT,!!!
TID_BUILDING_TEXT_CREATE_SPELL,Uwarz
TID_BUILDING_TEXT_FULL,Pełne!
TID_BUILDING_TEXT_LOW_AMMO,Mało amunicji
TID_BUILDING_TEXT_NO_AMMO,Brak
TID_BUILDING_TEXT_REQUEST,Poproś
TID_BUILDING_TEXT_RESEARCH,Badaj
TID_BUILDING_TEXT_TRAIN,Trenuj
TID_BUILDING_TOWN_HALL,Ratusz
TID_BUILDING_TOWN_HALL2,Pracownia Budowniczego
TID_BUILDING_TROOP_CAGE,Cukierkowa klatka
TID_BUILDING_UNDER_CONSTRUCTION,Trwa budowanie: <building>
TID_BUILDING_VILLAGER_APPRENTICE,Chata pomocnika
TID_BUILDING_VILLAGER_APPRENTICE_INFO,"Pomocnicy odpoczywają w ciepłym łóżku piętrowym w tej przytulnej małej chatce. Zajrzyj do niej, by przypisać pomocników do prac w Osadzie."
TID_BUILDING_WALL,Mur
TID_BUILDING_WIZARD_TOWER,Wieża maga
TID_BUILDING_XBOW2,Kusza
TID_BUILDING_XBOW2_INFO,Kusza strzela potężnymi bełtami z ogromną siłą. Możesz ją ustawić na strzelanie do wrogów na ziemi lub w powietrzu.
TID_BUILDING_XBOW2_INFO_SHORT,Pobij oddziały naziemne lub zniszcz latające.
TID_BUILD_HERO_TAVERN_TO_UNLOCK_HEROES,"Zbuduj salę herosów, by odblokować herosów."
TID_BUILD_TIME,Czas zbudowania
TID_BUILD_TIME_INSTANT,Brak
TID_BUILD_TRAINING_GROUNDS,Najpierw postaw obóz wojskowy
TID_BULDING_ARCHER_CANNON_FAST_ATTACK_CONFIG,Multibiegowa wieża szybkiego ataku
TID_BUNDLE_BUY_CONFIRMATION,<ce53cff>Odebrane: <bundle></c>
TID_BUNDLE_GEMS_CONFIRMATION,<cb3f357f>Otrzymujesz klejnoty (<amount>)!</c>
TID_BUNDLE_RESOURCE,Pakiet zasobów
TID_BUNDLE_TOWN_HALL,Pakiet startowy ratusza
TID_BUNDLE_UPDATE,Pakiet aktualizacji
TID_BURST_SIZE,Siła ognia w pociskach: <number>
TID_BUTTONS_SETTINGS_RESET,Resetuj
TID_BUTTON_ACCEPT,Zaakceptuj
TID_BUTTON_ADD_PRESET,Zapisz wojsko jako nową recepturę
TID_BUTTON_ALCHEMIST_CONVERT,Przemień
TID_BUTTON_APPBANK,Przewodnik po AppBank
TID_BUTTON_ARMY_PRESET_SAVE_HERE,Zapisz wojsko
TID_BUTTON_ASSIGN,Przypisz
TID_BUTTON_ATTACK,Atakuj
TID_BUTTON_ATTACK_COOLDOWN,Atak dostępny za:
TID_BUTTON_ATTACK_HERO_TAVERN_ATTACK,Do boju
TID_BUTTON_ATTACK_HERO_TAVERN_PLACE,Rozmieść salę herosów
TID_BUTTON_ATTACK_MODE_AIR,Powietrze
TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND,Powietrze i ziemia
TID_BUTTON_ATTACK_MODE_BURST,Wybuch
TID_BUTTON_ATTACK_MODE_FAR_SLOW,Daleki zasięg
TID_BUTTON_ATTACK_MODE_GROUND,Ziemia
TID_BUTTON_ATTACK_MODE_MULTIPLE,Wielokrotny
TID_BUTTON_ATTACK_MODE_NEAR_FAST,Szybki atak
TID_BUTTON_ATTACK_MODE_NORMAL,Normalny
TID_BUTTON_ATTACK_MODE_SINGLE,Pojedynczy
TID_BUTTON_BOOST,Przyspiesz
TID_BUTTON_BOOSTS,Wzmocnienia
TID_BUTTON_BOOST_ALL,Wzmocnij wszystkie
TID_BUTTON_BOOST_BUILDERS,Wzmocnij budowniczych
TID_BUTTON_BOOST_TRAINING,Wzmocnij trening
TID_BUTTON_BUY,Kup
TID_BUTTON_BUY_SKIN,Kup
TID_BUTTON_CANCEL,Anuluj
TID_BUTTON_CANCEL_PRESET,Anuluj
TID_BUTTON_CAPITAL_MAP,Mapa
TID_BUTTON_CHANGE_SEASONAL_ARCHETYPE,Podsumowanie obrony
TID_BUTTON_CHANGE_SPELL,Wybierz zaklęcie
TID_BUTTON_CHANGE_VILLAGE,Podróżuj
TID_BUTTON_CHEST_DROPRATES,Zobacz szansę na nagrodę
TID_BUTTON_CLAN_MAIL_NEXT,Kolejny e-mail za:
TID_BUTTON_CLAN_MAIL_SEND,Wyślij e-mail
TID_BUTTON_CLAN_NOTICE_BOARD,Tablica ogłoszeń
TID_BUTTON_CLAN_NOTICE_DESCRIPTION,Ogłoszenie
TID_BUTTON_CLAN_NOTICE_MESSAGE,Użyj opisu klanu
TID_BUTTON_CLAN_NOTICE_PUBLISH,Opublikuj ogłoszenie
TID_BUTTON_CLAN_NOTICE_PUBLISH_INFO_1,Nie masz teraz aktywnych ogłoszeń klanowych.
TID_BUTTON_CLAN_NOTICE_PUBLISH_INFO_2,Ogłoszenie klanowe jest aktywne.
TID_BUTTON_CLAN_NOTICE_REMOVE,Cofnij ogłoszenie
TID_BUTTON_CLAN_SEND_REQUEST,Wyślij prośbę
TID_BUTTON_CLAN_WAR_HISTORY,Dziennik wojny
TID_BUTTON_CLAN_WAR_MATCHED_START,Wyzwanie
TID_BUTTON_CLEAR,Usuń
TID_BUTTON_CLOCKTOWER_SPEEDUP,Wzmocnij teraz
TID_BUTTON_CLOCK_TOWER_BOOST,Darmowe wzmocnienie!
TID_BUTTON_COLLECT,Zbierz
TID_BUTTON_CONFIRM,OK
